id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_queensorder_04_e_11,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_11,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_12,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_12,True,,10,12,2.0,,swiftgang,swiftgang,,,,1,idle,swiftgang,13,idle,
event_queensorder_04_e_13,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_13,True,,12,12,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_14,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_14,True,,12,12,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_15,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_15,True,,12,12,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_16,40015,event_queensorder_04_e,Narration,Locale_SubScenario:event_queensorder_04_e_16,False,,black,black,1.0,,swiftgang,,,,,1,idle,,13,idle,
event_queensorder_04_e_17,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_17,True,,black,black,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_18,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_18,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_19,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_19,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_20,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_20,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_21,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_21,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_22,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_22,True,,10,10,2.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_23,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_23,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_24,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_24,True,,10,10,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_25,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_25,True,,10,10,1.0,,rosanna,rosanna,,,,1,good,,13,idle,
event_queensorder_04_e_26,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_26,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_27,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_27,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_28,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_28,True,,black,black,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_29,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_29,True,,black,black,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_30,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_30,True,,10,100,2.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_31,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_31,True,,100,100,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_32,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_32,True,,100,100,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_33,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_33,True,,100,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_34,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_34,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_35,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_35,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_36,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_36,True,,10,12,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_37,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_37,True,,12,12,1.0,,rosanna,rosanna,,,,1,good,,13,idle,
event_queensorder_04_e_38,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_38,True,,12,12,1.0,,rosanna,rosanna,,,,1,good,,13,idle,
event_queensorder_04_e_39,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_39,True,,12,130,0.5,,swiftgang,swiftgang,,,,1,good,,13,idle,
event_queensorder_04_e_40,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_40,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_41,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_41,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_42,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_42,True,,130,10,2.0,,rosanna,rosanna,,,,1,good,,13,idle,
event_queensorder_04_e_43,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_43,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_44,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_44,True,,10,10,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_45,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_45,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_46,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_46,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_47,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_47,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_48,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_48,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_49,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_49,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_50,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_50,True,,130,130,1.0,,swiftgang,swiftgang,,,,1,idle,,13,idle,
event_queensorder_04_e_51,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_51,True,,130,10,2.0,none,rosanna,rosanna,,,,1,idle,,13,idle,
event_queensorder_04_e_52,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_52,True,,10,10,1.0,,rosanna,rosanna,,,,1,good,,13,idle,
event_queensorder_04_e_53,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_53,True,,130,13,0.5,,swiftgang,swiftgang,,,,1,good,,13,idle,
event_queensorder_04_e_54,40015,event_queensorder_04_e,Monologue,Locale_SubScenario:event_queensorder_04_e_54,False,,black,black,1.0,bgm_story_trauma,swiftgang,,,,,1,good,,13,idle,swiftgang
event_queensorder_04_e_55,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_55,True,,10,100,0.5,,swiftgang,swiftgang,Low_2,,,1,angry,,,,
event_queensorder_04_e_56,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_56,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_57,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_57,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_58,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_58,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_59,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_59,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_60,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_60,True,,100,100,1.0,,swiftgang,swiftgang,,,,1,angry,,,,
event_queensorder_04_e_61,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_61,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_62,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_62,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_63,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_63,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_64,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_64,True,,100,100,1.0,,swiftgang,swiftgang,Low_2,,,1,angry,,,,
event_queensorder_04_e_65,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_65,True,,100,10,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_66,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_66,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_67,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_67,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_68,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_68,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry,,,,
event_queensorder_04_e_69,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_69,True,,black,black,1.0,,swiftgang,swiftgang,Low_2,,,1,angry,,,,
event_queensorder_04_e_70,40015,event_queensorder_04_e,Narration,Locale_SubScenario:event_queensorder_04_e_70,False,,black,black,1.0,none,,,,sfx_scn_down,,1,angry,,,,
event_queensorder_04_e_71,40015,event_queensorder_04_e,Monologue,Locale_SubScenario:event_queensorder_04_e_71,False,,10,1,1.0,,,,,,,1,angry,,,,
event_queensorder_04_e_72,40015,event_queensorder_04_e,Self,Locale_SubScenario:event_queensorder_04_e_72,False,,1,1,1.0,,,,,,,1,angry,,,,
event_queensorder_04_e_73,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_73,True,,1,1,1.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_74,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_74,True,,1,10,2.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_75,40015,event_queensorder_04_e,Self,Locale_SubScenario:event_queensorder_04_e_75,False,,10,10,1.0,,rosanna,,,,,1,idle,,,,
event_queensorder_04_e_76,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_76,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_77,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_77,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_78,40015,event_queensorder_04_e,Self,Locale_SubScenario:event_queensorder_04_e_78,False,,10,10,1.0,,rosanna,,,,,1,idle,,,,
