id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,play_sound
event_ce02_1_05_s_11,40026,event_ce02_1_05_s,Choice,,,Locale_SubScenario:event_ce02_1_05_s_11,False,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,50,1.0,,event_ce02_1_05_s_13,,
event_ce02_1_05_s_12,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_12,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,5,1.0,,event_ce02_1_05_s_14,,
event_ce02_1_05_s_13,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_13,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,5,1.0,,event_ce02_1_05_s_14,,
event_ce02_1_05_s_14,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_14,True,,1,idle,,3,worry,,5,angry,,13,idle,,15,idle,,17,idle,,5,53,1.0,,,,
event_ce02_1_05_s_15,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_15,True,,1,idle,,3,worry,,5,angry,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,
event_ce02_1_05_s_16,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_16,True,,1,idle,,3,worry,,5,angry,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,
event_ce02_1_05_s_17,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_17,True,,1,idle,,3,worry,,5,no,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,
event_ce02_1_05_s_18,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_18,True,,1,idle,,3,worry,,5,no,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,
event_ce02_1_05_s_19,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_19,True,,1,idle,,3,no,,5,no,,13,idle,,15,idle,,17,idle,,53,S_30,1.0,,,,
event_ce02_1_05_s_20,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_20,True,,1,idle,,3,no,,5,idle,,13,idle,,15,idle,,17,idle,,S_30,S_30,1.0,,,,
event_ce02_1_05_s_21,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_21,True,,1,idle,,3,no,,5,idle,,13,idle,,15,idle,,17,idle,,S_30,S_30,1.0,,,,
event_ce02_1_05_s_22,40026,event_ce02_1_05_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_05_s_22,True,,1,idle,,3,no,,5,idle,,13,idle,,15,idle,,17,idle,,S_30,S_300,1.0,,,Low_2,
event_ce02_1_05_s_23,40026,event_ce02_1_05_s,Narration,,,Locale_SubScenario:event_ce02_1_05_s_23,False,,1,idle,,3,no,,5,idle,,13,idle,,15,idle,,17,idle,,S_300,S_300,1.0,,,,sfx_scn_gunfire
event_ce02_1_05_s_24,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_24,True,,1,idle,,3,no,,5,no,,13,idle,,15,idle,,17,idle,,500,500,1.0,,,,
event_ce02_1_05_s_25,40026,event_ce02_1_05_s,Self,,,Locale_SubScenario:event_ce02_1_05_s_25,False,,1,idle,,3,no,,5,no,,13,idle,,15,idle,,17,idle,,500,500,1.0,,,,
event_ce02_1_05_s_26,40026,event_ce02_1_05_s,Self,,,Locale_SubScenario:event_ce02_1_05_s_26,False,,1,idle,,3,no,,5,no,,13,idle,,15,idle,,17,idle,,500,500,1.0,,,,
event_ce02_1_05_s_27,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_27,True,,1,idle,,3,no,,5,idle,,13,idle,,15,idle,,17,idle,,500,50,1.0,,,,
event_ce02_1_05_s_28,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_28,True,,1,idle,,3,no,,5,idle,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,
