id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/4/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/5/hide_char_id
event_exnii2_03_s_15,40071,event_exnii2_03_s,Speech,drake,drake,Locale_SubScenario:event_exnii2_03_s_15,True,,,,,3,event_exnii_talk_02,1.0,,,,13,idle,,3,think,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_16,40071,event_exnii2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_03_s_16,True,,,,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,13,angry,,3,think,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_17,40071,event_exnii2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_03_s_17,True,,,,,event_exnii_talk_02,130,1.0,,,,13,sad,,3,think,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_18,40071,event_exnii2_03_s,Self,,,Locale_SubScenario:event_exnii2_03_s_18,False,,,,EzsUp,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,13,sad,,3,think,,1,angry,black,,,maxwell,laplace,drake,anis,3,idle,helm,1,idle,rapi,5,idle,,,,,,,,,,,,
event_exnii2_03_s_19,40071,event_exnii2_03_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_03_s_19,True,ce004_03_op,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_20,40071,event_exnii2_03_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_03_s_20,True,,OP_leftup,surprise,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_21,40071,event_exnii2_03_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_03_s_21,True,,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_22,40071,event_exnii2_03_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_03_s_22,True,,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_23,40071,event_exnii2_03_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_03_s_23,True,,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_24,40071,event_exnii2_03_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_03_s_24,True,,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_25,40071,event_exnii2_03_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_03_s_25,True,,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,idle,,1,idle,,5,delight,,,,,,,,,,,,
event_exnii2_03_s_26,40071,event_exnii2_03_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_03_s_26,True,,OP_leftup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_27,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_27,True,,OP_leftup,idle,,event_exnii_talk_01,1,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_28,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_28,True,,OP_leftup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_29,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_29,True,,OP_leftup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_30,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_30,True,,OP_leftup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_31,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_31,True,,OP_leftup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,idle,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_32,40071,event_exnii2_03_s,Self,helm,,Locale_SubScenario:event_exnii2_03_s_32,False,,OP_leftup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,3,delight,,1,delight,,5,idle,,,,,,,,,,,,
event_exnii2_03_s_33,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_33,True,,OP_leftup,idle,,1,1,1.0,,ce004_03_op,,,,,,,,,,,,,,,,,3,delight,,1,delight,,5,idle,anis,rapi,,,,,,,,,,
event_exnii2_03_s_34,40071,event_exnii2_03_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_03_s_34,True,,,,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,1,delight,,,,,,ce005_03,17,idle,ce005_01,15,idle,pepper,13,idle,
event_exnii2_03_s_35,40071,event_exnii2_03_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_03_s_35,True,,,,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,1,idle,,,,,,,17,idle,,15,idle,,13,idle,
event_exnii2_03_s_36,40071,event_exnii2_03_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii2_03_s_36,True,,,,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,1,idle,,,,,,,17,idle,,15,idle,,13,idle,helm
event_exnii2_03_s_37,40071,event_exnii2_03_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_03_s_37,True,,,,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,idle,,15,idle,,13,idle,
event_exnii2_03_s_38,40071,event_exnii2_03_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii2_03_s_38,True,,,,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,idle,,15,surprise,,13,idle,
event_exnii2_03_s_39,40071,event_exnii2_03_s,Speech,pepper,pepper,Locale_SubScenario:event_exnii2_03_s_39,True,,,,,16,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,idle,,15,idle,,13,good,
