id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_miraclesnow2_intermission_01_22,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_22,False,Elevator,3,30,1.0,,Vignetting,,,3,sad,
event_miraclesnow2_intermission_01_23,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_23,False,,30,30,1.0,,Vignetting,,,3,sad,
event_miraclesnow2_intermission_01_24,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_24,False,,30,3,1.0,,Vignetting,,,3,worry,
event_miraclesnow2_intermission_01_25,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_25,False,Backstreet_n,3,1,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_26,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_26,False,,1,1,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_27,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_27,False,,1,10,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_28,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_28,False,,10,10,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_29,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_29,False,,10,10,1.0,,Vignetting,,,1,worry,angelina
event_miraclesnow2_intermission_01_30,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_30,False,,black,black,1.0,none,Vignetting,sfx_scn_shower,,,,
event_miraclesnow2_intermission_01_31,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_31,False,Backstreet,black,black,1.0,,,,,,,
event_miraclesnow2_intermission_01_32,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_32,False,,1,1,1.0,,,,,,,
event_miraclesnow2_intermission_01_33,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_33,False,,black,black,1.0,,,,,,,
