id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,set_filter_01,set_filter_02,characters/0/hide_char_id,jump_target,play_sound
event_wisdomspring_05_s_11,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_11,True,,wisdomspring_01,wisdomspring_02,2.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_12,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_12,False,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_13,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_13,True,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_14,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_14,False,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_15,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_15,False,,black,black,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_16,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_16,True,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_17,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_17,False,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_18,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_18,False,,wisdomspring_02,wisdomspring_01,2.0,,,1,idle,,,,,,
event_wisdomspring_05_s_19,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_19,False,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_20,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_20,True,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_21,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_21,True,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_22,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_22,False,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_23,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_23,False,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_24,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_24,False,,black,black,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_25,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_25,True,,black,black,1.0,,mana,1,idle,,,,wisdomspring_event,,
event_wisdomspring_05_s_26,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_26,False,,black,black,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_27,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_27,False,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_28,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_28,True,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_29,40068,event_wisdomspring_05_s,Choice,mana,,Locale_SubScenario:event_wisdomspring_05_s_29,False,,10,10,1.0,,,1,idle,,,,,event_wisdomspring_05_s_31,
event_wisdomspring_05_s_30,40068,event_wisdomspring_05_s,Choice,mana,,Locale_SubScenario:event_wisdomspring_05_s_30,False,,10,10,1.0,,,1,idle,,,,,event_wisdomspring_05_s_34,
event_wisdomspring_05_s_31,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_31,True,,10,100,1.5,,,1,idle,,,,,,
event_wisdomspring_05_s_32,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_32,True,,100,100,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_33,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_33,False,,100,100,1.0,,,1,idle,,,,,event_wisdomspring_05_s_37,
event_wisdomspring_05_s_34,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_34,True,,10,100,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_35,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_35,True,,100,100,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_36,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_36,False,,100,100,1.0,,,1,idle,,,,,event_wisdomspring_05_s_37,
event_wisdomspring_05_s_37,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_37,True,,100,10,1.5,,,1,idle,,,,,,
event_wisdomspring_05_s_38,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_38,False,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_39,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_39,False,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_40,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_40,False,,10,10,1.0,,,1,idle,Low_2,Blur_High,Vignetting,,,
event_wisdomspring_05_s_41,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_41,False,,10,10,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_42,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_42,True,,10,10,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_43,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_43,True,,10,10,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_44,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_44,True,,10,10,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_45,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_45,False,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_46,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_46,True,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_47,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_47,True,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_48,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_48,True,,10,10,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_49,40068,event_wisdomspring_05_s,Narration,mana,,Locale_SubScenario:event_wisdomspring_05_s_49,False,,10,100,1.0,,,1,idle,,,,,,sfx_scn_grab
event_wisdomspring_05_s_50,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_50,False,,100,100,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_51,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_51,False,,100,100,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_52,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_52,True,,100,100,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_53,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_53,False,,100,100,1.0,,,1,idle,,,,,,
