id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_fullfoolday_07_22,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_22,True,,S_100,30,1.0,,,,,,5,idle,,3,angry,,1,no
event_fullfoolday_07_23,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_23,True,,30,50,1.0,,,,,,5,think,,3,angry,,1,no
event_fullfoolday_07_24,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_24,True,,S_10,S_10,1.0,,,,,,5,think,,3,void,,1,worry
event_fullfoolday_07_25,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_25,True,,S_10,S_100,0.5,,,,,,5,think,,3,void,,1,no
event_fullfoolday_07_26,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_26,True,,S_100,S_100,1.0,,,,,,5,idle,,3,void,,1,no
event_fullfoolday_07_27,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_27,True,,30,300,0.5,,,,,,5,idle,,3,delight,,1,no
event_fullfoolday_07_28,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_28,True,,50,500,2.0,,,,,,5,idle,,3,delight,,1,no
event_fullfoolday_07_29,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_29,False,,500,500,1.0,,,,,,5,think,,3,delight,,1,no
event_fullfoolday_07_30,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_30,True,,31,31,1.0,,,,,,5,think,,3,delight,,1,idle
event_fullfoolday_07_31,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_31,True,,31,31,1.0,,,,,,5,think,,3,delight,,1,idle
event_fullfoolday_07_32,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_32,True,,31,31,1.0,,,,,,5,think,,3,delight,,1,idle
event_fullfoolday_07_33,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_33,False,,31,5,1.0,,,,,,5,think,,3,delight,,1,idle
event_fullfoolday_07_34,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_34,True,,5,50,2.0,,,,,,5,idle,,3,delight,,1,idle
event_fullfoolday_07_35,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_35,True,,50,500,2.0,none,,,,,5,idle,,3,delight,,1,idle
event_fullfoolday_07_36,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_36,False,,500,500,1.0,,,,,,5,idle,,3,no,,1,idle
event_fullfoolday_07_37,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_37,False,,500,500,1.0,,,,,,5,idle,,3,no,,1,no
event_fullfoolday_07_38,130001,event_fullfoolday_07,Choice,,,Locale_SubScenario:event_fullfoolday_07_38,False,,500,500,1.0,,,,event_fullfoolday_07_40,,5,idle,,3,no,,1,no
event_fullfoolday_07_39,130001,event_fullfoolday_07,Choice,,,Locale_SubScenario:event_fullfoolday_07_39,False,,500,500,1.0,,,,event_fullfoolday_07_40,,5,idle,,3,no,,1,no
event_fullfoolday_07_40,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_40,True,,500,50,1.0,,,,,,5,think,,3,no,,1,no
event_fullfoolday_07_41,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_41,True,,50,31,1.0,,,,,,5,think,,3,no,,1,no
event_fullfoolday_07_42,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_42,True,,31,31,1.0,,,,,,5,think,,3,no,,1,no
event_fullfoolday_07_43,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_43,True,,31,5,2.0,,,,,,5,think,,3,no,,1,no
