id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,fade,jump_target
event_maidinvalentine_04_e_16,40007,event_maidinvalentine_04_e,Speech,soda,Locale_SubScenario:event_maidinvalentine_04_e_16,True,,5,idle,,3,idle,,1,serious,,13,idle,,S_10,S_10,1.0,,soda,Grey,,
event_maidinvalentine_04_e_17,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_17,True,,5,idle,,3,idle,,1,serious,,13,idle,,50,50,1.0,,sweetjohnny,,black,
event_maidinvalentine_04_e_18,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_18,True,,5,idle,,3,idle,,1,idle,,13,idle,,50,50,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_19,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_19,True,,5,idle,,3,idle,,1,idle,,13,idle,,50,50,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_20,40007,event_maidinvalentine_04_e,Speech,ade,Locale_SubScenario:event_maidinvalentine_04_e_20,False,,5,idle,,3,idle,,1,idle,,13,worried,,130,130,1.0,,ade,,,
event_maidinvalentine_04_e_21,40007,event_maidinvalentine_04_e,Speech,ade,Locale_SubScenario:event_maidinvalentine_04_e_21,True,,5,idle,,3,idle,,1,idle,,13,worried,,130,130,1.0,,ade,,,
event_maidinvalentine_04_e_22,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_22,True,,5,idle,,3,idle,,1,idle,,13,worried,,50,50,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_23,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_23,True,,5,idle,,3,idle,,1,idle,,13,idle,,50,50,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_24,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_24,True,,5,idle,,3,idle,,1,idle,,13,idle,,50,5,2.0,,sweetjohnny,,,
event_maidinvalentine_04_e_25,40007,event_maidinvalentine_04_e,Self,Self,Locale_SubScenario:event_maidinvalentine_04_e_25,False,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,,,,
event_maidinvalentine_04_e_26,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_26,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_27,40007,event_maidinvalentine_04_e,Self,Self,Locale_SubScenario:event_maidinvalentine_04_e_27,False,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,,,,
event_maidinvalentine_04_e_28,40007,event_maidinvalentine_04_e,Choice,,Locale_SubScenario:event_maidinvalentine_04_e_28,False,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,,,,event_maidinvalentine_04_e_30
event_maidinvalentine_04_e_29,40007,event_maidinvalentine_04_e,Choice,,Locale_SubScenario:event_maidinvalentine_04_e_29,False,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,,,,event_maidinvalentine_04_e_34
event_maidinvalentine_04_e_30,40007,event_maidinvalentine_04_e,Speech,soda,Locale_SubScenario:event_maidinvalentine_04_e_30,True,,5,idle,,3,idle,,1,think,,13,idle,,2,2,1.0,,soda,,,
event_maidinvalentine_04_e_31,40007,event_maidinvalentine_04_e,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_04_e_31,True,,5,idle,,3,delight,,1,think,,13,idle,,2,2,1.0,,cocoa,,,
event_maidinvalentine_04_e_32,40007,event_maidinvalentine_04_e,Speech,ade,Locale_SubScenario:event_maidinvalentine_04_e_32,True,,5,idle,,3,delight,,1,think,,13,shy,,2,12,1.0,,ade,,,
event_maidinvalentine_04_e_33,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_33,True,,5,idle,,3,delight,,1,think,,13,shy,,5,5,1.0,,sweetjohnny,,,event_maidinvalentine_04_e_35
event_maidinvalentine_04_e_34,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_34,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_35,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_35,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_36,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_36,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_37,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_37,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,sweetjohnny,,,
