id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_redash_04_3_11,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_11,True,,5,50,1.0,,redhood,,,,3,think,,5,smile
d_ex_redash_04_3_12,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_12,True,,50,4,1.0,,dorothy,,,,3,think,,5,smile
d_ex_redash_04_3_13,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_13,True,,4,4,1.0,,redhood,,,,3,think,,5,smile
d_ex_redash_04_3_14,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_14,True,,4,4,1.0,,redhood,,,,3,think,,5,smile
d_ex_redash_04_3_15,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_15,True,,4,4,1.0,,dorothy,,,,3,idle,,5,smile
d_ex_redash_04_3_16,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_16,True,,4,4,1.0,,dorothy,,,,3,idle,,5,idle
d_ex_redash_04_3_17,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_17,True,,4,4,1.0,,dorothy,,,,3,idle,,5,idle
d_ex_redash_04_3_18,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_18,True,,4,50,1.0,,redhood,,,,3,idle,,5,smile
d_ex_redash_04_3_19,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_19,True,,50,50,1.0,,redhood,,,,3,idle,,5,idle
d_ex_redash_04_3_20,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_20,True,,50,30,1.0,,dorothy,,,,3,idle,,5,idle
d_ex_redash_04_3_21,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_21,True,,30,6,0.7,,redhood,,,,5,idle,,7,surprise
d_ex_redash_04_3_22,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_22,True,,6,6,1.0,,dorothy,,,,5,worry,,7,surprise
d_ex_redash_04_3_23,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_23,True,,6,6,1.0,,redhood,,,,5,worry,,7,surprise
d_ex_redash_04_3_24,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_24,False,,6,6,1.0,,,sfx_scn_poke2,,,5,worry,,7,surprise
d_ex_redash_04_3_25,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_25,True,,6,6,1.0,,redhood,,,,5,worry,,7,surprise
d_ex_redash_04_3_26,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_26,True,,6,6,1.0,,dorothy,,,,5,idle,,7,surprise
d_ex_redash_04_3_27,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_27,True,,6,6,1.0,,dorothy,,,,5,think,,7,surprise
d_ex_redash_04_3_28,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_28,True,,6,6,1.0,,dorothy,,,,5,think,,7,surprise
d_ex_redash_04_3_29,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_29,True,,6,6,1.0,,redhood,,,,5,think,,7,worry
d_ex_redash_04_3_30,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_30,True,,6,6,1.0,,redhood,,,,5,think,,7,worry
d_ex_redash_04_3_31,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_31,True,,6,6,1.0,,redhood,,,,5,think,,7,no
d_ex_redash_04_3_32,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_32,True,,6,6,1.0,,dorothy,,,,5,idle,,7,no
d_ex_redash_04_3_33,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_33,True,,6,6,1.0,,redhood,,,,5,idle,,7,surprise
d_ex_redash_04_3_34,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_34,False,,6,6,1.0,,dorothy,,,,5,think,,7,surprise
d_ex_redash_04_3_35,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_35,True,,6,70,1.0,,redhood,,,,5,think,,7,smile
d_ex_redash_04_3_36,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_36,True,,70,70,1.0,,redhood,,,,5,think,,7,smile
d_ex_redash_04_3_37,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_37,True,,70,600,0.5,none,redhood,,Low_2,,6,think,,7,surprise_02
d_ex_redash_04_3_38,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_38,True,,600,60,0.7,bgm_story_herecomestrouble,redhood,,Low_2,,6,think,,7,angry
d_ex_redash_04_3_39,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_39,True,,60,6,1.0,,dorothy,,,,6,surprise,,7,angry
d_ex_redash_04_3_40,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_40,True,,6,6,1.0,,dorothy,,,,6,surprise,,7,angry
d_ex_redash_04_3_41,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_41,True,,6,6,1.0,,dorothy,,,,6,surprise,,7,angry
d_ex_redash_04_3_42,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_42,True,,6,6,1.0,,dorothy,,,,6,smile,,7,angry
d_ex_redash_04_3_43,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_43,True,,6,6,1.0,,redhood,,,,6,smile,,7,shy_02
d_ex_redash_04_3_44,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_44,True,,6,6,1.0,,redhood,,,,6,smile,,7,shy_02
d_ex_redash_04_3_45,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_45,True,,6,6,1.0,,redhood,,,,6,smile,,7,shy_02
d_ex_redash_04_3_46,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_46,True,,6,6,1.0,,dorothy,,,,6,surprise,,7,shy_02
d_ex_redash_04_3_47,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_47,True,,6,6,1.0,,redhood,,Low_2,,6,surprise,,7,shy_02
d_ex_redash_04_3_48,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_48,True,,6,6,1.0,,dorothy,,,,6,think,,7,shy_02
d_ex_redash_04_3_49,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_49,False,,6,6,1.0,,,,,,5,think,,7,worry
d_ex_redash_04_3_50,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_50,True,,6,6,1.0,,redhood,,,,5,think,,7,no
d_ex_redash_04_3_51,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_51,True,,6,6,1.0,,dorothy,,,,5,idle,,7,no
d_ex_redash_04_3_52,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_52,True,,6,6,1.0,,dorothy,,,,5,idle,,7,no
d_ex_redash_04_3_53,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_53,True,,6,6,1.0,,redhood,,,,5,idle,,7,idle
d_ex_redash_04_3_54,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_54,True,,50,50,1.0,,dorothy,,,,5,surprise,,7,idle
d_ex_redash_04_3_55,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_55,True,,70,70,1.0,,redhood,,,,5,surprise,,7,idle
d_ex_redash_04_3_56,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_56,True,,70,70,1.0,,redhood,,,,5,surprise,,7,smile
d_ex_redash_04_3_57,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_57,True,,50,500,0.5,,dorothy,,,,5,angry,,7,smile
d_ex_redash_04_3_58,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_58,True,,70,70,1.0,,redhood,,,,5,angry,,7,panic
d_ex_redash_04_3_59,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_59,True,,70,700,0.7,,redhood,,Low_2,,5,angry,,7,shy_02
d_ex_redash_04_3_60,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_60,True,,700,700,1.0,,redhood,,Low_2,,5,angry,,7,shy_02
d_ex_redash_04_3_61,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_61,False,,black,black,1.0,,,sfx_scn_windowclack,,,5,angry,,7,shy_02
