id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,jump_target
event_nyanyaparadise_01_s_53,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_53,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_54,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_54,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_55,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_55,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_56,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_56,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_57,40022,event_nyanyaparadise_01_s,Choice,Locale_SubScenario:event_nyanyaparadise_01_s_57,False,,L_10,L_10,1.0,,,,1,idle,,,event_nyanyaparadise_01_s_59
event_nyanyaparadise_01_s_58,40022,event_nyanyaparadise_01_s,Choice,Locale_SubScenario:event_nyanyaparadise_01_s_58,False,,L_10,L_10,1.0,,,,1,idle,,,event_nyanyaparadise_01_s_60
event_nyanyaparadise_01_s_59,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_59,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,event_nyanyaparadise_01_s_61
event_nyanyaparadise_01_s_60,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_60,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,event_nyanyaparadise_01_s_61
event_nyanyaparadise_01_s_61,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_61,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_62,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_62,True,,L_10,L_100,2.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_63,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_63,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_64,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_64,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_65,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_65,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_66,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_66,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_67,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_67,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_68,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_68,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_69,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_69,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_70,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_70,True,,L_100,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_71,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_71,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_72,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_72,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_73,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_73,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_74,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_74,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
