id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_outofuniform_06_34,130006,event_outofuniform_06,Monologue,tia_c,,Locale_SubScenario:event_outofuniform_06_34,False,,4,delight,,2,surprise,,12,idle,,14,surprise,,40,40,1.0,,,,,,,
event_outofuniform_06_35,130006,event_outofuniform_06,Self,tia_c,,Locale_SubScenario:event_outofuniform_06_35,False,,4,delight,,2,idle,,12,idle,,14,surprise,,40,40,1.0,,,,,,,
event_outofuniform_06_36,130006,event_outofuniform_06,Narration,tia_c,,Locale_SubScenario:event_outofuniform_06_36,False,,4,delight,,2,idle,,12,idle,,14,surprise,,40,40,1.0,,sfx_scn_fireworks2,,,,,
event_outofuniform_06_37,130006,event_outofuniform_06,Self,tia_c,,Locale_SubScenario:event_outofuniform_06_37,False,,4,idle,,2,idle,,12,idle,,14,surprise,,40,40,1.0,,,,,,,
event_outofuniform_06_38,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_38,True,,4,idle,,2,idle,,12,no,,14,surprise,,13,13,1.0,,,,,,,
event_outofuniform_06_39,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_39,True,,4,idle,,2,idle,,12,no,,14,surprise,,13,13,1.0,,,,,,,
event_outofuniform_06_40,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_40,False,,4,idle,,2,idle,,12,no,,14,surprise,,13,13,1.0,,,,,,,
event_outofuniform_06_41,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_41,True,,4,idle,,2,idle,,12,no,,14,surprise,,13,13,1.0,,,,,,,
event_outofuniform_06_42,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_42,True,,4,idle,,2,idle,,12,idle,,14,surprise,,3,3,1.0,,,,,,,
event_outofuniform_06_43,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_43,True,,4,idle,,2,idle,,12,idle,,14,surprise,,3,3,1.0,,,,,,,
event_outofuniform_06_44,130006,event_outofuniform_06,Self,naga_k,,Locale_SubScenario:event_outofuniform_06_44,False,,4,idle,,2,idle,,12,idle,,14,surprise,,3,3,1.0,,,,,,,
event_outofuniform_06_45,130006,event_outofuniform_06,Narration,ein_k,,Locale_SubScenario:event_outofuniform_06_45,False,,4,idle,,2,idle,,12,idle,,14,surprise,,13,13,1.0,,sfx_scn_fireworks3,,,,,
event_outofuniform_06_46,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_46,True,,4,idle,,2,idle,,12,idle,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_47,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_47,True,,4,idle,,2,idle,,12,delight,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_48,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_48,True,,4,idle,,2,idle,,12,delight,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_49,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_49,True,,4,idle,,2,idle,,12,delight,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_50,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_50,True,,4,idle,,2,idle,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_51,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_51,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_52,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_52,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_53,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_53,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_54,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_54,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_55,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_55,True,,4,delight,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_56,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_56,True,,4,delight,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_57,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_57,True,,4,delight,,2,delight,,12,idle,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_58,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_58,True,,4,delight,,2,delight,,12,idle,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_59,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_59,True,,4,delight,,2,delight,,12,idle,,14,idle,,3,3,1.0,,,,,,,
event_outofuniform_06_60,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_60,False,,4,delight,,2,delight,,12,idle,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_61,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_61,True,,4,delight,,2,idle,,12,idle,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_62,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_62,True,,4,idle,,2,idle,,12,idle,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_63,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_63,False,,4,idle,,2,idle,,12,idle,,14,good,,13,120,1.0,,,,,,,
event_outofuniform_06_64,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_64,True,,4,idle,,2,idle,,12,surprise,,14,good,,120,120,1.0,,,,,,,
event_outofuniform_06_65,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_65,True,,4,idle,,2,idle,,12,shy,,14,good,,120,120,1.0,,,,,,,
event_outofuniform_06_66,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_66,True,,4,idle,,2,idle,,12,delight,,14,good,,120,120,1.0,,,,,,,
event_outofuniform_06_67,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_67,True,,4,idle,,2,idle,,12,delight,,14,good,,120,140,1.0,,,,,,,
event_outofuniform_06_68,130006,event_outofuniform_06,Self,zwei_k,,Locale_SubScenario:event_outofuniform_06_68,False,,4,idle,,2,idle,,12,delight,,14,good,,140,140,1.0,,,,,,,
event_outofuniform_06_69,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_69,True,,4,idle,,2,idle,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_70,130006,event_outofuniform_06,Self,naga_k,,Locale_SubScenario:event_outofuniform_06_70,False,,4,idle,,2,idle,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_71,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_71,True,,4,idle,,2,idle,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_72,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_72,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_73,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_73,True,,4,delight,,2,delight,,12,delight,,14,idle,,3,3,1.0,,,,,,,
event_outofuniform_06_74,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_74,True,,4,delight,,2,delight,,12,shy,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_75,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_75,True,,4,delight,,2,delight,,12,surprise,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_76,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_76,True,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_77,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_77,True,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_78,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_78,True,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_79,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_79,True,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_80,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_80,True,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_81,130006,event_outofuniform_06,Self,ein_k,,Locale_SubScenario:event_outofuniform_06_81,False,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_82,130006,event_outofuniform_06,Self,ein_k,,Locale_SubScenario:event_outofuniform_06_82,False,,4,idle,,2,delight,,12,surprise,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_83,130006,event_outofuniform_06,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_06_83,False,,4,idle,,2,delight,,12,surprise,,14,good,,black,black,1.0,,,,,,,
event_outofuniform_06_84,130006,event_outofuniform_06,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_06_84,False,,4,idle,,2,delight,,12,surprise,,14,good,,black,black,1.0,,,,,,,
event_outofuniform_06_85,130006,event_outofuniform_06,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_06_85,False,,4,idle,,2,delight,,12,surprise,,14,good,,black,black,1.0,,,,,,,
event_outofuniform_06_86,130006,event_outofuniform_06,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_06_86,False,,4,idle,,2,delight,,12,surprise,,14,good,,black,black,1.0,,,,,,,
event_outofuniform_06_87,130006,event_outofuniform_06,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_06_87,False,,4,idle,,2,delight,,12,surprise,,14,good,,black,black,1.0,,,,,,,
event_outofuniform_06_88,130006,event_outofuniform_06,Monologue,ein_k,,Locale_SubScenario:event_outofuniform_06_88,False,,4,idle,,2,delight,,12,surprise,,14,good,CommanderRoom_n,black,black,1.0,,,tia_c,naga_k,ein_k,zwei_k,
event_outofuniform_06_89,130006,event_outofuniform_06,Narration,ein_k,,Locale_SubScenario:event_outofuniform_06_89,False,,,,,,,,,,,,,,1,1,1.0,none,sfx_scn_autodooropen,,,,,black
event_outofuniform_06_90,130006,event_outofuniform_06,Self,,,Locale_SubScenario:event_outofuniform_06_90,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_outofuniform_06_91,130006,event_outofuniform_06,Speech,,rapi,Locale_SubScenario:event_outofuniform_06_91,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_outofuniform_06_92,130006,event_outofuniform_06,Speech,,anis,Locale_SubScenario:event_outofuniform_06_92,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_outofuniform_06_93,130006,event_outofuniform_06,Speech,,neon,Locale_SubScenario:event_outofuniform_06_93,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_outofuniform_06_94,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_94,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_outofuniform_06_95,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_95,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_outofuniform_06_96,130006,event_outofuniform_06,Self,,,Locale_SubScenario:event_outofuniform_06_96,False,,,,,,,,,,,,,,1,10,1.0,bgm_story_flipflop,,,,,,
event_outofuniform_06_97,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_97,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_98,130006,event_outofuniform_06,Narration,,,Locale_SubScenario:event_outofuniform_06_98,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_99,130006,event_outofuniform_06,Narration,,,Locale_SubScenario:event_outofuniform_06_99,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_100,130006,event_outofuniform_06,Narration,,,Locale_SubScenario:event_outofuniform_06_100,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_101,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_101,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_102,130006,event_outofuniform_06,Self,,,Locale_SubScenario:event_outofuniform_06_102,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_103,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_103,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_104,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_104,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_105,130006,event_outofuniform_06,Monologue,,,Locale_SubScenario:event_outofuniform_06_105,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_106,130006,event_outofuniform_06,Self,,,Locale_SubScenario:event_outofuniform_06_106,False,,,,,,,,,,,,,,10,10,1.0,,,,,,,
event_outofuniform_06_107,130006,event_outofuniform_06,Narration,,,Locale_SubScenario:event_outofuniform_06_107,False,,,,,,,,,,,,,,black,black,1.0,,,,,,,
