id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_doutsiders_05_s_28,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_28,True,,3,idle,,14,idle,,16,idle,,10,2,2.0,,,,1,sad
event_doutsiders_05_s_29,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_29,True,,3,idle,,14,idle,,16,idle,,2,2,1.0,,,,1,sad
event_doutsiders_05_s_30,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_30,True,,3,idle,,14,idle,,16,idle,,2,2,1.0,,,,1,angry
event_doutsiders_05_s_31,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_31,True,,3,idle,,14,idle,,16,idle,,2,2,1.0,,,,1,angry
event_doutsiders_05_s_32,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_32,True,,3,idle,,14,idle,,16,idle,,2,2,1.0,,,,1,angry
event_doutsiders_05_s_33,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_33,True,,3,idle,,14,idle,,16,idle,,2,30,2.0,,,,1,angry
event_doutsiders_05_s_34,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_34,True,,3,idle,,14,idle,,16,idle,,30,30,1.0,,,,1,idle
event_doutsiders_05_s_35,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_35,True,,3,idle,,14,idle,,16,idle,,30,30,1.0,,,,1,idle
event_doutsiders_05_s_36,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_36,True,,3,delight,,14,idle,,16,idle,,30,30,1.0,,,,1,idle
event_doutsiders_05_s_37,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_37,True,,3,delight,,14,idle,,16,idle,,30,30,1.0,,,,1,idle
event_doutsiders_05_s_38,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_38,True,,3,delight,,14,idle,,16,idle,,30,30,1.0,,,,1,idle
event_doutsiders_05_s_39,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_39,True,,3,angry,,14,idle,,16,idle,,30,300,2.0,,,,1,idle
event_doutsiders_05_s_40,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_40,True,,3,angry,,14,idle,,16,idle,,300,300,1.0,,,,1,idle
event_doutsiders_05_s_41,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_41,True,,3,angry,,14,idle,,16,idle,,300,300,1.0,,,,1,idle
event_doutsiders_05_s_42,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_42,True,,3,angry,,14,idle,,16,idle,,300,300,1.0,,,,1,idle
event_doutsiders_05_s_43,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_43,True,,3,smile,,14,idle,,16,idle,,300,300,1.0,,,,1,idle
