id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable
event_miraclesnow1_01_s_21,40003,event_miraclesnow1_01_s,Self,rupee,,Locale_SubScenario:event_miraclesnow1_01_s_21,False,,L_10,L_10,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_22,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_22,True,,L_10,L_10,1.0,,event_miraclesnow1_01_s_23,,1,shy,,,
event_miraclesnow1_01_s_23,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_23,True,,L_10,1,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_24,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_24,True,,1,1,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_25,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_25,True,,1,L_10,0.5,,,,1,"expression_0,idle",,,
event_miraclesnow1_01_s_26,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_26,True,,L_10,L_10,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_27,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_27,True,,L_10,L_100,0.7,,,,1,idle,,,
event_miraclesnow1_01_s_28,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_28,True,,L_100,L_100,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_29,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_29,True,,L_100,L_100,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_30,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_30,True,,L_100,L_100,1.0,,,,1,idle,,,
