id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
re_event_ce02_3_03_e_11,40082,re_event_ce02_3_03_e,Narration,Locale_SubScenario:event_ce02_3_03_e_11,False,,130,17,1.0,sfx_scn_heavyknock,,,,Low_2,,13,idle,,1,angry
re_event_ce02_3_03_e_12,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_12,True,,17,12,1.0,,,p12,p12,,,13,idle,,1,angry
re_event_ce02_3_03_e_13,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_13,True,,12,12,1.0,,,ce_02_02,ce_02_02,,,13,idle,,1,think
re_event_ce02_3_03_e_14,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_14,True,,12,12,1.0,,,ce_02_02,ce_02_02,,,13,idle,,1,think
re_event_ce02_3_03_e_15,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_15,True,,12,130,1.0,,,p12,p12,,,13,idle,,1,think
re_event_ce02_3_03_e_16,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_16,True,,130,130,1.0,,,p12,p12,,,13,idle,,1,think
re_event_ce02_3_03_e_17,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_17,True,,130,130,1.0,,,p12,p12,,,13,idle,,1,think
re_event_ce02_3_03_e_18,40082,re_event_ce02_3_03_e,Monologue,Locale_SubScenario:event_ce02_3_03_e_18,False,,130,6,1.0,,,,,,,13,idle,,1,think
re_event_ce02_3_03_e_19,40082,re_event_ce02_3_03_e,Narration,Locale_SubScenario:event_ce02_3_03_e_19,False,,6,6,1.0,sfx_scn_4rapturestep,,,,Low_2,,13,idle,,1,think
re_event_ce02_3_03_e_20,40082,re_event_ce02_3_03_e,Monologue,Locale_SubScenario:event_ce02_3_03_e_20,False,,6,6,1.0,,,,,,,13,idle,,1,think
re_event_ce02_3_03_e_21,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_21,True,,6,12,1.0,,,ce_02_02,ce_02_02,,,13,idle,,1,angry
re_event_ce02_3_03_e_22,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_22,True,,12,12,1.0,,,p12,p12,,,13,idle,,1,angry
re_event_ce02_3_03_e_23,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_23,True,,12,12,1.0,,,p12,p12,,,13,idle,,1,angry
re_event_ce02_3_03_e_24,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_24,True,,12,10,1.0,,,ce_02_02,ce_02_02,,,13,idle,,1,idle
re_event_ce02_3_03_e_25,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_25,True,,10,10,1.0,,,ce_02_02,ce_02_02,,,13,idle,,1,idle
re_event_ce02_3_03_e_26,40082,re_event_ce02_3_03_e,Narration,Locale_SubScenario:event_ce02_3_03_e_26,False,,10,1,1.0,sfx_scn_drawingsword,,,,,,13,idle,,1,"expression_0,idle"
re_event_ce02_3_03_e_27,40082,re_event_ce02_3_03_e,Monologue,Locale_SubScenario:event_ce02_3_03_e_27,False,,1,1,1.0,,,,,,,13,idle,,1,idle
re_event_ce02_3_03_e_28,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_28,True,,1,10,0.6,,,ce_02_02,ce_02_02,,,13,idle,,1,idle
re_event_ce02_3_03_e_29,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_29,True,,130,130,1.0,,,p12,p12,,,13,idle,,1,idle
