id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_boomsday_06_e_31,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_31,True,,10,10,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_32,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_32,True,,10,100,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_33,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_33,True,,100,100,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_34,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_34,True,,100,100,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_35,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_35,False,,100,100,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_36,40040,event_boomsday_06_e,Narration,,,Locale_SubScenario:event_boomsday_06_e_36,False,,100,1,0.5,,,,3,idle,,,,,,1,special
event_boomsday_06_e_37,40040,event_boomsday_06_e,Narration,,,Locale_SubScenario:event_boomsday_06_e_37,False,,black,black,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_38,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_38,True,,2,2,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_39,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_39,True,,2,2,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_40,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_40,True,,2,2,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_41,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_41,True,,2,2,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_42,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_42,True,,2,2,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_43,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_43,False,,2,2,1.0,,,,3,idle,,,,,,1,surprise
event_boomsday_06_e_44,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_44,True,,2,2,1.0,,,,3,delight,,,,,,1,surprise
event_boomsday_06_e_45,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_45,True,,2,2,1.0,,,,3,delight,,,,,,1,surprise
event_boomsday_06_e_46,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_46,True,,1,10,0.5,,,,3,idle,,,,,,1,special
event_boomsday_06_e_47,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_47,False,,10,10,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_48,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_48,True,,10,100,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_49,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_49,True,,100,100,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_50,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_50,False,,100,100,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_51,40040,event_boomsday_06_e,Narration,,,Locale_SubScenario:event_boomsday_06_e_51,False,,100,1,0.3,,,,3,idle,,,,,,1,special
event_boomsday_06_e_52,40040,event_boomsday_06_e,Narration,,,Locale_SubScenario:event_boomsday_06_e_52,False,,black,black,1.0,,,,3,idle,,,,,,1,special
event_boomsday_06_e_53,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_53,True,,3,S_30,0.5,,Low_2,,3,surprise,,,,,,1,special
event_boomsday_06_e_54,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_54,False,,2,2,1.0,,,,3,surprise,,,,,,1,special
event_boomsday_06_e_55,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_55,False,,2,2,1.0,,,,3,surprise,,,,,,1,special
