id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_newyearnewsword_01_s_15,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_15,True,,100,100,1.0,,hongryeon,hongryeon,event_newyearnewsword_01_s_18,,,,1,idle
event_newyearnewsword_01_s_16,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_16,True,,100,100,1.0,,hongryeon,hongryeon,,,,,1,delight
event_newyearnewsword_01_s_17,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_17,True,,100,100,1.0,,hongryeon,hongryeon,event_newyearnewsword_01_s_18,,,,1,idle
event_newyearnewsword_01_s_18,40036,event_newyearnewsword_01_s,Narration,Locale_SubScenario:event_newyearnewsword_01_s_18,False,,100,10,1.0,,hongryeon,,,sfx_scn_phonevibration,,,1,idle
event_newyearnewsword_01_s_19,40036,event_newyearnewsword_01_s,Self,Locale_SubScenario:event_newyearnewsword_01_s_19,False,,10,10,1.0,,hongryeon,,,,m_event_newyearnewsword_01_s,,1,idle
event_newyearnewsword_01_s_20,40036,event_newyearnewsword_01_s,Self,Locale_SubScenario:event_newyearnewsword_01_s_20,False,,10,10,1.0,,hongryeon,,,,,,1,idle
event_newyearnewsword_01_s_21,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_21,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_22,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_22,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_23,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_23,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_24,40036,event_newyearnewsword_01_s,Choice,Locale_SubScenario:event_newyearnewsword_01_s_24,False,,10,10,1.0,,hongryeon,,event_newyearnewsword_01_s_26,,,,1,idle
event_newyearnewsword_01_s_25,40036,event_newyearnewsword_01_s,Choice,Locale_SubScenario:event_newyearnewsword_01_s_25,False,,10,10,1.0,,hongryeon,,event_newyearnewsword_01_s_26,,,,1,idle
event_newyearnewsword_01_s_26,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_26,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_27,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_27,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_28,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_28,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_29,40036,event_newyearnewsword_01_s,Self,Locale_SubScenario:event_newyearnewsword_01_s_29,False,,10,10,1.0,,hongryeon,,,,,,1,idle
event_newyearnewsword_01_s_30,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_30,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_31,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_31,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_32,40036,event_newyearnewsword_01_s,Self,Locale_SubScenario:event_newyearnewsword_01_s_32,False,,10,10,1.0,,hongryeon,,,,,,1,idle
event_newyearnewsword_01_s_33,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_33,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,delight
event_newyearnewsword_01_s_34,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_34,True,,10,100,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_35,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_35,True,,100,100,1.0,,hongryeon,hongryeon,,,,,1,idle
