id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/2/hide_char_id,characters/3/hide_char_id
snowfall_episode_mica_07_11,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_18,False,,S_100,S_100,1.0,,,,,,,1,idle,,,,,,,,,,,,,,,
snowfall_episode_mica_07_12,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_19,False,,S_100,1300,1.0,,,,,,,1,idle,,lumi_01,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_13,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_20,False,,1300,1300,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_14,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_21,False,,1300,1300,1.0,,,,lumi_01,lumi_01,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_15,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_22,True,,1300,S_100,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_16,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_23,False,,S_100,S_100,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_17,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_24,True,EventScene_snowfalloasis_04_1,black,black,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,mica_w,lumi_01,,,,,,,,,
snowfall_episode_mica_07_18,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_25,True,,1,1,1.0,,,,mica_w,mica_w,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_19,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_26,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_20,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_27,False,,1,100,1.0,sfx_scn_toolpasslight,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_21,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_28,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_22,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_29,False,,100,100,1.0,sfx_scn_4skippingstones,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_23,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_30,True,,100,100,1.0,,,,mica_w,mica_w,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_24,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_31,False,,100,100,1.0,sfx_scn_4skippingstones,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_25,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_32,False,EventScene_snowfalloasis_04_2,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_26,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_33,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_27,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_34,True,,100,1,1.0,,,,mica_w,mica_w,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_28,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_35,True,,1,1,1.0,,,,mica_w,mica_w,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_29,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_36,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_30,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_37,True,WaterFall_d,1,S_10,1.0,,,,mica_w,mica_w,mica_w,1,delight,,lumi_01,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_31,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_38,False,,S_10,S_10,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_32,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_39,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_33,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_40,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_34,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_41,False,,S_10,S_10,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_35,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_42,False,,S_10,S_10,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_36,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_43,False,,S_10,S_100,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_37,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_44,False,,S_100,S_100,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_38,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_45,True,,S_100,S_100,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_39,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_46,False,,S_100,S_100,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_40,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_47,True,,S_100,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_41,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_48,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_42,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_49,True,,S_10,S_100,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_43,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_50,True,,S_100,S_100,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_44,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_51,True,,S_100,S_100,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_45,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_52,True,,S_100,S_100,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_46,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_53,False,,S_100,S_100,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_47,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_54,True,,S_100,S_10,1.0,,,,mica_w,mica_w,,1,surprise,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_48,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_55,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_49,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_56,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_50,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_57,False,,S_10,S_10,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_51,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_58,True,,S_10,S_100,0.5,,,,mica_w,mica_w,,1,no,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_52,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_59,False,,1300,1300,1.0,,,,lumi_01,lumi_01,,1,no,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_53,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_60,False,,S_100,S_100,1.0,,,,,,,1,no,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_54,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_61,True,,S_100,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_55,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_62,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_56,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_63,True,,S_10,S_10,1.0,,,none,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_57,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_64,False,,black,black,1.0,sfx_scn_kiss,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_58,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_65,False,,black,black,1.0,sfx_scn_kiss,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_59,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_66,False,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_60,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_67,False,,113,113,1.0,,,,lumi_01,lumi_01,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_61,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_68,False,,113,113,1.0,,,event_bgm_neverland_snowflakes_day,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_62,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_69,False,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_63,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_70,True,,113,113,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_64,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_71,False,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_65,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_72,True,,113,113,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_66,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_73,True,,113,113,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_67,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_74,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_68,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_75,True,,113,113,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_69,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_76,False,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_70,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_77,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_71,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_78,True,,113,113,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_72,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_79,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_73,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_80,True,,113,113,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_74,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_81,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_75,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_82,False,,113,113,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_76,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_83,True,,113,113,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_77,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_84,True,,113,113,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_78,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_85,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_79,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_86,True,,113,113,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_80,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_87,False,,113,113,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_81,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_88,False,,113,S_10,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_82,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_89,False,,S_10,S_10,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_83,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_90,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_84,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_91,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_85,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_92,False,,130,130,1.0,,,,lumi_01,lumi_01,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_86,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_93,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,idle,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_87,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_94,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_88,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_95,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_89,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_96,False,,S_10,130,1.0,,,,lumi_01,lumi_01,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_90,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_97,False,EventScene_snowfalloasis_04_3,black,black,1.0,,,none,,,,1,delight,black,,13,idle,mica_w,lumi_01,,,,,,,,,
snowfall_episode_mica_07_91,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_98,False,,1,1,1.0,,,event_bgm_neverland_snowflakes_night,lumi_03,lumi_03,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_92,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_99,False,,1,1,1.0,,,,lumi_03,lumi_03,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_93,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_100,False,,1,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_94,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_101,False,,10,10,1.0,,,,lumi_03,lumi_03,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_95,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_102,False,,10,10,1.0,,,,oldestsister,oldestsister,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_96,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_103,False,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_97,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_104,False,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_98,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_105,False,,10,1,1.0,,,,lumi_03,lumi_03,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_99,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_106,False,,1,1,1.0,,,,secondoldestsister,secondoldestsister,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_100,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_107,False,,1,1,1.0,,,,lumi_03,lumi_03,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_101,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_108,False,,1,1,1.0,,,,secondoldestsister,secondoldestsister,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_102,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_109,False,,1,100,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_103,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_110,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_104,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_111,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_105,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_112,False,WaterFall_d,black,black,1.0,sfx_scn_2skippingstones,,,,,,,,black,lumi_03,13,idle,,,oldestsister,15,idle,secondoldestsister,1,idle,Grey,,
snowfall_episode_mica_07_106,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_113,True,,13,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_107,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_114,True,,S_130,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_108,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_115,True,,S_130,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_109,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_116,True,,S_130,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_110,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_117,True,,150,150,1.0,,,,oldestsister,oldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_111,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_118,True,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_112,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_119,True,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_113,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_120,True,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_114,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_121,True,,10,113,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_115,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_122,True,,113,113,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_116,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_123,True,,113,113,1.0,,,,secondoldestsister,secondoldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_117,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_124,True,,113,1315,1.0,,,,oldestsister,oldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_118,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_125,True,,1315,1315,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_119,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_126,True,,1315,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_120,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_127,True,,S_130,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_121,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_128,False,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_122,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_129,False,,150,150,1.0,,,,oldestsister,oldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
