id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,fade,play_sound
d_ex_redash_05_2_31,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_31,True,,5,angry_02,,3,angry,,4,4,1.0,,commander,,
d_ex_redash_05_2_32,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_32,True,,5,angry_02,,3,angry,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_33,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_33,True,,5,angry_02,,3,no,,4,L_30,1.0,,commander,,
d_ex_redash_05_2_34,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_34,True,,5,angry_02,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_35,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_35,True,,5,angry_02,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_36,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_36,True,,5,angry_02,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_37,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_37,True,,5,angry_02,,3,angry,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_38,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_38,False,,5,angry,,3,angry,,L_30,L_30,1.0,,liliweiss,,
d_ex_redash_05_2_39,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_39,True,,5,angyry,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_40,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_40,True,,5,angry,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_41,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_41,True,,5,angry,,3,no,,L_30,50,1.0,,liliweiss,,
d_ex_redash_05_2_42,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_42,True,,5,sad,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_43,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_43,True,,5,sad,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_44,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_44,False,,5,sad,,3,no,,50,4,1.0,,commander,,
d_ex_redash_05_2_45,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_45,True,,5,sad,,3,no,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_46,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_46,True,,5,sad,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_47,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_47,True,,5,sad,,3,angry,,4,4,1.0,,commander,,
d_ex_redash_05_2_48,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_48,True,,5,sad,,3,angry,,4,4,1.0,,commander,,
d_ex_redash_05_2_49,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_49,True,,5,angry_02,,3,angry,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_50,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_50,True,,5,angry_02,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_51,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_51,True,,5,angry,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_52,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_52,True,,5,angry,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_53,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_53,False,,5,sad,,3,no,,4,50,1.0,,liliweiss,,
d_ex_redash_05_2_54,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_54,True,,5,sad,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_55,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_55,True,,5,sad,,3,no,,50,500,0.7,,liliweiss,,
d_ex_redash_05_2_56,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_56,True,,5,sad,,3,no,,500,500,1.0,,liliweiss,,
d_ex_redash_05_2_57,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_57,True,,5,sad,,3,no,,500,500,1.0,,liliweiss,,
d_ex_redash_05_2_58,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_58,True,,5,sad,,3,no,,500,500,1.0,,liliweiss,,
d_ex_redash_05_2_59,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_59,True,,5,sad,,3,no,,500,500,1.0,,commander,,
d_ex_redash_05_2_60,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_60,True,,5,angry,,3,no,,500,50,1.0,,liliweiss,,
d_ex_redash_05_2_61,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_61,True,,5,angry,,3,surprise,,50,4,1.0,,commander,,
d_ex_redash_05_2_62,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_62,True,,5,angry,,3,surprise,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_63,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_63,True,,5,angry,,3,angry,,4,4,1.0,,commander,,
d_ex_redash_05_2_64,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_64,True,,5,sad,,3,angry,,4,4,1.0,none,liliweiss,,
d_ex_redash_05_2_65,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_65,True,,5,sad,,3,angry,,4,4,1.0,event_bgm_redash_freesia,liliweiss,,
d_ex_redash_05_2_66,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_66,True,,5,sad,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_67,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_67,True,,5,sad,,3,no,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_68,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_68,True,,5,sad,,3,no,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_69,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_69,True,,5,sad,,3,surprise,,4,4,1.0,,commander,,
d_ex_redash_05_2_70,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_70,True,,5,sad,,3,surprise,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_71,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_71,True,,5,sad,,3,angry,,4,L_30,1.0,,commander,,
d_ex_redash_05_2_72,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_72,True,,5,sad,,3,angry,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_73,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_73,True,,5,sad,,3,angry,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_74,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_74,True,,5,sad,,3,angry,,L_30,4,1.0,,liliweiss,,
d_ex_redash_05_2_75,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_75,True,,5,sad,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_76,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_76,True,,5,sad,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_77,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_77,True,,5,think,,3,no,,5,50,0.7,,liliweiss,,
d_ex_redash_05_2_78,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_78,True,,5,think,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_79,80800,d_ex_redash_05_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_2_79,False,,5,think,,3,no,,black,black,1.0,,,,sfx_scn_windowclack
