id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_jinxplayer_06_s_13,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_13,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_14,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_14,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_15,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_15,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_16,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_16,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_17,40058,event_jinxplayer_06_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_06_s_17,False,,30,30,1.0,,,,,,,,3,sad,,,,,
event_jinxplayer_06_s_18,40058,event_jinxplayer_06_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_06_s_18,False,,30,30,1.0,,,,,,,,3,sad,,,,,
event_jinxplayer_06_s_19,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_19,False,,30,30,1.0,,,,,,,,3,sad,,,,,
event_jinxplayer_06_s_20,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_20,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_21,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_21,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_22,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_22,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_23,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_23,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_24,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_24,False,,30,30,1.0,,,,,,,,3,idle,,,,,
event_jinxplayer_06_s_25,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_25,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_26,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_26,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_27,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_27,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_28,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_28,False,,30,4,1.0,,sfx_scn_dooropen,rouge,,,,,3,sad,,femalestaff,5,idle,
event_jinxplayer_06_s_29,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_29,True,,4,4,1.0,,,femalestaff,,,,,3,idle,,,5,idle,
event_jinxplayer_06_s_30,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_30,True,,4,4,1.0,,,femalestaff,,,,,3,idle,,,5,idle,
event_jinxplayer_06_s_31,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_31,False,,4,4,1.0,,sfx_scn_doorcloselight,rouge,,,,,3,idle,,,5,idle,femalestaff
event_jinxplayer_06_s_32,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_32,True,,4,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_33,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_33,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_34,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_34,True,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_35,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_35,False,,30,30,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_36,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_36,True,,30,300,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_37,40058,event_jinxplayer_06_s,Choice,,Locale_SubScenario:event_jinxplayer_06_s_37,False,,300,300,1.0,,,rouge,event_jinxplayer_06_s_39,,,,3,idle,,,,,
event_jinxplayer_06_s_38,40058,event_jinxplayer_06_s,Choice,,Locale_SubScenario:event_jinxplayer_06_s_38,False,,300,300,1.0,,,rouge,event_jinxplayer_06_s_44,,,,3,idle,,,,,
event_jinxplayer_06_s_39,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_39,False,,300,300,1.0,,,rouge,,,,,3,shy,,,,,
event_jinxplayer_06_s_40,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_40,True,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_41,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_41,True,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_42,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_42,True,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_43,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_43,False,,300,300,1.0,,,rouge,event_jinxplayer_06_s_52,,,,3,delight,,,,,
event_jinxplayer_06_s_44,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_44,True,,300,300,1.0,,,rouge,,,,,3,surprise,,,,,
event_jinxplayer_06_s_45,40058,event_jinxplayer_06_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_06_s_45,False,,300,300,1.0,,,rouge,,,,,3,surprise,,,,,
event_jinxplayer_06_s_46,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_46,False,,300,300,1.0,,,rouge,,,,,3,surprise,,,,,
event_jinxplayer_06_s_47,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_47,True,,300,300,1.0,,,rouge,,,,,3,shy,,,,,
event_jinxplayer_06_s_48,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_48,True,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_49,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_49,True,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_50,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_50,True,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_51,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_51,False,,300,300,1.0,,,rouge,event_jinxplayer_06_s_52,,,,3,delight,,,,,
event_jinxplayer_06_s_52,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_52,False,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_53,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_53,False,,300,300,1.0,,,rouge,,,,,3,delight,,,,,
event_jinxplayer_06_s_54,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_54,True,,300,300,1.0,,,rouge,,,,,3,surprise,,,,,
event_jinxplayer_06_s_55,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_55,True,,300,300,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_56,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_56,True,,300,300,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_57,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_57,False,,300,3,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_58,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_58,False,,3,3,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_59,40058,event_jinxplayer_06_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_06_s_59,False,,black,black,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_60,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_60,False,,black,black,1.0,none,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_61,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_61,True,,3,3,1.0,bgm_story_weare,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_62,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_62,True,,3,3,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_63,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_63,True,,3,3,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_64,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_64,False,,3,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_65,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_65,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_66,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_66,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_67,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_67,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_68,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_68,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_69,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_69,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_70,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_70,True,,30,3,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_71,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_71,True,,3,3,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_72,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_72,False,Corridor,black,black,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_73,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_73,False,,black,black,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_74,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_74,False,,3,3,1.0,none,sfx_scn_medhit,rouge,,Low_2,,,3,think,,,,,
event_jinxplayer_06_s_75,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_75,True,,3,30,0.3,bgm_story_fairytalesend_if,,rouge,,,,,3,pain,,,,,
event_jinxplayer_06_s_76,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_76,False,,30,30,1.0,,,rouge,,,,,3,pain,,,,,
event_jinxplayer_06_s_77,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_77,False,,30,30,1.0,,,rouge,,,,,3,pain,,,,,
event_jinxplayer_06_s_78,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_78,False,,30,30,1.0,,sfx_scn_heavytrip,rouge,,Low_2,,,3,pain,rouge,,,,
event_jinxplayer_06_s_79,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_79,True,,30,30,1.0,,,rouge,,,,rouge,3,sad,,,,,
event_jinxplayer_06_s_80,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_80,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_81,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_81,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_82,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_82,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_83,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_83,False,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_84,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_84,True,,30,30,1.0,,,rouge,,,,,3,no,,,,,
event_jinxplayer_06_s_85,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_85,False,,30,30,1.0,,,rouge,,,,,3,no,,,,,
event_jinxplayer_06_s_86,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_86,True,,30,4,1.0,,,femalestaff,,,,,3,no,,femalestaff,5,idle,
event_jinxplayer_06_s_87,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_87,True,,4,4,1.0,,,femalestaff,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_88,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_88,True,,4,4,1.0,,,femalestaff,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_89,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_89,True,,4,4,1.0,,,rouge,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_90,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_90,True,,4,4,1.0,,,rouge,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_91,40058,event_jinxplayer_06_s,Speech,mc,Locale_SubScenario:event_jinxplayer_06_s_91,True,,4,4,1.0,,,mc,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_92,40058,event_jinxplayer_06_s,Speech,mc,Locale_SubScenario:event_jinxplayer_06_s_92,True,,4,4,1.0,,,mc,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_93,40058,event_jinxplayer_06_s,Speech,audience01,Locale_SubScenario:event_jinxplayer_06_s_93,True,,4,4,1.0,,sfx_scn_crowdcheer,audience01,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_94,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_94,True,,4,4,1.0,,,rouge,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_95,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_95,True,,4,4,1.0,,,femalestaff,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_96,40058,event_jinxplayer_06_s,Speech,femalestaff,Locale_SubScenario:event_jinxplayer_06_s_96,True,,4,4,1.0,,,femalestaff,,,,,3,no,,,5,idle,
event_jinxplayer_06_s_97,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_97,True,,4,30,1.0,,,rouge,,,,,3,sad,,,5,idle,femalestaff
event_jinxplayer_06_s_98,40058,event_jinxplayer_06_s,Speech,mc,Locale_SubScenario:event_jinxplayer_06_s_98,True,,30,30,1.0,,,mc,,,black,,3,sad,,,,,
event_jinxplayer_06_s_99,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_99,False,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_100,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_100,True,,30,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_101,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_101,False,,black,black,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_102,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_102,False,,black,black,1.0,,,rouge,,,,,3,think,,,,,
