id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_16_36,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_36,True,,S_30,S_30,1.0,,,anchor,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_37,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_37,False,,black,black,1.0,,,,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_38,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_38,False,,3,S_300,0.3,,,anchor,,,1,sad2,,3,surprise,,,
d_ex_seayouagain_16_39,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_39,True,,S_300,S_300,1.0,,,anchor,,,1,sad2,,3,surprise,,,
d_ex_seayouagain_16_40,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_40,False,,S_300,S_300,1.0,,sfx_scn_digup,,,,1,sad2,,3,surprise,,,
d_ex_seayouagain_16_41,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_41,False,,S_300,S_300,1.0,,,,,,1,sad2,,3,surprise,,,
d_ex_seayouagain_16_42,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_42,False,,black,black,1.0,,,,,,1,sad2,,3,surprise,,,
d_ex_seayouagain_16_43,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_43,True,,S_300,S_300,1.0,,,anchor,,,1,sad2,,3,delight,,,
d_ex_seayouagain_16_44,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_44,True,,S_300,S_30,1.0,,,anchor,,,1,sad2,,3,delight,,,
d_ex_seayouagain_16_45,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_45,True,,S_30,S_30,1.0,,,anchor,,,1,sad2,,3,shy,,,
d_ex_seayouagain_16_46,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_46,True,,S_30,10,1.0,,,mast_s,,,1,idle,,3,shy,,,
d_ex_seayouagain_16_47,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_47,True,,10,10,1.0,,,mast_s,,,1,idle,,3,shy,,,
d_ex_seayouagain_16_48,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_48,False,,10,S_30,1.0,,,,,,1,surprise,,3,shy,,,
d_ex_seayouagain_16_49,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_49,True,,S_30,S_30,1.0,,,anchor,,,1,idle,,3,delight,,,
d_ex_seayouagain_16_50,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_50,True,LogHouseIn_n,2,2,1.0,,,anchor,black,,1,idle,,3,delight,,,
d_ex_seayouagain_16_51,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_51,True,,2,2,1.0,,,mast_s,,,1,idle,,3,delight,,,
d_ex_seayouagain_16_52,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_52,True,,2,2,1.0,,,anchor,,,1,idle,,3,delight,helm_s,5,surprise
d_ex_seayouagain_16_53,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_53,True,,5,50,1.0,,,helm_s,,,1,idle,,3,delight,,5,surprise
d_ex_seayouagain_16_54,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_54,True,,2,2,1.0,,,anchor,,,1,idle,,3,delight,,5,surprise
d_ex_seayouagain_16_55,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_55,True,,2,2,1.0,,,anchor,,,1,idle,,3,delight,,5,surprise
d_ex_seayouagain_16_56,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_56,True,,2,2,1.0,,,anchor,,,1,idle,,3,delight,,5,surprise
d_ex_seayouagain_16_57,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_57,True,,2,2,1.0,,,mast_s,,,1,idle2,,3,delight,,5,surprise
d_ex_seayouagain_16_58,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_58,True,,2,4,1.0,,,helm_s,,,1,idle2,,3,delight,,5,think
d_ex_seayouagain_16_59,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_59,True,,4,4,1.0,,,anchor,,,1,sad,,3,delight,,5,think
d_ex_seayouagain_16_60,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_60,True,,4,4,1.0,,,anchor,,,1,sad,,3,delight,,5,think
d_ex_seayouagain_16_61,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_61,True,,4,4,1.0,,,helm_s,,,1,idle,,3,delight,,5,idle
d_ex_seayouagain_16_62,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_62,True,,4,4,1.0,,,helm_s,,,1,idle,,3,delight,,5,idle
d_ex_seayouagain_16_63,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_63,True,,4,4,1.0,,,helm_s,,,1,idle,,3,delight,,5,angry
d_ex_seayouagain_16_64,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_64,True,,4,4,1.0,,,anchor,,,1,idle,,3,surprise,,5,angry
d_ex_seayouagain_16_65,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_65,True,,4,4,1.0,,,helm_s,,,1,idle,,3,surprise,,5,angry
d_ex_seayouagain_16_66,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_66,True,,4,4,1.0,,,anchor,,,1,idle,,3,idle,,5,angry
d_ex_seayouagain_16_67,80600,d_ex_seayouagain_16,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_16_67,True,,50,500,0.5,,,helm_s,,,1,idle,,3,idle,,5,angry
d_ex_seayouagain_16_68,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_68,True,,2,2,1.0,,,anchor,,,1,idle,,3,idle,,5,angry
d_ex_seayouagain_16_69,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_69,True,,2,2,1.0,,,mast_s,,,1,sad,,3,surprise,,5,angry
d_ex_seayouagain_16_70,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_70,True,,2,2,1.0,,,mast_s,,,1,sad,,3,surprise,,5,angry
d_ex_seayouagain_16_71,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_71,True,,S_30,S_300,0.5,,,anchor,,,1,sad,,3,surprise,,5,angry
d_ex_seayouagain_16_72,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_72,False,,S_300,S_300,1.0,,,,,,1,sad,,3,sad,,5,angry
d_ex_seayouagain_16_73,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_73,False,,black,black,1.0,,,,,,1,sad,,3,sad,,5,angry
