id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_oldtales1_05_s_26,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_26,True,,12,12,1.0,,redshoes,redshoes,,1,angry,,,,3,idle,,13,smile
event_oldtales1_05_s_27,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_27,True,,12,12,1.0,,redshoes,redshoes,,1,angry,,,,3,idle,,13,smile
event_oldtales1_05_s_28,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_28,False,,12,12,1.0,,abe,abe,,1,angry,,,,3,idle,,13,smile
event_oldtales1_05_s_29,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_29,True,,12,12,1.0,,abe,abe,,1,angry,,,,3,idle,,13,smile
event_oldtales1_05_s_30,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_30,True,,12,12,1.0,,redshoes,redshoes,,1,angry,,,,3,idle,,13,worry
event_oldtales1_05_s_31,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_31,True,,12,12,1.0,,redshoes,redshoes,,1,angry,,,,3,idle,,13,worry
event_oldtales1_05_s_32,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_32,True,,12,12,1.0,,abe,abe,,1,rage,,,,3,idle,,13,worry
event_oldtales1_05_s_33,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_33,True,,12,12,1.0,,redshoes,redshoes,,1,rage,,,,3,idle,,13,surprise
event_oldtales1_05_s_34,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_34,True,,12,10,0.7,,abe,abe,,1,rage,,,,3,idle,,13,surprise
event_oldtales1_05_s_35,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_35,True,,10,10,1.0,,abe,abe,,1,rage,,,,3,idle,,13,surprise
event_oldtales1_05_s_36,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_36,True,,10,10,1.0,,abe,abe,,1,rage,,,,3,idle,,13,surprise
event_oldtales1_05_s_37,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_37,False,,130,130,1.0,,redshoes,redshoes,,1,rage,,,,3,idle,,13,think
event_oldtales1_05_s_38,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_38,True,,10,10,1.0,,abe,abe,,1,rage,,,,3,idle,,13,think
event_oldtales1_05_s_39,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_39,True,,10,100,0.7,,abe,abe,,1,rage,,,,3,idle,,13,think
