id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id
event_goldencoinrush1_01_e_15,40048,event_goldencoinrush1_01_e,Narration,Locale_MainScenario:event_goldencoinrush1_01_e_15,False,,10,S_10,1.0,,sfx_scn_autodooropen,,,soda,1,sad,,
event_goldencoinrush1_01_e_16,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_16,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_17,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_17,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_18,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_18,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_19,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_19,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_20,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_20,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_21,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_21,True,,S_10,S_100,0.6,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_22,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_22,True,,S_100,S_100,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_23,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_23,False,,black,black,1.0,,,soda,,,1,sad,black,
event_goldencoinrush1_01_e_24,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_24,False,,1,1,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_25,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_25,False,,1,1,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_26,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_26,True,,1,1,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_27,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_27,True,,1,1,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_28,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_28,True,,1,1,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_29,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_29,True,,1,1,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_30,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_30,False,,1,1,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_31,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_31,True,,1,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_32,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_32,False,,S_10,S_10,1.0,,,soda,,,1,serious,,
event_goldencoinrush1_01_e_33,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_33,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_34,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_34,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_35,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_35,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_36,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_36,False,,S_10,S_10,1.0,,,soda,,,1,serious,,
event_goldencoinrush1_01_e_37,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_37,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_38,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_38,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_39,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_39,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_40,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_40,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_41,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_41,True,,S_10,S_10,1.0,,,soda,soda,,1,serious,,
event_goldencoinrush1_01_e_42,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_42,False,,S_10,S_10,1.0,,,soda,,,1,serious,,
event_goldencoinrush1_01_e_43,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_43,True,,S_10,S_100,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_44,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_44,True,,S_100,S_100,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_45,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_45,True,,S_100,S_100,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_46,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_46,True,,S_100,S_100,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_47,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_47,False,,S_100,S_100,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_48,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_48,False,,S_100,S_100,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_49,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_49,True,,S_100,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_50,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_50,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_51,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_51,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_52,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_52,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_53,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_53,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_54,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_54,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_55,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_55,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_56,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_56,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_57,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_57,True,,S_10,S_10,1.0,,,soda,soda,,1,sad,,
event_goldencoinrush1_01_e_58,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_58,False,,S_10,S_10,1.0,,,soda,,,1,sad,,
event_goldencoinrush1_01_e_59,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_59,True,,S_10,S_10,1.0,,,soda,soda,,1,shy,,
event_goldencoinrush1_01_e_60,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_60,False,,S_10,S_10,1.0,,,soda,,,1,shy,,
event_goldencoinrush1_01_e_61,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_61,True,,S_10,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_62,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_62,True,,1,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_63,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_63,True,,1,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_64,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_64,True,,1,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_65,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_65,True,,1,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_66,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_66,False,,1,1,1.0,,,soda,,,1,idle,,
event_goldencoinrush1_01_e_67,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_67,False,,1,1,1.0,,,soda,,,1,idle,,
event_goldencoinrush1_01_e_68,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_68,True,,1,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_69,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_69,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_70,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_70,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_71,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_71,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_72,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_72,False,,S_10,S_10,1.0,,,soda,,,1,idle,,
event_goldencoinrush1_01_e_73,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_73,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_74,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_74,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_75,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_75,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_76,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_76,True,,S_10,S_10,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_77,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_77,False,,S_10,S_10,1.0,,,soda,,,1,idle,,
event_goldencoinrush1_01_e_78,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_78,True,,S_10,S_10,1.0,,,soda,soda,,1,think,,
event_goldencoinrush1_01_e_79,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_79,True,,S_10,1,1.0,,,soda,soda,,1,think,,
event_goldencoinrush1_01_e_80,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_80,True,,1,1,1.0,,,soda,soda,,1,think,,
event_goldencoinrush1_01_e_81,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_81,False,,1,1,1.0,,,soda,,,1,think,,
event_goldencoinrush1_01_e_82,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_82,True,,1,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_83,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_83,True,,1,1,1.0,,,soda,soda,,1,idle,,
event_goldencoinrush1_01_e_84,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_84,False,,1,1,1.0,,,soda,,,1,idle,,
event_goldencoinrush1_01_e_85,40048,event_goldencoinrush1_01_e,Narration,Locale_MainScenario:event_goldencoinrush1_01_e_85,False,,1,1,1.0,,sfx_scn_autodooropen,soda,,,1,idle,,soda
event_goldencoinrush1_01_e_86,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_86,False,,black,black,1.0,,,soda,,,,,,
event_goldencoinrush1_01_e_87,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_87,False,,black,black,1.0,,,soda,,,,,,
