id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,play_sound,fade,conversation_id,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_wisdomspring_03_s_22,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_22,False,,1,1,1.0,,,,,,,,,,,
event_wisdomspring_03_s_23,40068,event_wisdomspring_03_s,Narration,Locale_SubScenario:event_wisdomspring_03_s_23,False,,1,10,1.0,,,,sfx_scn_sit,,,,,,,
event_wisdomspring_03_s_24,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_24,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_25,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_25,False,,10,10,1.0,,,,,,m_event_wisdomspring_03_s,,,,,
event_wisdomspring_03_s_26,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_26,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_27,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_27,False,,10,6001,1.0,,,,,,,,,,,
event_wisdomspring_03_s_28,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_28,False,,6001,6001,1.0,,,,,,,,,,,
event_wisdomspring_03_s_29,40068,event_wisdomspring_03_s,Narration,Locale_SubScenario:event_wisdomspring_03_s_29,False,,6001,100,1.0,,,,sfx_scn_rustle,,,,,,,
event_wisdomspring_03_s_30,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_30,False,,100,100,1.0,,,,,,,,,,,
event_wisdomspring_03_s_31,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_31,False,,100,100,1.0,,,,,,,,,,,
event_wisdomspring_03_s_32,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_32,False,,100,1,1.5,,,,,,,,,,,
event_wisdomspring_03_s_33,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_33,False,,1,1,1.0,,,,,,,,,,,
event_wisdomspring_03_s_34,40068,event_wisdomspring_03_s,Speech,Locale_SubScenario:event_wisdomspring_03_s_34,True,,1,1,1.0,none,,,,,,mana,mana,mana,5,idle
event_wisdomspring_03_s_35,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_35,False,,1,5,2.0,,,,,,,mana,,,5,idle
event_wisdomspring_03_s_36,40068,event_wisdomspring_03_s,Speech,Locale_SubScenario:event_wisdomspring_03_s_36,True,,5,5,1.0,,,,,,,mana,mana,,5,idle
event_wisdomspring_03_s_37,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_37,False,,5,50,1.0,,,,,,,mana,,,5,idle
event_wisdomspring_03_s_38,40068,event_wisdomspring_03_s,Speech,Locale_SubScenario:event_wisdomspring_03_s_38,True,,50,50,1.0,,,,,,,mana,mana,,5,idle
