id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_redash2_03_s_18,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_18,False,,black,black,1.0,sfx_scn_fastcar,,,,,,,1,angry	,,13,angry
event_redash2_03_s_19,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_19,False,,black,black,1.0,sfx_scn_tiresqueal,,,,,black,,1,idle,,13,angry
event_redash2_03_s_20,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_20,False,,black,black,1.0,,,,,,,,1,idle,,13,angry
event_redash2_03_s_21,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_21,False,,black,black,1.0,,,,,,,,1,idle,,13,angry
event_redash2_03_s_22,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_22,True,,13,130,1.0,,,redhood,redhood,,,,1,idle,,13,angry
event_redash2_03_s_23,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_23,True,,130,L_10,1.0,,,oswald_o,oswald_o,,,,1,idle,,13,angry
event_redash2_03_s_24,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_24,True,,L_10,L_10,1.0,,,oswald_o,oswald_o,,,,1,pain,,13,angry
event_redash2_03_s_25,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_25,True,,130,130,1.0,,,redhood,redhood,,,,1,pain,,13,angry
event_redash2_03_s_26,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_26,True,,L_10,L_10,1.0,,,oswald_o,oswald_o,,,,1,idle,,13,angry
event_redash2_03_s_27,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_27,True,,L_10,L_100,1.0,,,oswald_o,oswald_o,,,,1,idle,,13,angry
event_redash2_03_s_28,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_28,True,,L_100,L_100,1.0,,,oswald_o,oswald_o,,,,1,idle,,13,angry
event_redash2_03_s_29,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_29,True,,1300,1300,1.0,,,redhood,redhood,,,,1,idle,,13,angry
event_redash2_03_s_30,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_30,True,,L_100,L_100,1.0,,,oswald_o,oswald_o,,,,1,idle,,13,angry
event_redash2_03_s_31,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_31,True,,1300,13,1.0,,,redhood,redhood,,,,1,idle,,13,angry
event_redash2_03_s_32,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_32,True,,13,113,1.0,,,oswald_o,oswald_o,,,,1,angry,,13,angry
event_redash2_03_s_33,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_33,True,,113,113,1.0,,,redhood,redhood,,,,1,angry,,13,angry
event_redash2_03_s_34,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_34,True,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry,,13,angry
event_redash2_03_s_35,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_35,False,,black,black,1.0,sfx_scn_cardoorkick,,,,,,,1,angry,,13,angry
event_redash2_03_s_36,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_36,False,,black,black,1.0,,,,,,,,1,angry,,13,angry
event_redash2_03_s_37,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_37,True,,1,L_100,1.0,,,oswald_o,oswald_o,,,,1,angry,,13,angry
