id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_ltk_01_s_16,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_16,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_17,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_17,True,,1,1,1.0,,,,2,idle,,12,surprise,k,,,
event_ltk_01_s_18,40012,event_ltk_01_s,Self,Self,Locale_SubScenario:event_ltk_01_s_18,False,,1,1,1.0,,,,2,idle,,12,surprise,,,,
event_ltk_01_s_19,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_19,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_20,40012,event_ltk_01_s,Narration,Narration,Locale_SubScenario:event_ltk_01_s_20,False,CommanderRoom,1,1,1.0,none,,,2,idle,,12,idle,,d,k,black
event_ltk_01_s_21,40012,event_ltk_01_s,Monologue,Monologue,Locale_SubScenario:event_ltk_01_s_21,False,,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,
event_ltk_01_s_22,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_22,True,,1,1,1.0,,,d,2,idle,k,12,idle,d,,,
event_ltk_01_s_23,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_23,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_24,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_24,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_25,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_25,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_26,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_26,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_27,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_27,True,,1,1,1.0,,,,2,angry,,12,idle,d,,,
event_ltk_01_s_28,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_28,True,,1,1,1.0,,,,2,angry,,12,idle,k,,,
event_ltk_01_s_29,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_29,True,,1,S_120,1.0,,,,2,angry,,12,idle,k,,,
event_ltk_01_s_30,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_30,True,,S_120,S_120,1.0,,,,2,angry,,12,idle,k,,,
event_ltk_01_s_31,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_31,True,,S_120,S_120,1.0,,,,2,angry,,12,idle,k,,,
event_ltk_01_s_32,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_32,True,,20,20,1.0,,,,2,angry,,12,idle,d,,,
event_ltk_01_s_33,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_33,True,,20,1,1.0,,,,2,angry,,12,surprise,k,,,
event_ltk_01_s_34,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_34,False,,1,1,1.0,,,,2,think,,12,surprise,d,,,
event_ltk_01_s_35,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_35,True,,1,1,1.0,,,,2,idle,,12,idle,d,,,
event_ltk_01_s_36,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_36,True,,1,1,1.0,,,,2,idle,,12,idle,d,,,
event_ltk_01_s_37,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_37,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_38,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_38,True,,1,1,1.0,,,,2,idle,,12,idle,d,,,
event_ltk_01_s_39,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_39,True,,1,20,1.0,,,,2,idle,,12,idle,d,,,
event_ltk_01_s_40,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_40,True,,20,S_120,0.7,,,,2,idle,,12,delight,k,,,
event_ltk_01_s_41,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_41,True,,20,20,1.0,,,,2,angry,,12,delight,d,,,
event_ltk_01_s_42,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_42,True,,20,S_120,0.7,,,,2,angry,,12,think,k,,,
event_ltk_01_s_43,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_43,True,,S_120,S_120,1.0,,,,2,idle,,12,think,k,,,
event_ltk_01_s_44,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_44,True,,S_120,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_45,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_45,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_46,40012,event_ltk_01_s,Self,Self,Locale_SubScenario:event_ltk_01_s_46,False,,1,1,1.0,,,,2,idle,,12,idle,,,,
event_ltk_01_s_47,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_47,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_48,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_48,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
