id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_goldencoinrush2_04_e_11,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_11,True,,13,idle,,1,sad,,3,sad,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_12,40049,event_goldencoinrush2_04_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_e_12,True,,13,idle,,1,sad,,3,sad,,12,2,1.0,,,,,,,
event_goldencoinrush2_04_e_13,40049,event_goldencoinrush2_04_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_e_13,True,,13,idle,,1,sad,,3,sad,,2,2,1.0,,,,,,,
event_goldencoinrush2_04_e_14,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_14,True,,13,idle,,1,surprise,,3,sad,,2,2,1.0,,,,,,,
event_goldencoinrush2_04_e_15,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_15,True,,13,idle,,1,surprise,,3,sad,,2,2,1.0,,,,,,,
event_goldencoinrush2_04_e_16,40049,event_goldencoinrush2_04_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_e_16,True,,13,idle,,1,surprise,,3,sad,,2,2,1.0,,,,,,,
event_goldencoinrush2_04_e_17,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_17,True,,13,idle,,1,idle,,3,sad,,2,2,1.0,,,,,,,
event_goldencoinrush2_04_e_18,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_18,True,,13,idle,,1,idle,,3,sad,,2,12,1.0,,,,,,,
event_goldencoinrush2_04_e_19,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_19,True,,13,idle,,1,idle,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_20,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_20,True,,13,idle,,1,idle,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_21,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_21,True,,13,idle,,1,idle,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_22,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_22,True,,13,idle,,1,sad,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_23,40049,event_goldencoinrush2_04_e,Self,soda_b,,Locale_MainScenario:event_goldencoinrush2_04_e_23,False,,13,idle,,1,sad,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_24,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_24,True,,13,idle,,1,sad,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_25,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_25,True,,13,idle,,1,sad,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_26,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_26,True,,13,idle,,1,worry,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_27,40049,event_goldencoinrush2_04_e,Self,soda_b,,Locale_MainScenario:event_goldencoinrush2_04_e_27,False,,13,idle,,1,worry,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_28,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_28,True,,13,idle,,1,worry,,3,worry,,12,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_29,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_29,True,,13,idle,,1,worry,,3,worry,,XS_130,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_30,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_30,True,,13,idle,,1,surprise,,3,worry,,XS_130,S_10,1.0,,,,,,,
event_goldencoinrush2_04_e_31,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_31,True,,13,idle,,1,surprise,,3,worry,,S_10,S_10,1.0,,,,,,,
event_goldencoinrush2_04_e_32,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_32,True,,13,idle,,1,surprise,,3,worry,,S_10,12,1.0,,,,,,,
event_goldencoinrush2_04_e_33,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_33,True,,13,idle,,1,surprise,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_34,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_34,True,,13,idle,,1,surprise,,3,worry,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_35,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_35,True,,13,idle,,1,shy,,3,delight,,12,S_10,1.0,,,,,,,
event_goldencoinrush2_04_e_36,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_36,True,,13,idle,,1,shy,,3,delight,,S_10,S_10,1.0,,,,,,,
event_goldencoinrush2_04_e_37,40049,event_goldencoinrush2_04_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_e_37,True,,13,idle,,1,shy,,3,delight,,S_10,XS_30,1.0,,,,,,,
event_goldencoinrush2_04_e_38,40049,event_goldencoinrush2_04_e,Self,mary_b,,Locale_MainScenario:event_goldencoinrush2_04_e_38,False,,13,idle,,1,shy,,3,delight,,XS_130,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_39,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_39,True,,13,idle,,1,shy,,3,delight,,XS_130,13,1.0,,,,,,,
event_goldencoinrush2_04_e_40,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_40,True,,13,idle,,1,shy,,3,delight,,13,13,1.0,,,,,,,
event_goldencoinrush2_04_e_41,40049,event_goldencoinrush2_04_e,Monologue,mary_b,,Locale_MainScenario:event_goldencoinrush2_04_e_41,False,,13,idle,,1,shy,,3,delight,CoinRushMainHall,black,black,1.0,none,mary_b,soda_b,alice_b,,,
event_goldencoinrush2_04_e_42,40049,event_goldencoinrush2_04_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_04_e_42,True,,,,,,,,,,,S_10,S_10,1.0,bgm_story_epicjazzymoods,,,,volume,1,angry
event_goldencoinrush2_04_e_43,40049,event_goldencoinrush2_04_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_04_e_43,True,,,,,,,,,,,S_10,S_10,1.0,,,,,,1,angry
event_goldencoinrush2_04_e_44,40049,event_goldencoinrush2_04_e,Monologue,volume,,Locale_MainScenario:event_goldencoinrush2_04_e_44,False,,,,,,,,,,,S_10,S_10,1.0,,,,,,1,angry
