id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,play_sound
event_nonsensered_3_12,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_12,True,,3,idle,,1,idle,,30,10,1.0,,,13,idle,,
event_nonsensered_3_13,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_13,True,,3,idle,,1,idle,,10,10,1.0,,,13,idle,,
event_nonsensered_3_14,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_14,True,,3,idle,,1,idle,,10,12,1.0,,,13,idle,,
event_nonsensered_3_15,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_15,True,,3,idle,,1,worry,,12,12,1.0,,,13,idle,,
event_nonsensered_3_16,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_16,True,,3,idle,,1,worry,,12,12,1.0,,,13,idle,,
event_nonsensered_3_17,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_17,True,,3,idle,,1,surprise,,12,12,1.0,,,13,idle,,
event_nonsensered_3_18,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_18,True,,3,idle,,1,surprise,,12,12,1.0,,,13,idle,,
event_nonsensered_3_19,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_19,True,,3,idle,,1,surprise,,12,12,1.0,,,13,idle,,
event_nonsensered_3_20,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_20,True,,3,idle,,1,surprise,,12,12,1.0,,,13,think,,
event_nonsensered_3_21,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_21,True,,3,idle,,1,surprise,,12,12,1.0,,,13,think,,
event_nonsensered_3_22,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_22,True,,3,idle,,1,idle,,12,10,1.5,,,13,think,,
event_nonsensered_3_23,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_23,False,,3,surprise,,1,idle,,130,130,1.0,,,13,worry,,
event_nonsensered_3_24,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_24,True,,3,surprise,,1,idle,,30,30,1.0,,,13,worry,,
event_nonsensered_3_25,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_25,True,,3,surprise,,1,smile,,10,100,1.0,,,13,worry,,
event_nonsensered_3_26,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_26,True,,3,surprise,,1,smile,,100,100,1.0,,,13,worry,,
event_nonsensered_3_27,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_27,True,,3,surprise,,1,smile,,130,130,1.0,,,13,worry,,
event_nonsensered_3_28,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_28,True,,3,surprise,,1,smile,,30,30,1.0,,,13,worry,,
event_nonsensered_3_29,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_29,True,,3,surprise,,1,panic,,100,10,1.0,,,13,worry,,
event_nonsensered_3_30,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_30,True,,3,surprise,,1,panic,,10,10,1.0,,,13,worry,,
event_nonsensered_3_31,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_31,True,,3,surprise,,1,panic,,10,2,1.0,,,13,worry,,
event_nonsensered_3_32,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_32,True,,3,surprise,,1,idle,,2,2,1.0,,,13,worry,,
event_nonsensered_3_33,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_33,True,,3,surprise,,1,idle,,2,2,1.0,,,13,worry,,
event_nonsensered_3_34,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_34,True,,3,surprise,,1,smile,,2,1,1.0,,,13,worry,,
event_nonsensered_3_35,130005,event_nonsensered_3,Monologue,redhood,,Locale_SubScenario:event_nonsensered_3_35,False,,3,surprise,,1,smile,,1,1,1.0,,,13,worry,redhood,sfx_scn_runaway
event_nonsensered_3_36,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_36,False,,1,think,,,,,1,12,1.0,,,13,worry,,
event_nonsensered_3_37,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_37,False,,1,think,,,,,12,12,1.0,,,13,worry,,
event_nonsensered_3_38,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_38,True,,1,no,,,,,12,12,1.0,,,13,worry,,
event_nonsensered_3_39,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_39,True,,1,no,,,,,12,12,1.0,,,13,think,,
