id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,jump_target
event_dazzlingcupid_01_s_55,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_55,True,,500,30,1.0,,naga,,5,shy,,3,worry,,
event_dazzlingcupid_01_s_56,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_56,True,,30,50,0.5,,tia,,5,idle,,3,worry,,
event_dazzlingcupid_01_s_57,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_57,True,,50,50,1.0,,tia,,5,idle,,3,worry,,
event_dazzlingcupid_01_s_58,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_58,True,,50,50,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_59,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_59,False,,black,black,1.0,,,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_60,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_60,False,,black,black,1.0,,,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_61,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_61,False,,black,black,1.0,,,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_62,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_62,False,,50,50,1.0,,,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_63,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_63,False,,50,50,1.0,,,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_64,40029,event_dazzlingcupid_01_s,Choice,,Locale_SubScenario:event_dazzlingcupid_01_s_64,False,,50,50,1.0,,,,5,delight,,3,idle,,event_dazzlingcupid_01_s_66
event_dazzlingcupid_01_s_65,40029,event_dazzlingcupid_01_s,Choice,,Locale_SubScenario:event_dazzlingcupid_01_s_65,False,,50,50,1.0,,,,5,delight,,3,idle,,event_dazzlingcupid_01_s_66
event_dazzlingcupid_01_s_66,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_66,True,,50,500,0.5,,tia,,5,shy,,3,idle,,
event_dazzlingcupid_01_s_67,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_67,True,,500,500,1.0,,tia,,5,shy,,3,idle,,
event_dazzlingcupid_01_s_68,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_68,False,,500,500,1.0,,,,5,shy,,3,idle,,
event_dazzlingcupid_01_s_69,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_69,False,,500,500,1.0,,,,5,shy,,3,idle,,
event_dazzlingcupid_01_s_70,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_70,False,,500,5,1.0,,,,5,shy,,3,idle,,
event_dazzlingcupid_01_s_71,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_71,True,,5,5,1.0,,naga,,5,shy,,3,void,,
event_dazzlingcupid_01_s_72,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_72,True,,5,50,1.0,,tia,,5,surprise,,3,void,,
event_dazzlingcupid_01_s_73,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_73,True,,50,50,1.0,,tia,,5,idle,,3,void,,
event_dazzlingcupid_01_s_74,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_74,True,,50,50,1.0,,tia,,5,idle,,3,void,,
event_dazzlingcupid_01_s_75,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_75,True,,50,50,1.0,,tia,,5,surprise,,3,void,,
event_dazzlingcupid_01_s_76,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_76,True,,50,4,0.7,,naga,,5,surprise,,3,idle,,
event_dazzlingcupid_01_s_77,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_77,True,,4,4,1.0,,naga,,5,surprise,,3,delight,,
event_dazzlingcupid_01_s_78,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_78,True,,4,4,1.0,,naga,,5,surprise,,3,delight,,
event_dazzlingcupid_01_s_79,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_79,True,,4,4,1.0,,tia,,5,surprise,,3,delight,,
event_dazzlingcupid_01_s_80,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_80,False,,4,4,1.0,,,,5,surprise,,3,delight,,
event_dazzlingcupid_01_s_81,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_81,True,,3,30,0.5,,naga,,5,surprise,,3,delight,,
event_dazzlingcupid_01_s_82,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_82,True,,30,30,1.0,,naga,,5,surprise,,3,delight,,
event_dazzlingcupid_01_s_83,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_83,True,,30,30,1.0,,naga,,5,surprise,,3,delight,,
