id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id
event_coinsinrush2_01_s_29,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_29,False,,black,black,1.0,sfx_scn_drinkwater,,,,,15,idle,,,,,,,,
event_coinsinrush2_01_s_30,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_30,True,,150,150,1.0,,,ade_b_op_r,ade_b_op_r,,15,idle,,ade_b_op_r,OP_rightup,idle,,,,
event_coinsinrush2_01_s_31,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_31,True,,150,150,1.0,,,ade_b_op_r,ade_b_op_r,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_32,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_32,False,,150,150,1.0,,,,ade_b_op_r,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_33,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_33,False,,150,150,1.0,,,,bay_b,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_34,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_34,True,,150,150,1.0,,,bay_b,bay_b,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_35,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_35,True,,150,150,1.0,,,bay_b,bay_b,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_36,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_36,False,,150,150,1.0,,,,bay_b,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_37,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_37,False,,150,150,1.0,,,,bay_b,,15,idle,,,OP_rightup,idle,,,,
event_coinsinrush2_01_s_38,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_38,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,idle,exia_b_op,OP_leftup,idle,
event_coinsinrush2_01_s_39,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_39,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_40,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_40,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_41,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_41,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_42,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_42,False,,150,150,1.0,,,,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_43,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_43,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_44,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_44,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_45,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_45,False,,150,150,1.0,,,,exia_b_op,,15,idle,,,OP_rightup,idle,,OP_leftup,idle,
event_coinsinrush2_01_s_46,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_46,True,,150,150,1.0,,,milk_b_op_r,milk_b_op_r,,15,idle,,milk_b_op_r,OP_rightup,good,,OP_leftup,idle,ade_b_op_r
event_coinsinrush2_01_s_47,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_47,True,,150,150,1.0,,,milk_b_op_r,milk_b_op_r,,15,idle,,,OP_rightup,good,,OP_leftup,idle,
event_coinsinrush2_01_s_48,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_48,True,,150,150,1.0,,,rouge_b_op_r,rouge_b_op_r,,15,idle,,rouge_b_op_r,OP_rightup,delight2,,OP_leftup,idle,milk_b_op_r
event_coinsinrush2_01_s_49,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_49,True,,150,150,1.0,,,rouge_b_op_r,rouge_b_op_r,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_50,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_50,False,,150,150,1.0,,,,rouge_b_op_r,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_51,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_51,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_52,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_52,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_53,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_53,False,,150,150,1.0,,,,exia_b_op,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_54,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_54,True,,150,150,1.0,,,exia_b_op,exia_b_op,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_55,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_55,True,,150,1500,1.0,,,bay_b,bay_b,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_56,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_56,False,,1500,1500,1.0,,,,bay_b,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
event_coinsinrush2_01_s_57,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_57,False,,1500,1500,1.0,,,,bay_b,,15,idle,,,OP_rightup,delight2,,OP_leftup,idle,
