id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce003_1_03_s_36,40041,event_ce003_1_03_s,Narration,neon,,Locale_SubScenario:event_ce003_1_03_s_36,False,,4,4,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_37,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_37,True,,150,150,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,surprise,,,17,idle
event_ce003_1_03_s_38,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_38,True,,4,4,1.0,,,,1,idle,,3,void,,5,delight,,13,worry,,15,surprise,,,17,idle
event_ce003_1_03_s_39,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_39,True,,4,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,surprise,,,17,idle
event_ce003_1_03_s_40,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_40,True,,2,2,1.0,,,,1,idle,,3,idle,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_41,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_41,True,,2,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_42,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_42,True,,2,30,1.0,,,,1,idle,,3,angry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_43,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_43,True,,30,30,1.0,,,,1,idle,,3,angry,,5,idle,,13,surprise,,15,worry,,,17,idle
event_ce003_1_03_s_44,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_44,True,,30,S_50,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,idle
event_ce003_1_03_s_45,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_45,True,,S_50,4,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,idle
event_ce003_1_03_s_46,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_46,True,,4,4,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,idle
event_ce003_1_03_s_47,40041,event_ce003_1_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_03_s_47,True,,S_130,S_130,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,surprise
event_ce003_1_03_s_48,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_48,True,,S_130,12,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,surprise
event_ce003_1_03_s_49,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_49,True,,12,12,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,surprise
event_ce003_1_03_s_50,40041,event_ce003_1_03_s,Self,rapi,,Locale_SubScenario:event_ce003_1_03_s_50,False,,12,12,1.0,,,,1,idle,,3,angry,,5,no,,13,surprise,,15,worry,,,17,surprise
event_ce003_1_03_s_51,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_51,True,,12,14,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_52,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_52,True,,14,14,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_53,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_53,True,,14,14,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_54,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_54,True,,14,14,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_55,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_55,True,,14,150,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_56,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_56,True,,150,150,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_57,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_57,True,,150,150,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_58,40041,event_ce003_1_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_03_s_58,True,,150,S_130,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_59,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_59,True,,S_50,S_50,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_60,40041,event_ce003_1_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_1_03_s_60,True,,170,170,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,no
event_ce003_1_03_s_61,40041,event_ce003_1_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_1_03_s_61,True,,170,170,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,no
event_ce003_1_03_s_62,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_62,True,,S_50,S_50,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_63,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_63,True,,S_50,4,1.0,,,,1,idle,,3,idle,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_64,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_64,True,,4,4,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_65,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_65,True,,4,4,1.0,,,,1,idle,,3,void,,5,worry,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_66,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_66,True,,4,4,1.0,,,,1,idle,,3,void,,5,worry,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_67,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_67,True,,4,4,1.0,,,,1,idle,,3,worry,,5,worry,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_68,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_68,True,,4,4,1.0,,,,1,idle,,3,worry,,5,worry,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_69,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_69,True,,4,4,1.0,,,,1,idle,,3,void,,5,idle,,13,surprise,,15,idle,,,17,idle
event_ce003_1_03_s_70,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_70,True,,150,150,1.0,,,,1,idle,,3,void,,5,idle,,13,idle,,15,delight,,,17,idle
event_ce003_1_03_s_71,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_71,True,,150,150,1.0,,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_72,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_72,True,,30,30,1.0,,,,1,idle,,3,delight,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_73,40041,event_ce003_1_03_s,Monologue,anis,,Locale_SubScenario:event_ce003_1_03_s_73,False,,30,300,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_74,40041,event_ce003_1_03_s,Narration,anis,,Locale_SubScenario:event_ce003_1_03_s_74,False,,300,300,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_75,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_75,True,,300,300,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_76,40041,event_ce003_1_03_s,Monologue,anis,,Locale_SubScenario:event_ce003_1_03_s_76,False,,black,black,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_77,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_77,True,,S_50,S_50,1.0,,,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_78,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_78,True,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_79,40041,event_ce003_1_03_s,Self,ce_003_02,,Locale_SubScenario:event_ce003_1_03_s_79,False,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_80,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_80,True,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_81,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_81,True,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_82,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_82,True,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_83,40041,event_ce003_1_03_s,Self,ce_003_02,,Locale_SubScenario:event_ce003_1_03_s_83,False,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_84,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_84,True,,S_50,4,1.0,,,,1,idle,,3,idle,,5,surprise,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_85,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_85,True,,4,4,1.0,,,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_86,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_86,True,,4,4,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_87,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_87,True,,4,4,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_88,40041,event_ce003_1_03_s,Self,anis,,Locale_SubScenario:event_ce003_1_03_s_88,False,,4,4,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_89,40041,event_ce003_1_03_s,Self,anis,,Locale_SubScenario:event_ce003_1_03_s_89,False,,4,4,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_90,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_90,True,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_91,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_91,True,,150,150,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,17,idle
event_ce003_1_03_s_92,40041,event_ce003_1_03_s,Monologue,ce_003_02,,Locale_SubScenario:event_ce003_1_03_s_92,False,,150,16,1.0,,sfx_scn_runaway,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ce_003_02,,17,idle
event_ce003_1_03_s_93,40041,event_ce003_1_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_1_03_s_93,True,,16,16,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,17,idle
event_ce003_1_03_s_94,40041,event_ce003_1_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_03_s_94,True,,16,14,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,17,idle
event_ce003_1_03_s_95,40041,event_ce003_1_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_03_s_95,True,,14,S_130,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,17,idle
event_ce003_1_03_s_96,40041,event_ce003_1_03_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_03_s_96,False,,black,black,1.0,,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,17,idle
