id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
event_ce003_1_prologue_38,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_38,True,,130,130,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_39,40041,event_ce003_1_prologue,Speech,ce_003_01,Locale_SubScenario:event_ce003_1_prologue_39,True,,130,S_10,1.0,,ce_003_01,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_40,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_40,True,,150,150,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_41,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_41,True,,150,150,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_42,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_42,True,,150,150,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_43,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_43,True,,150,1500,1.0,,ce_003_03,,,1,worry,,13,worry,,15,special,
event_ce003_1_prologue_44,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_44,True,,12,12,1.0,,ce_003_02,,,1,worry,,13,worry,,15,special,
event_ce003_1_prologue_45,40041,event_ce003_1_prologue,Speech,ce_003_01,Locale_SubScenario:event_ce003_1_prologue_45,True,,12,12,1.0,,ce_003_01,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_46,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_46,True,,12,14,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_47,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_47,True,,14,14,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_48,40041,event_ce003_1_prologue,Speech,ce_003_01,Locale_SubScenario:event_ce003_1_prologue_48,True,,14,12,1.0,,ce_003_01,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_49,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_49,True,,12,12,1.0,,ce_003_02,,,1,worry,,13,idle,,15,idle,
event_ce003_1_prologue_50,40041,event_ce003_1_prologue,Narration,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_50,False,,black,black,1.0,,,,,1,worry,,13,idle,,15,idle,
