id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,highlight,play_sound
event_bluewaterisland1_06_s_11,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_11,False,,XS_50,XS_50,1.0,,,9,idle,,7,idle,,5,delight,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_12,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_12,True,,XS_50,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_13,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_13,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_14,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_14,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_15,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_15,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_16,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_16,True,,30,2,1.0,,,9,idle,,7,idle,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_17,40020,event_bluewaterisland1_06_s,Speech,volt,Locale_SubScenario:event_bluewaterisland1_06_s_17,True,,2,2,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,volt,sfx_scn_dogbark
event_bluewaterisland1_06_s_18,40020,event_bluewaterisland1_06_s,Monologue,Monologue,Locale_SubScenario:event_bluewaterisland1_06_s_18,False,,2,volt,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_19,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_19,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_20,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_20,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_21,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_21,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_22,40020,event_bluewaterisland1_06_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_06_s_22,True,,30,30,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,rapi_s,
event_bluewaterisland1_06_s_23,40020,event_bluewaterisland1_06_s,Speech,frima_s,Locale_SubScenario:event_bluewaterisland1_06_s_23,True,,130,130,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,frima_s,
event_bluewaterisland1_06_s_24,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_24,False,,130,130,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_25,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_25,True,,130,S_150,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_26,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_26,True,,S_150,S_150,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_27,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_27,True,,S_150,S_150,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_28,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_28,True,,S_150,S_150,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_29,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_29,True,,S_150,S_150,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_30,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_30,True,,S_150,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_31,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_31,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,etc,,17,idle,yan_s,
event_bluewaterisland1_06_s_32,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_32,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_33,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_33,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_34,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_34,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_35,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_35,False,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_36,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_36,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,yan_s,
event_bluewaterisland1_06_s_37,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_37,False,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,
event_bluewaterisland1_06_s_38,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_38,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,etc,,17,idle,yan_s,
event_bluewaterisland1_06_s_39,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_39,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,etc,,17,idle,neon_s,
event_bluewaterisland1_06_s_40,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_40,False,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,"expression_0,delight",,17,idle,yan_s,
event_bluewaterisland1_06_s_41,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_41,False,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,17,idle,,
event_bluewaterisland1_06_s_42,40020,event_bluewaterisland1_06_s,Speech,pepper_s,Locale_SubScenario:event_bluewaterisland1_06_s_42,True,,16,8,1.0,,,9,idle,,7,surprise,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,pepper_s,
event_bluewaterisland1_06_s_43,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_43,False,,8,8,1.0,,,9,idle,,7,surprise,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_44,40020,event_bluewaterisland1_06_s,Speech,pepper_s,Locale_SubScenario:event_bluewaterisland1_06_s_44,True,,8,8,1.0,,,9,idle,,7,surprise,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,pepper_s,
event_bluewaterisland1_06_s_45,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_45,True,,XS_170,XS_170,1.0,,,9,idle,,7,surprise,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_46,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_46,True,,XS_50,XS_50,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
event_bluewaterisland1_06_s_47,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_47,False,,XS_50,XS_50,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_48,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_48,False,,black,black,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_49,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_49,True,LogHouseIn_s,black,black,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_50,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_50,False,,17,XS_170,1.0,,,9,idle,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_51,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_51,True,,XS_170,XS_170,1.0,,,9,idle,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_52,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_52,True,,XS_170,16,0.3,,,9,idle,,7,idle,,5,idle,,3,shy,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
event_bluewaterisland1_06_s_53,40020,event_bluewaterisland1_06_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland1_06_s_53,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,shy,,1,idle,,13,idle,,15,idle,,17,idle,yan_s,
event_bluewaterisland1_06_s_54,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_54,False,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,shy,,1,idle,,13,idle,,15,idle,,17,idle,,
event_bluewaterisland1_06_s_55,40020,event_bluewaterisland1_06_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland1_06_s_55,True,,16,16,1.0,,,9,idle,,7,idle,,5,idle,,3,shy,,1,idle,,13,idle,,15,idle,,17,idle,neon_s,
