id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,speaker
event_exnii1_02_s_22,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_22,True,,5,50,1.0,,neon,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,neon
event_exnii1_02_s_23,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_23,True,,50,30,1.0,,anis,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,anis
event_exnii1_02_s_24,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_24,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,"expression_0,idle",,17,idle,,ce004_01
event_exnii1_02_s_25,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_25,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_26,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_26,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_27,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_27,True,,event_exnii_talk_02,3,1.0,,anis,,1,idle,,3,idle,,5,surprise,,15,idle,,13,idle,,17,idle,,anis
event_exnii1_02_s_28,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_28,True,,3,50,1.0,,neon,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,neon
event_exnii1_02_s_29,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_29,True,,50,50,1.0,,neon,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,neon
event_exnii1_02_s_30,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_30,True,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,think,,ce004_01
event_exnii1_02_s_31,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_31,True,,5,5,1.2,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,think,,ce004_01
event_exnii1_02_s_32,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_32,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_33,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_33,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_34,40070,event_exnii1_02_s,Self,Locale_SubScenario:event_exnii1_02_s_34,False,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,
event_exnii1_02_s_35,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_35,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_36,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_36,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,rapi
event_exnii1_02_s_37,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_37,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,rapi
event_exnii1_02_s_38,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_38,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,rapi
event_exnii1_02_s_39,40070,event_exnii1_02_s,Self,Locale_SubScenario:event_exnii1_02_s_39,False,,event_exnii_talk_02,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,
event_exnii1_02_s_40,40070,event_exnii1_02_s,Self,Locale_SubScenario:event_exnii1_02_s_40,False,,event_exnii_talk_02,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,
event_exnii1_02_s_41,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_41,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,rapi
event_exnii1_02_s_42,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_42,True,,event_exnii_talk_02,130,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,think,,17,think,,ce004_01
event_exnii1_02_s_43,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_43,True,,130,130,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,think,,17,think,,ce004_01
