id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
event_bowwowparadise_04_s_18,40010,event_bowwowparadise_04_s,Self,,Self,Locale_SubScenario:event_bowwowparadise_04_s_18,False,,1,delight,,13,idle,,XS_10,XS_10,1.0,,,15,idle,
event_bowwowparadise_04_s_19,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_19,True,,1,idle,,13,idle,,XS_10,14,1.0,,,15,idle,
event_bowwowparadise_04_s_20,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_20,True,,1,idle,,13,idle,,14,14,1.0,,,15,idle,
event_bowwowparadise_04_s_21,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_21,True,,1,idle,,13,idle,,14,14,1.0,,,15,surprise,
event_bowwowparadise_04_s_22,40010,event_bowwowparadise_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_04_s_22,True,,1,idle,,13,idle,,14,14,1.0,,,15,surprise,
event_bowwowparadise_04_s_23,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_23,True,,1,idle,,13,idle,,14,14,1.0,,,15,angry,
event_bowwowparadise_04_s_24,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_24,True,,1,idle,,13,delight,,14,14,1.0,,,15,angry,
event_bowwowparadise_04_s_25,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_25,True,,1,idle,,13,delight,,14,14,1.0,,,15,angry,
event_bowwowparadise_04_s_26,40010,event_bowwowparadise_04_s,Narration,,Narration,Locale_SubScenario:event_bowwowparadise_04_s_26,False,,1,idle,,13,idle,,black,black,1.0,,,15,idle,
event_bowwowparadise_04_s_27,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_27,True,,1,idle,,13,idle,,14,14,1.0,,,15,idle,
event_bowwowparadise_04_s_28,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_28,True,,1,idle,,13,idle,,14,14,1.0,,,15,idle,
event_bowwowparadise_04_s_29,40010,event_bowwowparadise_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_04_s_29,True,,1,idle,,13,idle,,14,12,1.0,,,15,idle,
event_bowwowparadise_04_s_30,40010,event_bowwowparadise_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_04_s_30,True,,1,shy,,13,idle,,12,12,1.0,,,15,idle,
event_bowwowparadise_04_s_31,40010,event_bowwowparadise_04_s,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_04_s_31,False,,1,shy,,13,idle,,black,black,1.0,,,15,idle,
