id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_goldencoinrush2_04_s_11,40049,event_goldencoinrush2_04_s,Self,alice_b,,Locale_MainScenario:event_goldencoinrush2_04_s_11,False,,1,shy,,13,worry,,12,12,1.0,,,,
event_goldencoinrush2_04_s_12,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_12,True,,1,delight,,13,idle,,12,12,1.0,,,,
event_goldencoinrush2_04_s_13,40049,event_goldencoinrush2_04_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_s_13,True,,1,delight,,13,idle,,12,12,1.0,,,,
event_goldencoinrush2_04_s_14,40049,event_goldencoinrush2_04_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_s_14,True,,1,delight,,13,idle,,XS_30,XS_30,1.0,,mary_b,3,idle
event_goldencoinrush2_04_s_15,40049,event_goldencoinrush2_04_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_s_15,True,,1,delight,,13,idle,,XS_30,XS_30,1.0,,,3,idle
event_goldencoinrush2_04_s_16,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_16,True,,1,surprise,,13,idle,,XS_30,2,1.0,,,3,idle
event_goldencoinrush2_04_s_17,40049,event_goldencoinrush2_04_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_s_17,True,,1,surprise,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_18,40049,event_goldencoinrush2_04_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_s_18,True,,1,surprise,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_19,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_19,True,,1,worry,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_20,40049,event_goldencoinrush2_04_s,Self,soda_b,,Locale_MainScenario:event_goldencoinrush2_04_s_20,False,,1,worry,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_21,40049,event_goldencoinrush2_04_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_s_21,True,,1,worry,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_22,40049,event_goldencoinrush2_04_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_s_22,True,,1,worry,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_23,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_23,True,,1,worry,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_24,40049,event_goldencoinrush2_04_s,Self,soda_b,,Locale_MainScenario:event_goldencoinrush2_04_s_24,False,,1,worry,,13,idle,,2,2,1.0,,,3,idle
event_goldencoinrush2_04_s_25,40049,event_goldencoinrush2_04_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_s_25,True,,1,worry,,13,surprise,,2,13,1.0,,,3,idle
event_goldencoinrush2_04_s_26,40049,event_goldencoinrush2_04_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_s_26,True,,1,worry,,13,delight,,13,XS_130,1.0,,,3,idle
event_goldencoinrush2_04_s_27,40049,event_goldencoinrush2_04_s,Monologue,alice_b,,Locale_MainScenario:event_goldencoinrush2_04_s_27,False,,1,worry,,13,delight,,black,black,1.0,,,3,idle
