id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_queensorder_01_e_63,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_63,True,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_64,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_64,True,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_65,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_65,False,,10,1,1.0,,,,,,1,angry,
event_queensorder_01_e_66,40015,event_queensorder_01_e,Narration,,,Locale_SubScenario:event_queensorder_01_e_66,False,,1,14,1.0,,sfx_scn_autodooropen,,,,14,angry,
event_queensorder_01_e_67,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_67,True,,14,140,0.6,,,,,,14,angry,
event_queensorder_01_e_68,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_68,False,,140,XS_1400,1.0,,,Vignetting,,,14,angry,
event_queensorder_01_e_69,40015,event_queensorder_01_e,Narration,,,Locale_SubScenario:event_queensorder_01_e_69,False,,XS_1400,XS_1400,1.0,,sfx_scn_gunfire,Vignetting,Low_2,,14,angry,
event_queensorder_01_e_70,40015,event_queensorder_01_e,Narration,,,Locale_SubScenario:event_queensorder_01_e_70,False,,XS_1400,XS_1400,1.0,,sfx_scn_2shot,Vignetting,Low_2,,14,angry,
event_queensorder_01_e_71,40015,event_queensorder_01_e,Speech,unknown,unknown,Locale_SubScenario:event_queensorder_01_e_71,False,,XS_1400,XS_1400,1.0,,,Vignetting,,,14,angry,
event_queensorder_01_e_72,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_72,False,,XS_1400,XS_1400,1.0,,,Vignetting,,,14,angry,
event_queensorder_01_e_73,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_73,True,,XS_1400,140,1.0,,,,,,14,angry,
event_queensorder_01_e_74,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_74,False,,black,black,1.0,,,,,,14,angry,
