id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_contents_voltroad_02_22,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_22,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_23,80403,d_contents_voltroad_02,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_02_23,False,,XS_10,XS_10,1.0,,sfx_scn_dogyummy,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_24,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_24,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_25,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_25,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_26,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_26,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_27,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_27,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_28,80403,d_contents_voltroad_02,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_02_28,False,,XS_10,XS_10,1.0,,sfx_scn_dogyummy,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_29,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_29,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_30,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_30,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_31,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_31,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_32,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_32,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_33,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_33,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_34,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_34,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_35,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_35,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_36,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_36,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_37,80403,d_contents_voltroad_02,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_02_37,True,,150,150,1.0,none,,,Grey,,,1,idle,,,,,rapi_s,15,idle,
d_contents_voltroad_02_38,80403,d_contents_voltroad_02,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_02_38,True,,150,150,1.0,,,,Grey,,,1,idle,,,,,,15,idle,
d_contents_voltroad_02_39,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_39,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,15,idle,rapi_s
d_contents_voltroad_02_40,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_40,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_41,80403,d_contents_voltroad_02,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_02_41,False,,XS_10,9,3.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_42,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_42,False,,9,9,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_43,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_43,False,,9,9,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_44,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_44,False,,9,9,1.0,,sfx_scn_whine,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_45,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_45,False,,9,9,1.0,,,,,,,1,idle,liter_s,,,,,,,
d_contents_voltroad_02_46,80403,d_contents_voltroad_02,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_02_46,False,LogHouseOut_s,13,13,1.0,event_bgm_bluewater_minigame,,black,,,volt,5,idle,,frima_s,13,sleep_02,,,,
d_contents_voltroad_02_47,80403,d_contents_voltroad_02,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_02_47,False,,13,13,1.0,,,,,,,5,idle,,,13,sleep_02,,,,
d_contents_voltroad_02_48,80403,d_contents_voltroad_02,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_02_48,False,,13,13,1.0,,sfx_scn_heavytrip,,,Low_2,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_49,80403,d_contents_voltroad_02,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_02_49,True,,13,1315,1.0,,,,,,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_50,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_50,False,,1315,XS_130,1.0,,,,,,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_51,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_51,False,,XS_130,XS_130,1.0,,,,,,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_52,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_52,False,,XS_130,XS_130,1.0,,,,,,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_53,80403,d_contents_voltroad_02,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_02_53,False,,150,150,1.0,,,,,,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_54,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_54,False,,black,black,1.0,,,,,,,13,idle,,,15,surprise,,,,
d_contents_voltroad_02_55,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_55,False,,black,black,1.0,,,,,,,13,idle,,,15,surprise,,,,
