id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_hightechtoy_05_e_18,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_18,False,,130,130,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_19,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_19,True,,50,50,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_20,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_20,True,,50,50,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_21,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_21,False,,50,50,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_22,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_22,True,,50,50,1.0,,,,1,think,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_23,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_23,True,,50,500,2.0,,,,1,think,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_24,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_24,True,,13,130,2.0,,,,1,idle,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_25,40002,event_hightechtoy_05_e,Monologue,massproduction01,,Locale_SubScenario:event_hightechtoy_05_e_25,True,,130,1300,2.0,none,event_hightechtoy_05_e,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_26,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_26,False,,1300,1300,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_27,40002,event_hightechtoy_05_e,Self,massproduction01,,Locale_SubScenario:event_hightechtoy_05_e_27,False,,1300,1300,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_28,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_28,True,,50,50,1.0,bgm_story_fairytalesend_if,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_29,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_29,True,,130,130,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_30,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_30,True,,50,50,1.0,,,,1,idle,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_31,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_31,True,,130,130,1.0,,,,1,idle,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_32,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_32,True,,50,50,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_33,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_33,True,,50,50,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_34,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_34,True,,130,130,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_35,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_35,True,,50,50,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_36,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_36,True,,50,500,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_37,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_37,False,,130,1300,2.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_38,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_38,True,,50,500,2.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_39,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_39,True,,500,500,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_40,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_40,True,,500,500,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_41,40002,event_hightechtoy_05_e,Self,maxwell_w,,Locale_SubScenario:event_hightechtoy_05_e_41,False,,500,500,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_42,40002,event_hightechtoy_05_e,Monologue,maxwell_w,,Locale_SubScenario:event_hightechtoy_05_e_42,True,,black,black,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_43,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_43,True,,5,5,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_44,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_44,True,,5,5,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_45,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_45,False,,13,13,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_46,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_46,True,,5,5,1.0,,,,1,idle,,,3,idle,,5,angry,,,13,idle
event_hightechtoy_05_e_47,40002,event_hightechtoy_05_e,Monologue,maxwell_w,,Locale_SubScenario:event_hightechtoy_05_e_47,True,,5,1,1.0,,,,1,idle,,,3,idle,,5,angry,,,13,idle
event_hightechtoy_05_e_48,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_48,True,,1,1,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_49,40002,event_hightechtoy_05_e,Monologue,laplace,,Locale_SubScenario:event_hightechtoy_05_e_49,True,,1,1,1.0,,,,1,idle,laplace,,3,idle,,5,idle,maxwell_w,,13,idle
event_hightechtoy_05_e_50,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_50,True,,1,13,2.0,,,,,,,,3,idle,,,,,,13,idle
event_hightechtoy_05_e_51,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_51,True,,13,130,2.0,,,,,,,,3,idle,,,,,,13,idle
event_hightechtoy_05_e_52,40002,event_hightechtoy_05_e,Self,,,Locale_SubScenario:event_hightechtoy_05_e_52,False,,130,130,1.0,,,,,,,,3,idle,,,,,,13,idle
