id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id
event_lordforjustice_03_e_22,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_22,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_23,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_23,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_24,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_24,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_25,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_25,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_26,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_26,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_27,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_27,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_28,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_28,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_29,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_29,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_30,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_30,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_31,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_31,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_32,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_32,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_33,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_33,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_34,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_34,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_35,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_35,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_36,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_36,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_37,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_37,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_38,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_38,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_39,40078,event_lordforjustice_03_e,Monologue,k,,Locale_SubScenario:event_lordforjustice_03_e_39,False,,2,think,,,,,12,surprise,,black,black,1.0,,
event_lordforjustice_03_e_40,40078,event_lordforjustice_03_e,Monologue,k,,Locale_SubScenario:event_lordforjustice_03_e_40,False,,2,think,,,,,12,surprise,,black,black,1.0,,
event_lordforjustice_03_e_41,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_41,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_42,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_42,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_43,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_43,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_44,40078,event_lordforjustice_03_e,Monologue,k,,Locale_SubScenario:event_lordforjustice_03_e_44,False,,2,think,,,,,12,surprise,,1,1,1.0,none,
event_lordforjustice_03_e_45,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_45,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_46,40078,event_lordforjustice_03_e,Monologue,k,,Locale_SubScenario:event_lordforjustice_03_e_46,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_47,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_47,False,,2,think,,,,,12,surprise,,black,black,1.0,,
