id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,jump_target,set_camera_shake
event_maidinvalentine_03_s_16,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_16,True,,1,1,1.0,,soda,,,,,1,worried,,13,idle,,,,,,,
event_maidinvalentine_03_s_17,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_17,True,,1,10,2.0,,ade,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_18,40007,event_maidinvalentine_03_s,Choice,,Locale_SubScenario:event_maidinvalentine_03_s_18,False,,10,10,1.0,,,,,,,1,idle,,13,idle,,,,,,event_maidinvalentine_03_s_20,
event_maidinvalentine_03_s_19,40007,event_maidinvalentine_03_s,Choice,,Locale_SubScenario:event_maidinvalentine_03_s_19,False,,10,10,1.0,,,,,,,1,idle,,13,idle,,,,,,event_maidinvalentine_03_s_29,
event_maidinvalentine_03_s_20,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_20,True,,10,10,1.0,,ade,,,,,1,delight,,13,idle,,,,,,,
event_maidinvalentine_03_s_21,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_21,True,,10,50,0.3,,soda,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_22,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_22,True,,50,50,1.0,,soda,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_23,40007,event_maidinvalentine_03_s,Narration,Narration,Locale_SubScenario:event_maidinvalentine_03_s_23,False,,50,50,1.0,,,,,,,1,idle,,13,idle,,,,sfx_scn_heavytrip,,,Low_2
event_maidinvalentine_03_s_24,40007,event_maidinvalentine_03_s,Self,Self,Locale_SubScenario:event_maidinvalentine_03_s_24,False,,50,50,1.0,,,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_25,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_25,True,,50,50,1.0,,soda,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_26,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_26,True,,50,50,1.0,,soda,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_27,40007,event_maidinvalentine_03_s,Self,Self,Locale_SubScenario:event_maidinvalentine_03_s_27,False,,50,50,1.0,,,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_28,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_28,True,,50,10,1.0,,ade,,,,,1,delight,,13,idle,,,,,,event_maidinvalentine_03_s_35,
event_maidinvalentine_03_s_29,40007,event_maidinvalentine_03_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_03_s_29,True,,10,XS_130,1.0,,cocoa,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_30,40007,event_maidinvalentine_03_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_03_s_30,True,,XS_130,XS_130,1.0,,cocoa,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_31,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_31,True,,10,10,1.0,,ade,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_32,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_32,True,,10,10,1.0,,ade,,,,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_33,40007,event_maidinvalentine_03_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_03_s_33,True,,XS_130,XS_130,1.0,,cocoa,,,,,1,idle,,13,delight,,,,,,,
event_maidinvalentine_03_s_34,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_34,True,,XS_130,10,1.0,,ade,,,,,1,idle,,13,delight,,,,,,,
event_maidinvalentine_03_s_35,40007,event_maidinvalentine_03_s,Self,Self,Locale_SubScenario:event_maidinvalentine_03_s_35,False,,10,10,1.0,,,,,,,1,idle,,13,delight,,,,,,,
event_maidinvalentine_03_s_36,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_36,True,,10,10,1.0,none,ade,,,,,1,worried,,13,idle,,,,,,,
event_maidinvalentine_03_s_37,40007,event_maidinvalentine_03_s,Narration,Narration,Locale_SubScenario:event_maidinvalentine_03_s_37,False,,10,1,2.0,,,,,,,1,worried,,13,idle,,,,sfx_scn_machinefan,,,
event_maidinvalentine_03_s_38,40007,event_maidinvalentine_03_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_03_s_38,False,,1,1,1.0,,,,,,,1,worried,,13,idle,,,,,,,
