id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound
d_ex_redash_02_2_17,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_17,True,,,,,,,,9,9,1.0,,dorothy,,9,think,,,,,,,,
d_ex_redash_02_2_18,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_18,True,,,,,,,,9,9,1.0,,dorothy,,9,surprise,,,,,,,,
d_ex_redash_02_2_19,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_19,True,,,,,,,,9,9,1.0,,dorothy,,9,surprise,,,,,,,,
d_ex_redash_02_2_20,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_20,True,,,,,,,,9,90,1.0,,dorothy,,9,surprise,,,,,,,,
d_ex_redash_02_2_21,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_21,True,,,,,,,,90,90,1.0,,dorothy,,9,surprise,,,,,,,,
d_ex_redash_02_2_22,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_22,True,,,,,,,,90,90,1.0,,dorothy,,9,surprise,,,,,,,,
d_ex_redash_02_2_23,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_23,True,,,,,,,,90,90,1.0,,dorothy,,9,surprise,,,,,,,,
d_ex_redash_02_2_24,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_24,True,,,,,,,,90,90,1.0,,dorothy,,9,angry,,,,,,,,
d_ex_redash_02_2_25,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_25,True,,,,,,,,90,90,1.0,,dorothy,,9,angry,,,,,,,,
d_ex_redash_02_2_26,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_26,True,,,,,,,,90,900,0.7,,dorothy,,9,angry,,,,,,,,
d_ex_redash_02_2_27,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_27,False,,,,,,,,900,900,1.0,,dorothy,,9,think,,,,,,,,
d_ex_redash_02_2_28,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_28,True,,,,,,,,900,9,1.0,,dorothy,,9,idle,,,,,,,,
d_ex_redash_02_2_29,80800,d_ex_redash_02_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_2_29,True,,,,,,,,9,9,1.0,,dorothy,,9,idle,,,,,,,,
d_ex_redash_02_2_30,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_30,False,,,,,,,,9,9,1.0,,,,5,idle,,,,,,,,
d_ex_redash_02_2_31,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_31,False,,,,,,,OuterTomb,black,black,1.0,,,,5,idle,,,,dorothy,hongryeon_o,1,idle,
d_ex_redash_02_2_32,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_32,False,,,,,,,,1,1,1.0,,hongryeon_o,,,,,,,,,1,sad,
d_ex_redash_02_2_33,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_33,True,,,,,,,,1,1,1.0,,hongryeon_o,,,,,,,,,1,rage,
d_ex_redash_02_2_34,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_34,True,,,,,,,,1,1,1.0,,hongryeon_o,,,,,,,,,1,rage,
d_ex_redash_02_2_35,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_35,True,,,,,,,,1,1,1.0,,hongryeon_o,,,,,,,,,1,rage,
d_ex_redash_02_2_36,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_36,True,,,,,,,,1,1,1.0,,hongryeon_o,,,,,,,,,1,rage,
d_ex_redash_02_2_37,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_37,True,,,,,,,,1,10,1.0,,hongryeon_o,,,,,,,,,1,sad,
d_ex_redash_02_2_38,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_38,True,,,,,,,,10,10,1.0,,hongryeon_o,,,,,,,,,1,sad,
d_ex_redash_02_2_39,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_39,True,,,,,,,,10,10,1.0,,hongryeon_o,,,,,,,,,1,angry,
d_ex_redash_02_2_40,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_40,True,,,,,,,,10,10,1.0,,hongryeon_o,,,,,,,,,1,angry,
d_ex_redash_02_2_41,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_41,True,,,,,,,,10,10,1.0,,hongryeon_o,,,,,,,,,1,angry,
d_ex_redash_02_2_42,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_42,True,,,,,,,,10,100,0.6,,hongryeon_o,,,,,,,,,1,angry,
d_ex_redash_02_2_43,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_43,True,,,,,,,,100,100,1.0,,hongryeon_o,,,,,,,,,1,angry,
d_ex_redash_02_2_44,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_44,False,,,,,,,,100,100,1.0,,hongryeon_o,,,,,,,,,1,sad,
d_ex_redash_02_2_45,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_45,True,,,,,,,,100,1,1.0,,hongryeon_o,,,,,,,,,1,idle,
d_ex_redash_02_2_46,80800,d_ex_redash_02_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_2_46,True,,,,,,,,1,1,1.0,,hongryeon_o,,,,,,,,,1,idle,
d_ex_redash_02_2_47,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_47,False,,,,,,,,1,1,1.0,,,,,,,,,,,5,idle,
d_ex_redash_02_2_48,80800,d_ex_redash_02_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_2_48,False,,,,,,,,black,black,1.0,,,,,,,,,,,5,idle,sfx_scn_windowclack
