id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_ce004_3_02_e_15,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_15,True,,10,10,1.0,,marciana,black,,,,1,idle,
event_ce004_3_02_e_16,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_16,False,,10,10,1.0,,,,,,,1,idle,
event_ce004_3_02_e_17,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_17,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_18,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_18,False,,10,10,1.0,,,,,,,1,idle,
event_ce004_3_02_e_19,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_19,True,,10,10,1.0,,marciana,,,,,1,special,
event_ce004_3_02_e_20,40057,event_ce004_3_02_e,Narration,marciana,Locale_SubScenario:event_ce004_3_02_e_20,False,,10,10,1.0,,,,sfx_scn_phonevibration,,,1,special,
event_ce004_3_02_e_21,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_21,False,,10,10,1.0,,,,,m_event_ce004_3_02_e,,1,special,
event_ce004_3_02_e_34,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_34,False,,10,10,1.0,,,,,,,1,special,
event_ce004_3_02_e_35,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_35,True,,10,10,1.0,,marciana,,,,,1,special,
event_ce004_3_02_e_36,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_36,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_37,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_37,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_38,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_38,False,,10,10,1.0,,,,,,,1,idle,
event_ce004_3_02_e_39,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_39,True,,10,10,1.0,,marciana,,,,,1,special,
event_ce004_3_02_e_40,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_40,True,,10,10,1.0,,marciana,,,,,1,special,
event_ce004_3_02_e_41,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_41,False,,10,10,1.0,,,,,,,1,special,
event_ce004_3_02_e_42,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_42,False,,10,10,1.0,,,,,,,1,special,
event_ce004_3_02_e_43,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_43,True,,10,100,1.0,,marciana,,,,,1,special,
event_ce004_3_02_e_44,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_44,False,,100,100,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_45,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_45,False,,100,100,1.0,,,,,,,1,idle,
event_ce004_3_02_e_46,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_46,True,,100,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_47,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_47,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_48,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_48,False,,10,10,1.0,,,,,,,1,idle,
event_ce004_3_02_e_49,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_49,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_50,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_50,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_51,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_51,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_52,40057,event_ce004_3_02_e,Speech,marciana,Locale_SubScenario:event_ce004_3_02_e_52,True,,10,10,1.0,,marciana,,,,,1,idle,
event_ce004_3_02_e_53,40057,event_ce004_3_02_e,Self,marciana,Locale_SubScenario:event_ce004_3_02_e_53,False,,10,10,1.0,,,,,,,1,idle,
