id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id
event_schooloflock_03_s_29,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_29,True,,3,3,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_30,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_30,True,,3,3,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_31,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_31,False,,3,3,1.0,,,,,,3,idle,,,,,,,,,
event_schooloflock_03_s_32,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_32,True,,3,3,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_33,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_33,True,,3,3,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_34,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_34,True,,3,3,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_35,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_35,True,,3,XS_30,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_36,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_36,False,,XS_30,XS_30,1.0,,,,,,3,delight,,,,,,,,,
event_schooloflock_03_s_37,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_37,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_38,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_38,True,,XS_30,XS_300,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_39,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_39,True,,XS_300,XS_300,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_40,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_40,True,,XS_300,XS_300,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_41,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_41,False,,XS_300,XS_300,1.0,,,,,,3,idle,,,,,,,,,
event_schooloflock_03_s_42,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_42,False,,XS_300,14,1.0,,,,,,3,idle,marciana,13,think,zwei,15,idle,,,
event_schooloflock_03_s_43,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_43,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_44,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_44,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_45,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_45,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,think,,15,surprise,,,
event_schooloflock_03_s_46,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_46,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,think,,15,shy,,,
event_schooloflock_03_s_47,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_47,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,think,,15,shy,,,
event_schooloflock_03_s_48,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_48,False,,14,14,1.0,,zwei,zwei,,,3,idle,,13,think,,15,shy,,,
event_schooloflock_03_s_49,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_49,False,,14,14,1.0,,marciana,marciana,,,3,idle,,13,special,,15,shy,,,
event_schooloflock_03_s_50,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_50,True,,14,150,1.0,,zwei,zwei,,,3,idle,,13,special,,15,idle,,,
event_schooloflock_03_s_51,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_51,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,special,,15,idle,,,
event_schooloflock_03_s_52,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_52,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,special,,15,idle,,,
event_schooloflock_03_s_53,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_53,False,,150,150,1.0,,,,,,3,idle,,13,special,,15,idle,,,
event_schooloflock_03_s_54,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_54,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,special,,15,idle,,,
event_schooloflock_03_s_55,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_55,True,,150,130,1.0,,marciana,marciana,,,3,idle,,13,idle,,15,idle,,,
event_schooloflock_03_s_56,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_56,True,,130,130,1.0,,marciana,marciana,,,3,idle,,13,idle,,15,idle,,,
event_schooloflock_03_s_57,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_57,True,,130,130,1.0,,marciana,marciana,,,3,idle,,13,idle,,15,idle,,,
event_schooloflock_03_s_58,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_58,True,,130,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,good,,,
event_schooloflock_03_s_59,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_59,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,good,,,
event_schooloflock_03_s_60,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_60,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,good,,,
event_schooloflock_03_s_61,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_61,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,think,,15,good,,,
event_schooloflock_03_s_62,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_62,True,,14,150,1.0,,zwei,zwei,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_63,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_63,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_64,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_64,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_65,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_65,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_66,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_66,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,think,,15,idle,,,
event_schooloflock_03_s_67,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_67,True,,150,150,1.0,,zwei,zwei,,,3,idle,,13,think,,15,shy,,,
event_schooloflock_03_s_68,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_68,True,,150,14,1.0,,marciana,marciana,,,3,idle,,13,idle,,15,shy,,,
event_schooloflock_03_s_69,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_69,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,idle,,15,shy,,,
event_schooloflock_03_s_70,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_70,False,,14,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,idle,,,
event_schooloflock_03_s_71,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_71,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,good,,,
event_schooloflock_03_s_72,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_72,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,good,,,
event_schooloflock_03_s_73,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_73,True,,14,14,1.0,,zwei,zwei,,,3,idle,,13,idle,,15,good,,,
event_schooloflock_03_s_74,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_74,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,delight,,15,good,,,
event_schooloflock_03_s_75,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_75,True,,14,14,1.0,,marciana,marciana,,,3,idle,,13,delight,,15,good,,,
event_schooloflock_03_s_76,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_76,False,,14,14,1.0,,,,,,3,idle,,13,delight,,15,good,marciana,zwei,
event_schooloflock_03_s_77,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_77,True,,14,3,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_78,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_78,True,,3,3,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_79,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_79,True,,3,3,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_80,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_80,False,,3,3,1.0,,,,,,3,delight,,,,,,,,,
event_schooloflock_03_s_81,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_81,True,,3,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_82,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_82,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_83,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_83,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_84,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_84,True,,XS_30,XS_30,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_85,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_85,False,,XS_30,XS_30,1.0,,,,,,3,idle,,,,,,,,,
event_schooloflock_03_s_86,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_86,True,,XS_30,3,1.0,,ether,ether,,,3,idle,,,,,,,,,
event_schooloflock_03_s_87,40028,event_schooloflock_03_s,Speech,Locale_SubScenario:event_schooloflock_03_s_87,True,,3,3,1.0,,ether,ether,,,3,delight,,,,,,,,,
event_schooloflock_03_s_88,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_88,False,,3,3,1.0,,,,,,3,delight,,,,,,,,,ether
event_schooloflock_03_s_89,40028,event_schooloflock_03_s,Self,Locale_SubScenario:event_schooloflock_03_s_89,False,,3,3,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_90,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_90,False,,black,black,1.0,,,,,,,,,,,,,,,,
event_schooloflock_03_s_91,40028,event_schooloflock_03_s,Monologue,Locale_SubScenario:event_schooloflock_03_s_91,False,,black,black,1.0,,,,,,,,,,,,,,,,
