id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_BunnyX777_05_e_11,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_11,False,,black,black,1.0,,sfx_scn_button,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_12,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_12,False,,black,black,1.0,,sfx_scn_screenturn,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_13,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_13,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_14,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_14,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_15,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_15,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_16,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_16,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_17,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_17,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_18,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_18,False,,black,black,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_19,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_19,False,,black,black,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_20,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_20,False,CommanderRoom,black,black,1.0,,,,,,1,idle,rouge,,13,idle,sullenman,blanc,5,idle,,noir,7,idle,,,,
event_BunnyX777_05_e_21,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_21,True,,L_50,L_50,1.0,,,Grey,,,,,,,,,,,5,delight,,,7,idle,,,,
event_BunnyX777_05_e_22,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_22,True,,L_50,L_50,1.0,,,Grey,,,,,,,,,,,5,delight,,,7,idle,,,,
event_BunnyX777_05_e_23,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_23,True,,L_50,75,1.0,,,Grey,,,,,,,,,,,5,idle,,,7,idle,,,,
event_BunnyX777_05_e_24,40014,event_BunnyX777_05_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_05_e_24,True,,75,75,1.0,,,Grey,,,,,,,,,,,5,idle,,,7,idle,,,,
event_BunnyX777_05_e_25,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_25,False,CoinRushIndoor,black,black,1.0,,,,,rouge,1,idle,,sullenman,13,idle,,,5,idle,blanc,,7,idle,noir,,,
event_BunnyX777_05_e_26,40014,event_BunnyX777_05_e,Self,,,Locale_SubScenario:event_BunnyX777_05_e_26,False,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_27,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_27,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_28,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_28,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_29,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_29,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_30,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_30,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_31,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_31,False,,black,black,1.0,none,sfx_scn_button,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_32,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_32,False,,black,black,1.0,,sfx_scn_screenturn,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_33,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_33,False,,50,50,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_34,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_34,True,,130,130,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_35,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_35,True,,10,10,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_36,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_36,True,,1300,1300,1.0,,,,,,1,idle,,,13,idle,,,,,,,,,,,,
event_BunnyX777_05_e_37,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_37,True,,1300,1300,1.0,,,,,,1,idle,,,13,idle,,blanc,5,idle,,noir,7,idle,,,,
event_BunnyX777_05_e_38,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_38,True,,100,100,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,mustang,15,delight
event_BunnyX777_05_e_39,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_39,True,,100,100,1.0,event_bgm_bunny777,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_40,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_40,True,,100,10,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_41,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_41,True,,10,10,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_42,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_42,True,,75,75,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_43,40014,event_BunnyX777_05_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_05_e_43,True,,75,75,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_44,40014,event_BunnyX777_05_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_05_e_44,True,,L_150,L_150,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_45,40014,event_BunnyX777_05_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_05_e_45,True,,L_150,L_150,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_46,40014,event_BunnyX777_05_e,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_05_e_46,True,,L_150,L_150,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_47,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_47,True,,L_150,130,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_48,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_48,True,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,delight
event_BunnyX777_05_e_49,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_49,True,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,idle
event_BunnyX777_05_e_50,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_50,True,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,idle,,,7,idle,,,15,idle
event_BunnyX777_05_e_51,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_51,True,,75,75,1.0,,,,,,1,idle,,,13,idle,,,5,no,,,7,idle,,,15,idle
event_BunnyX777_05_e_52,40014,event_BunnyX777_05_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_05_e_52,True,,75,75,1.0,,,,,,1,idle,,,13,idle,,,5,no,,,7,surprise,,,15,idle
event_BunnyX777_05_e_53,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_53,True,,130,130,1.0,none,,,,,1,idle,,,13,idle,,,5,no,,,7,surprise,,,15,idle
event_BunnyX777_05_e_54,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_54,True,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,no,,,7,surprise,,,15,idle
event_BunnyX777_05_e_55,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_55,True,,130,1300,1.0,,,,,,1,idle,,,13,idle,,,5,no,,,7,surprise,,,15,idle
event_BunnyX777_05_e_56,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_56,True,,1300,1300,1.0,,,,,,1,idle,,,13,idle,,,5,no,,,7,surprise,,,15,idle
event_BunnyX777_05_e_57,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_57,False,,1300,1300,1.0,,sfx_scn_heavytrip,,Low_2,,1,idle,,,13,idle,,,5,no,,,7,surprise,,,15,idle
event_BunnyX777_05_e_58,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_58,True,,L_500,L_500,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_59,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_59,True,,1300,1300,1.0,bgm_risk,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_60,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_60,True,,1300,1300,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_61,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_61,False,,1300,1300,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_62,40014,event_BunnyX777_05_e,Self,,,Locale_SubScenario:event_BunnyX777_05_e_62,False,,1300,1300,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_63,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_63,True,,1300,130,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_64,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_64,False,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_65,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_65,False,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_66,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_66,False,,black,black,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_67,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_67,False,,black,black,1.0,,sfx_scn_remotesignal,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_68,40014,event_BunnyX777_05_e,Monologue,,,Locale_SubScenario:event_BunnyX777_05_e_68,False,,black,black,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_69,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_69,True,,130,130,1.0,,,,,,1,idle,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_70,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_70,True,,10,10,1.0,,,,,,1,surprise,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_71,40014,event_BunnyX777_05_e,Self,,,Locale_SubScenario:event_BunnyX777_05_e_71,False,,10,113,2.0,,,,,,1,surprise,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_72,40014,event_BunnyX777_05_e,Self,,,Locale_SubScenario:event_BunnyX777_05_e_72,False,,113,113,1.0,,,,,,1,surprise,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_73,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_73,True,,113,113,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_74,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_74,True,,113,113,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_75,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_75,True,,113,113,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_76,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_76,False,,black,black,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_77,40014,event_BunnyX777_05_e,Narration,,,Locale_SubScenario:event_BunnyX777_05_e_77,False,,black,black,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_78,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_78,True,,10,10,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_79,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_79,True,,10,10,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,surprise,,,15,idle
event_BunnyX777_05_e_80,40014,event_BunnyX777_05_e,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_05_e_80,True,,10,10,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,idle,,,15,idle
event_BunnyX777_05_e_81,40014,event_BunnyX777_05_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_05_e_81,True,,75,75,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,idle,,,15,idle
event_BunnyX777_05_e_82,40014,event_BunnyX777_05_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_05_e_82,True,,75,75,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,idle,,,15,idle
event_BunnyX777_05_e_83,40014,event_BunnyX777_05_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_e_83,True,,10,10,1.0,,,,,,1,think,,,13,idle,,,5,think,,,7,idle,,,15,idle
