id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_maidinvalentine_01_e_19,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_19,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_20,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_20,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_20,True,,XS_10,XS_10,1.0,,cocoa,cocoa,event_maidinvalentine_01_e_21,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_21,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_21,True,,XS_10,S_130,1.0,,soda,soda,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_22,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_22,True,,S_130,S_130,1.0,,soda,soda,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_23,40007,event_maidinvalentine_01_e,Monologue,Locale_SubScenario:event_maidinvalentine_01_e_23,False,,S_130,S_1300,1.0,none,,,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_24,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_24,True,,S_1300,S_1300,1.0,bgm_story_girlstalk,soda,soda,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_25,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_25,True,,S_1300,S_1300,1.0,,soda,soda,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_26,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_26,True,,S_1300,S_130,1.0,,soda,soda,,,,,1,idle,,13,think,,3,idle
event_maidinvalentine_01_e_27,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_27,False,,S_130,S_130,1.0,,,,event_maidinvalentine_01_e_29,,,,1,idle,,13,think,,3,idle
event_maidinvalentine_01_e_28,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_28,False,,S_130,S_130,1.0,,,,event_maidinvalentine_01_e_31,,,,1,idle,,13,think,,3,idle
event_maidinvalentine_01_e_29,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_29,True,,S_130,S_130,1.0,,soda,soda,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_30,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_30,False,,S_130,S_130,1.0,,,,event_maidinvalentine_01_e_32,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_31,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_31,True,,S_130,S_130,1.0,,soda,soda,event_maidinvalentine_01_e_32,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_32,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_32,True,,S_130,XS_10,1.0,none,cocoa,cocoa,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_33,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_33,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_34,40007,event_maidinvalentine_01_e,Monologue,Locale_SubScenario:event_maidinvalentine_01_e_34,False,,XS_10,XS_10,1.0,bgm_story_whosdumber,,,,black,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_35,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_35,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_38,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_36,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_36,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_38,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_37,40007,event_maidinvalentine_01_e,Choice,Locale_SubScenario:event_maidinvalentine_01_e_37,False,,XS_10,XS_10,1.0,,,,event_maidinvalentine_01_e_38,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_38,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_38,True,,XS_10,XS_100,1.0,,cocoa,cocoa,,,,,1,serious,,13,idle,,3,idle
event_maidinvalentine_01_e_39,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_39,True,,XS_100,XS_100,1.0,,cocoa,cocoa,,,,,1,delight,,13,idle,,3,idle
event_maidinvalentine_01_e_40,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_40,True,,XS_100,300,1.0,,ade,ade,,,,,1,delight,,13,idle,,3,delight
event_maidinvalentine_01_e_41,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_41,False,,300,300,1.0,,,,,,,,1,delight,,13,idle,,3,delight
event_maidinvalentine_01_e_42,40007,event_maidinvalentine_01_e,Monologue,Locale_SubScenario:event_maidinvalentine_01_e_42,False,,300,XS_100,1.0,,,,,,,,1,delight,,13,idle,,3,delight
event_maidinvalentine_01_e_43,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_43,True,,XS_100,XS_10,1.0,,cocoa,cocoa,,,,,1,delight,,13,idle,,3,delight
event_maidinvalentine_01_e_44,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_44,False,,XS_10,XS_10,1.0,,,,,,,,1,delight,,13,idle,,3,idle
event_maidinvalentine_01_e_45,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_45,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,1,"expression_01,idle",,13,idle,,3,idle
event_maidinvalentine_01_e_46,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_46,False,,XS_10,XS_10,1.0,,,,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_47,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_47,True,,XS_10,30,1.0,none,ade,ade,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_48,40007,event_maidinvalentine_01_e,Monologue,Locale_SubScenario:event_maidinvalentine_01_e_48,False,,black,black,1.0,,,,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_49,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_49,True,,30,30,1.0,bgm_story_backtonormal,ade,ade,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_50,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_50,True,,30,30,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_51,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_51,False,,30,30,1.0,,,,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_52,40007,event_maidinvalentine_01_e,Monologue,Locale_SubScenario:event_maidinvalentine_01_e_52,False,,30,3,1.0,,,,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_53,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_53,True,,3,3,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,worried
event_maidinvalentine_01_e_54,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_54,False,,3,3,1.0,,,,,,,,1,idle,,13,idle,,3,worried
event_maidinvalentine_01_e_55,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_55,True,,3,3,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,delight
event_maidinvalentine_01_e_56,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_56,True,,3,3,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,worried
event_maidinvalentine_01_e_57,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_57,False,,3,3,1.0,,,,,,,,1,idle,,13,idle,,3,worried
event_maidinvalentine_01_e_58,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_58,True,,3,30,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,worried
event_maidinvalentine_01_e_59,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_59,True,,30,30,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_60,40007,event_maidinvalentine_01_e,Narration,Locale_SubScenario:event_maidinvalentine_01_e_60,False,,30,30,1.0,,,,,,sfx_scn_toyshopbell,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_61,40007,event_maidinvalentine_01_e,Self,Locale_SubScenario:event_maidinvalentine_01_e_61,False,,30,30,1.0,,,,,,,,1,idle,,13,idle,,3,idle
event_maidinvalentine_01_e_62,40007,event_maidinvalentine_01_e,Speech,Locale_SubScenario:event_maidinvalentine_01_e_62,True,,30,30,1.0,,ade,ade,,,,,1,idle,,13,idle,,3,worried
