id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
snowfall_myroom_day10_s_25,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_25,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_26,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_26,False,,10,10,1.0,,,,ludmilla_w,,,1,think,
snowfall_myroom_day10_s_27,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_27,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,idle,
snowfall_myroom_day10_s_28,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_28,True,,10,10,1.0,,,,ludmilla_w,ludmilla_w,,1,idle,
snowfall_myroom_day10_s_29,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_29,False,,10,10,1.0,,,,ludmilla_w,,,1,idle,
snowfall_myroom_day10_s_30,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_30,True,,10,1,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_31,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_31,True,,1,1,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_32,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_32,True,,1,1,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_33,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_33,True,,1,1,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_34,80903,snowfall_myroom_day10_s,Speech,Locale_SubScenario:snowfall_myroom_day10_s_34,True,,1,1,1.0,,,,ludmilla_w,ludmilla_w,,1,think,
snowfall_myroom_day10_s_35,80903,snowfall_myroom_day10_s,Self,Locale_SubScenario:snowfall_myroom_day10_s_35,False,,1,1,1.0,,,,ludmilla_w,,,1,think,
snowfall_myroom_day10_s_36,80903,snowfall_myroom_day10_s,Monologue,Locale_SubScenario:snowfall_myroom_day10_s_36,False,,black,black,1.0,,,,,,,1,think,ludmilla_w
