id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,set_camera_shake,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_dirtybackyard_01_s_17,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_17,True,,5,worry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_18,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_18,True,,5,worry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_19,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_19,True,,5,worry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_20,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_20,True,,5,worry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_21,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_21,True,,5,worry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_22,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_22,True,,5,worry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_23,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_23,True,,5,angry,,5,50,0.7,,,,,,3,idle
event_dirtybackyard_01_s_24,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_24,True,,5,angry,,50,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_25,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_25,True,,5,angry,,50,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_26,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_26,True,,5,angry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_27,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_27,True,,5,angry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_28,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_28,True,,5,angry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_29,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_29,True,,5,angry,,4,4,1.0,,,,,,3,idle
event_dirtybackyard_01_s_30,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_30,True,,5,worry,,4,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_31,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_31,True,,5,worry,,50,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_32,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_32,True,,5,worry,,50,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_33,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_33,True,,5,worry,,50,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_34,40038,event_dirtybackyard_01_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_01_s_34,True,,5,think,,50,50,1.0,,,,,,3,idle
event_dirtybackyard_01_s_35,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_35,True,,5,think,,50,L_30,1.0,,,,,,3,idle
event_dirtybackyard_01_s_36,40038,event_dirtybackyard_01_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_01_s_36,True,,5,think,,L_30,L_30,1.0,,,,,,3,idle
