id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,jump_target
d_ex_seayouagain_17_30,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_30,False,,1,delight,,19,19,1.0,,,,
d_ex_seayouagain_17_31,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_31,False,,1,delight,,19,1900,0.3,,,,
d_ex_seayouagain_17_32,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_32,False,,1,delight,,black,black,1.0,,,,
d_ex_seayouagain_17_33,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_33,True,,1,delight,,10,10,1.0,,,helm_s,
d_ex_seayouagain_17_34,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_34,False,,3,delight,,10,30,1.0,,,,
d_ex_seayouagain_17_35,80600,d_ex_seayouagain_17,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_17_35,False,,3,delight,,30,30,1.0,,,,
d_ex_seayouagain_17_36,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_36,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_37,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_37,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_38,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_38,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_39,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_39,True,,3,special,,30,300,1.0,,,helm_s,
d_ex_seayouagain_17_40,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_40,True,,3,special,,300,300,1.0,,,helm_s,
d_ex_seayouagain_17_41,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_41,True,,3,sad,,300,300,1.0,,,helm_s,
d_ex_seayouagain_17_42,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_42,False,,3,sad,,300,300,1.0,,,,
d_ex_seayouagain_17_43,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_43,True,,3,delight,,300,300,1.0,,,helm_s,
d_ex_seayouagain_17_44,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_44,True,,3,delight,,300,300,1.0,,,helm_s,
d_ex_seayouagain_17_45,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_45,True,,3,special,,300,30,1.0,,,helm_s,
d_ex_seayouagain_17_46,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_46,True,,3,special,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_47,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_47,False,,3,special,,30,30,1.0,,,,
d_ex_seayouagain_17_48,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_48,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_49,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_49,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_50,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_50,False,,3,delight,,30,30,1.0,,,,
d_ex_seayouagain_17_51,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_51,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_52,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_52,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_53,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_53,False,,3,delight,,30,30,1.0,,,,
d_ex_seayouagain_17_54,80600,d_ex_seayouagain_17,Self,Self,Locale_SuddenStory:d_ex_seayouagain_17_54,False,,3,delight,,30,30,1.0,,,,
d_ex_seayouagain_17_55,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_55,True,,3,delight,,30,30,1.0,,,helm_s,
d_ex_seayouagain_17_56,80600,d_ex_seayouagain_17,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_17_56,True,,3,delight,,30,30,1.0,,,helm_s,
