id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_seayouagain1_01_s_15,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_15,False,,1,1,1.0,,,,,,,,1,idle,
event_seayouagain1_01_s_16,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_16,True,,1,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_17,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_17,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_18,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_18,False,,L_10,L_10,1.0,,,,,,,,1,idle,
event_seayouagain1_01_s_19,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_19,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_20,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_20,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_21,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_21,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_22,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_22,False,,L_10,L_10,1.0,,,,,,,,1,idle,
event_seayouagain1_01_s_23,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_23,False,,L_10,L_10,1.0,,,,,,,,1,idle,
event_seayouagain1_01_s_24,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_24,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_25,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_25,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_26,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_26,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_27,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_27,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_28,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_28,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_29,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_29,False,,L_10,L_10,1.0,,,,,,,,1,idle,
event_seayouagain1_01_s_30,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_30,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,delight,
event_seayouagain1_01_s_31,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_31,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,delight,
event_seayouagain1_01_s_32,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_32,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,delight,
event_seayouagain1_01_s_33,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_33,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,delight,
event_seayouagain1_01_s_34,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_34,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_35,40024,event_seayouagain1_01_s,Speech,Locale_MainScenario:event_seayouagain1_01_s_35,True,,L_10,L_10,1.0,,,,,andersen,andersen,,1,idle,
event_seayouagain1_01_s_36,40024,event_seayouagain1_01_s,Self,Locale_MainScenario:event_seayouagain1_01_s_36,False,,L_10,L_10,1.0,,,,,,,,1,idle,
event_seayouagain1_01_s_37,40024,event_seayouagain1_01_s,Narration,Locale_MainScenario:event_seayouagain1_01_s_37,False,Corridor,L_10,7,1.0,none,,sfx_scn_autodooropen,,,,,1,idle,andersen
event_seayouagain1_01_s_38,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_38,False,,7,7,1.0,,,,,,,,,,
event_seayouagain1_01_s_39,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_39,False,,7,7,1.0,bgm_story_orangepop,,,,,,,,,
event_seayouagain1_01_s_40,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_40,False,,7,7,1.0,,,,,,,,,,
event_seayouagain1_01_s_41,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_41,False,,7,7,1.0,,,,,,,,,,
event_seayouagain1_01_s_42,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_42,False,,7,7,1.0,,m_event_seayouagain1_01_s_02,,,,,,,,
event_seayouagain1_01_s_43,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_43,False,,7,7,1.0,,,,,,,,,,
event_seayouagain1_01_s_44,40024,event_seayouagain1_01_s,Monologue,Locale_MainScenario:event_seayouagain1_01_s_44,False,,7,7,1.0,,,,,,,,,,
