id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_forrest_02_e_52,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_52,True,,L_30,3,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_53,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_53,False,,3,3,1.0,,sfx_scn_papercatch,centi,,,3,idle,,,,,
event_forrest_02_e_54,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_54,True,,3,3,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_55,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_55,True,,3,3,1.0,,,centi,centi,,3,idle,,,,,
event_forrest_02_e_56,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_56,False,,3,3,1.0,,sfx_scn_trashbin,centi,,,3,idle,,,,,
event_forrest_02_e_57,40072,event_forrest_02_e,Self,Locale_SubScenario:event_forrest_02_e_57,False,,3,3,1.0,none,,centi,,,3,idle,,,,,
event_forrest_02_e_58,40072,event_forrest_02_e,Narration,Locale_SubScenario:event_forrest_02_e_58,False,CherryBlossom,6,12,1.0,bgm_story_leisuretime,,,,,3,idle,centi,black,,,
event_forrest_02_e_59,40072,event_forrest_02_e,Monologue,Locale_SubScenario:event_forrest_02_e_59,False,,12,12,1.0,,,,,,,,,,,,
event_forrest_02_e_60,40072,event_forrest_02_e,Monologue,Locale_SubScenario:event_forrest_02_e_60,False,,12,L_120,1.0,,,,,,,,,,,,
event_forrest_02_e_61,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_61,True,,L_120,L_120,1.0,,,trina,trina,trina,12,shy,,,,,
event_forrest_02_e_62,40072,event_forrest_02_e,Monologue,Locale_SubScenario:event_forrest_02_e_62,False,,L_120,L_120,1.0,,,trina,,,12,shy,,,,,
event_forrest_02_e_63,40072,event_forrest_02_e,Speech,Locale_SubScenario:event_forrest_02_e_63,True,,L_120,XS_20,1.0,,,liter_c,liter_c,,12,shy,,,liter_c,2,angry
event_forrest_02_e_64,40072,event_forrest_02_e,Monologue,Locale_SubScenario:event_forrest_02_e_64,False,,XS_20,XS_20,1.0,,,liter_c,,,12,shy,,,,2,angry
