id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/4/hide_char_id,characters/5/hide_char_id,characters/3/hide_char_id
event_ce003_2_03_s_11,40042,event_ce003_2_03_s,Speech,unknown,unknown,Locale_SubScenario:event_ce003_2_03_s_11,True,,1,worry,,13,worry,,15,idle,,150,150,1.0,none,,,,,,,,,,,,,
event_ce003_2_03_s_12,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_12,True,,1,angry,,13,surprise,,15,idle,,150,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_13,40042,event_ce003_2_03_s,Speech,unknown,unknown,Locale_SubScenario:event_ce003_2_03_s_13,True,,1,angry,,13,surprise,,15,idle,,130,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_14,40042,event_ce003_2_03_s,Speech,unknown,unknown,Locale_SubScenario:event_ce003_2_03_s_14,True,,1,angry,,13,surprise,,15,idle,,130,130,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_15,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_15,True,,1,angry,,13,surprise,,15,idle,,130,13,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_16,40042,event_ce003_2_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_03_s_16,True,,1,angry,,13,surprise,,15,idle,,13,15,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_17,40042,event_ce003_2_03_s,Monologue,ce_003_03,,Locale_SubScenario:event_ce003_2_03_s_17,False,,1,angry,,13,surprise,,15,idle,,black,black,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_18,40042,event_ce003_2_03_s,Monologue,ce_003_03,,Locale_SubScenario:event_ce003_2_03_s_18,False,,1,worry,,13,surprise,,15,idle,,black,black,1.0,bgm_story_kneeldownfools,maxwell,3,sad,drake,5,angry,laplace,7,idle,,,,
event_ce003_2_03_s_19,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_19,True,,1,worry,,13,idle,,15,idle,,3,30,1.0,,,3,sad,,5,angry,,7,idle,,,,
event_ce003_2_03_s_20,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_20,True,,1,worry,,13,idle,,15,idle,,30,30,1.0,,,3,sad,,5,angry,,7,idle,,,,
event_ce003_2_03_s_21,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_21,True,,1,worry,,13,idle,,15,idle,,30,30,1.0,,,3,sad,,5,angry,,7,idle,,,,
event_ce003_2_03_s_22,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_22,True,,1,worry,,13,idle,,15,idle,,30,53,1.0,,,3,sad,,5,angry,,7,idle,,,,
event_ce003_2_03_s_23,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_23,True,,1,worry,,13,idle,,15,idle,,53,53,1.0,,,3,idle,,5,angry,,7,idle,,,,
event_ce003_2_03_s_24,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_24,True,,1,worry,,13,idle,,15,idle,,53,53,1.0,,,3,idle,,5,angry,,7,idle,,,,
event_ce003_2_03_s_25,40042,event_ce003_2_03_s,Self,drake,,Locale_SubScenario:event_ce003_2_03_s_25,False,,1,worry,,13,idle,,15,idle,,53,53,1.0,,,3,idle,,5,angry,,7,idle,,,,
event_ce003_2_03_s_26,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_26,True,,1,worry,,13,idle,,15,idle,,53,30,1.0,,,3,angry,,5,angry,,7,idle,,,,
event_ce003_2_03_s_27,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_27,True,,1,worry,,13,idle,,15,idle,,30,30,1.0,,,3,angry,,5,angry,,7,idle,,,,
event_ce003_2_03_s_28,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_28,True,,1,worry,,13,idle,,15,idle,,130,130,1.0,,,3,angry,,5,angry,,7,idle,,,,
event_ce003_2_03_s_29,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_29,True,,1,worry,,13,idle,,15,idle,,30,30,1.0,,,3,angry,,5,angry,,7,idle,,,,
event_ce003_2_03_s_30,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_30,True,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,angry,,5,angry,,7,delight,,,,
event_ce003_2_03_s_31,40042,event_ce003_2_03_s,Monologue,laplace,,Locale_SubScenario:event_ce003_2_03_s_31,False,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,angry,,5,angry,,7,delight,sfx_scn_condiment,,,
event_ce003_2_03_s_32,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_32,True,,1,worry,,13,idle,,15,idle,,30,30,1.0,,,3,sad,,5,angry,,7,delight,,,,
event_ce003_2_03_s_33,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_33,True,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,sad,,5,angry,,7,angry,,,,
event_ce003_2_03_s_34,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_34,True,,1,worry,,13,idle,,15,idle,,30,30,1.0,,,3,idle,,5,angry,,7,angry,,,,
event_ce003_2_03_s_35,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_35,True,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,idle,,5,angry,,7,angry,,,,
event_ce003_2_03_s_36,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_36,True,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,idle,,5,angry,,7,angry,,,,
event_ce003_2_03_s_37,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_37,True,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,idle,,5,angry,,7,idle,,,,
event_ce003_2_03_s_38,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_38,True,,1,worry,,13,idle,,15,idle,,S_70,S_70,1.0,,,3,idle,,5,angry,,7,idle,,,,
event_ce003_2_03_s_39,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_39,True,,1,worry,,13,idle,,15,idle,,S_70,50,1.0,,,3,idle,,5,delight,,7,idle,,,,
event_ce003_2_03_s_40,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_40,True,,1,worry,,13,idle,,15,idle,,50,50,1.0,,,3,idle,,5,delight,,7,idle,,,,
event_ce003_2_03_s_41,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_41,True,,1,worry,,13,idle,,15,idle,,50,50,1.0,,,3,idle,,5,delight,,7,idle,,,,
event_ce003_2_03_s_42,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_42,True,,1,worry,,13,idle,,15,idle,,50,75,1.0,,,3,idle,,5,delight,,7,idle,,,,
event_ce003_2_03_s_43,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_43,True,,1,worry,,13,idle,,15,idle,,75,75,1.0,,,3,idle,,5,idle,,7,idle,,,,
event_ce003_2_03_s_44,40042,event_ce003_2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_ce003_2_03_s_44,True,,1,worry,,13,idle,,15,idle,,75,75,1.0,,,3,idle,,5,idle,,7,idle,sfx_scn_runaway,,,
event_ce003_2_03_s_45,40042,event_ce003_2_03_s,Speech,drake,drake,Locale_SubScenario:event_ce003_2_03_s_45,True,,1,worry,,13,idle,,15,idle,,75,75,1.0,,,3,idle,,5,angry,,7,idle,sfx_scn_runaway,,,
event_ce003_2_03_s_46,40042,event_ce003_2_03_s,Monologue,drake,,Locale_SubScenario:event_ce003_2_03_s_46,False,,1,worry,,13,idle,,15,idle,,75,75,1.0,,,3,idle,,5,angry,,7,idle,,drake,laplace,
event_ce003_2_03_s_47,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_47,True,,1,surprise,,13,idle,,15,idle,,75,3,1.0,none,,3,sad,,,,,,,,,,
event_ce003_2_03_s_48,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_48,True,,1,surprise,,13,idle,,15,idle,,3,3,1.0,,,3,sad,,,,,,,,,,
event_ce003_2_03_s_49,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_49,True,,1,surprise,,13,idle,,15,idle,,3,3,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_50,40042,event_ce003_2_03_s,Monologue,maxwell,,Locale_SubScenario:event_ce003_2_03_s_50,False,,1,surprise,,13,idle,,15,idle,,3,30,1.0,bgm_story_inwonderland,,3,idle,,,,,,,sfx_scn_clothrustle,,,
event_ce003_2_03_s_51,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_51,True,,1,surprise,,13,surprise,,15,idle,,130,130,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_52,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_52,True,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_53,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_53,True,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_54,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_54,True,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_55,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_55,True,,1,surprise,,13,delight,,15,idle,,130,130,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_56,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_56,True,,1,surprise,,13,delight,,15,idle,,30,30,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_57,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_57,True,,1,surprise,,13,delight,,15,idle,,30,30,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_58,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_58,True,,1,surprise,,13,delight,,15,idle,,30,3,1.0,,,3,sad,,,,,,,,,,
event_ce003_2_03_s_59,40042,event_ce003_2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_ce003_2_03_s_59,True,,1,surprise,,13,delight,,15,idle,,3,3,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_60,40042,event_ce003_2_03_s,Self,maxwell,,Locale_SubScenario:event_ce003_2_03_s_60,False,,1,surprise,,13,delight,,15,idle,,3,3,1.0,,,3,idle,,,,,,,,,,
event_ce003_2_03_s_61,40042,event_ce003_2_03_s,Monologue,maxwell,,Locale_SubScenario:event_ce003_2_03_s_61,False,,1,surprise,,13,delight,,15,idle,,3,3,1.0,,,3,idle,,,,,,,sfx_scn_runaway,,,maxwell
event_ce003_2_03_s_62,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_62,True,,1,surprise,,13,idle,,15,idle,,3,113,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_63,40042,event_ce003_2_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_03_s_63,True,,1,surprise,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_64,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_64,True,,1,surprise,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_65,40042,event_ce003_2_03_s,Monologue,ce_003_02,,Locale_SubScenario:event_ce003_2_03_s_65,False,,1,surprise,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,,,sfx_scn_condiment,,,
event_ce003_2_03_s_66,40042,event_ce003_2_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_03_s_66,True,,1,surprise,,13,surprise,,15,idle,,113,113,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_67,40042,event_ce003_2_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_03_s_67,True,,1,surprise,,13,surprise,,15,idle,,113,113,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_68,40042,event_ce003_2_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_03_s_68,True,,1,surprise,,13,surprise,,15,no,,113,15,1.0,,,,,,,,,,,,,,
event_ce003_2_03_s_69,40042,event_ce003_2_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_03_s_69,True,,1,surprise,,13,surprise,,15,surprise,,15,150,0.5,,,,,,,,,,,,,,
event_ce003_2_03_s_70,40042,event_ce003_2_03_s,Monologue,ce_003_03,,Locale_SubScenario:event_ce003_2_03_s_70,False,,1,surprise,,13,surprise,,15,surprise,,black,black,1.0,,,,,,,,,,,,,,
