id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
event_alonesurvivor_03_s_26,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_26,True,,5,idle,,3,think,,1,idle,,7,idle,,30,30,1.0,,
event_alonesurvivor_03_s_27,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_27,True,,5,idle,,3,think,,1,idle,,7,idle,,30,30,1.0,,
event_alonesurvivor_03_s_28,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_28,True,,5,idle,,3,think,,1,idle,,7,idle,,30,30,1.0,,
event_alonesurvivor_03_s_29,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_29,True,,5,idle,,3,idle,,1,idle,,7,idle,,30,3,1.0,,
event_alonesurvivor_03_s_30,40033,event_alonesurvivor_03_s,Speech,neve,neve,Locale_SubScenario:event_alonesurvivor_03_s_30,True,,5,idle,,3,idle,,1,idle,,7,idle,,3,3,1.0,,
event_alonesurvivor_03_s_31,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_31,True,,5,idle,,3,idle,,1,think,,7,idle,,3,S_10,1.0,,
event_alonesurvivor_03_s_32,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_32,True,,5,idle,,3,idle,,1,think,,7,idle,,S_10,S_10,1.0,,
event_alonesurvivor_03_s_33,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_33,True,,5,idle,,3,think,,1,think,,7,idle,,S_10,2,1.0,,
event_alonesurvivor_03_s_34,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_34,True,,5,idle,,3,think,,1,think,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_35,40033,event_alonesurvivor_03_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_03_s_35,False,,5,idle,,3,think,,1,think,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_36,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_36,False,,5,idle,,3,idle,,1,surprise,,7,idle,,2,2,1.0,,Low_2
event_alonesurvivor_03_s_37,40033,event_alonesurvivor_03_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_03_s_37,False,,5,idle,,3,idle,,1,surprise,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_38,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_38,True,,5,idle,,3,idle,,1,idle,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_39,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_39,True,,5,idle,,3,idle,,1,idle,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_40,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_40,True,,5,idle,,3,idle,,1,idle,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_41,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_41,True,,5,idle,,3,idle,,1,idle,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_42,40033,event_alonesurvivor_03_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_03_s_42,True,,5,idle,,3,idle,,1,delight,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_43,40033,event_alonesurvivor_03_s,Speech,ludmilla,ludmilla,Locale_SubScenario:event_alonesurvivor_03_s_43,True,,5,idle,,3,idle,,1,delight,,7,idle,,2,2,1.0,,
event_alonesurvivor_03_s_44,40033,event_alonesurvivor_03_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_03_s_44,False,,5,idle,,3,idle,,1,delight,,7,idle,,2,2,1.0,,
