id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_trueflavor_06_s_18,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_18,True,,1,1,1.0,,,bready,,,12,delight,,2,delight
event_trueflavor_06_s_19,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_19,True,,1,XS_120,1.3,,,crust,,,12,delight,,2,delight
event_trueflavor_06_s_20,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_20,True,,XS_120,XS_120,1.0,,,crust,,,12,idle,,2,delight
event_trueflavor_06_s_21,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_21,True,,XS_120,XS_120,1.0,,,crust,,,12,idle,,2,delight
event_trueflavor_06_s_22,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_22,True,,XS_120,S_20,1.3,,,bready,,,12,idle,,2,delight
event_trueflavor_06_s_23,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_23,True,,black,black,1.0,,,bready,,,12,idle,,2,special
event_trueflavor_06_s_24,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_24,True,,S_20,S_20,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_25,40074,event_trueflavor_06_s,Monologue,bready,Locale_SubScenario:event_trueflavor_06_s_25,False,,S_20,S_20,1.0,,,,,,12,idle,,2,idle
event_trueflavor_06_s_26,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_26,True,,S_20,1,1.3,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_27,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_27,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_28,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_28,True,,1,1,1.0,,,crust,,,12,delight,,2,idle
event_trueflavor_06_s_29,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_29,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_30,40074,event_trueflavor_06_s,Monologue,crust,Locale_SubScenario:event_trueflavor_06_s_30,False,,1,1,1.0,,,,,,12,idle,,2,idle
event_trueflavor_06_s_31,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_31,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_32,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_32,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_33,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_33,True,,1,1,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_34,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_34,True,,1,1,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_35,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_35,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_36,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_36,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_37,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_37,True,,1,1,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_38,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_38,True,,1,1,1.0,,,crust,,,12,delight,,2,idle
event_trueflavor_06_s_39,40074,event_trueflavor_06_s,Narration,crust,Locale_SubScenario:event_trueflavor_06_s_39,False,,black,black,1.0,sfx_scn_foodonfire,,,,,12,delight,,2,idle
event_trueflavor_06_s_40,40074,event_trueflavor_06_s,Narration,crust,Locale_SubScenario:event_trueflavor_06_s_40,False,,black,black,1.0,sfx_scn_cookknife,,,,,12,delight,,2,idle
event_trueflavor_06_s_41,40074,event_trueflavor_06_s,Narration,crust,Locale_SubScenario:event_trueflavor_06_s_41,False,,black,black,1.0,sfx_scn_foodcook,,,,,15,delight,,2,idle
event_trueflavor_06_s_42,40074,event_trueflavor_06_s,Monologue,crust,Locale_SubScenario:event_trueflavor_06_s_42,False,,XS_150,XS_150,1.0,,,,,,15,idle,,2,idle
event_trueflavor_06_s_43,40074,event_trueflavor_06_s,Monologue,crust,Locale_SubScenario:event_trueflavor_06_s_43,False,,XS_150,XS_150,1.0,,,,,,15,idle,,2,idle
event_trueflavor_06_s_44,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_44,True,,XS_150,XS_1500,1.3,,,crust,,,15,idle,,2,idle
event_trueflavor_06_s_45,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_45,True,,XS_1500,XS_1500,1.0,,,crust,,,15,idle,,2,idle
event_trueflavor_06_s_46,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_46,True,,XS_1500,XS_1500,1.0,,,crust,,,15,idle,,2,idle
event_trueflavor_06_s_47,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_47,True,,XS_1500,XS_1500,1.0,,,crust,,,15,delight,,2,idle
event_trueflavor_06_s_48,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_48,False,,S_200,S_200,1.0,,,bready,,,15,idle,,2,delight
event_trueflavor_06_s_49,40074,event_trueflavor_06_s,Narration,bready,Locale_SubScenario:event_trueflavor_06_s_49,False,,black,black,1.0,sfx_scn_dishdebris,,,black,,12,idle,,2,idle
event_trueflavor_06_s_50,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_50,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_51,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_51,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_52,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_52,False,,1,1,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_53,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_53,True,,1,1,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_54,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_54,True,,1,1,1.0,,,crust,,,12,shy,,2,idle
event_trueflavor_06_s_55,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_55,True,,1,1,1.0,,,crust,,,12,shy,,2,idle
event_trueflavor_06_s_56,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_56,True,,1,1,1.0,,,bready,,,12,shy,,2,idle
event_trueflavor_06_s_57,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_57,True,,1,1,1.0,,,bready,,,12,shy,,2,idle
event_trueflavor_06_s_58,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_58,True,,1,1,1.0,,,crust,,,12,think,,2,idle
event_trueflavor_06_s_59,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_59,True,,1,1,1.0,,,crust,,,12,sad,,2,idle
event_trueflavor_06_s_60,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_60,True,,1,1,1.0,,,bready,,,12,sad,,2,idle
event_trueflavor_06_s_61,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_61,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_62,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_62,True,,1,1,1.0,,,crust,,,12,delight,,2,idle
event_trueflavor_06_s_63,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_63,False,,1,1,1.0,,,bready,,,12,delight,,2,idle
event_trueflavor_06_s_64,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_64,True,,1,1,1.0,,,bready,,,12,delight,,2,idle
event_trueflavor_06_s_65,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_65,True,,1,1,1.0,,,crust,,,12,idle,,2,idle
event_trueflavor_06_s_66,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_66,True,,1,S_20,1.3,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_67,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_67,True,,S_20,S_20,1.0,,,bready,,,12,idle,,2,idle
event_trueflavor_06_s_68,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_68,True,,S_20,XS_120,1.3,,,crust,,,12,idle,,2,idle
