id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_02_21,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_21,True,,6,6,1.0,,,,,,5,idle,,,7,idle,,,,
d_ex_seayouagain_02_22,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_22,True,,6,6,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_23,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_23,True,,6,6,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_24,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_24,True,,6,XS_50,1.0,,,,,,5,delight,,,7,delight2,,,,
d_ex_seayouagain_02_25,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_25,True,,XS_50,S_70,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_26,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_26,True,,S_70,XS_50,1.0,,,,,,5,delight,,,7,delight2,,,,
d_ex_seayouagain_02_27,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_27,True,,XS_50,6,1.0,,,,,,5,delight,,,7,delight2,,,,
d_ex_seayouagain_02_28,80600,d_ex_seayouagain_02,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_02_28,False,,6,6,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_29,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_29,True,,6,6,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_30,80600,d_ex_seayouagain_02,Choice,,,Locale_SuddenStory:d_ex_seayouagain_02_30,False,,6,6,1.0,,,,d_ex_seayouagain_02_32,,5,idle,,,7,idle,,,,
d_ex_seayouagain_02_31,80600,d_ex_seayouagain_02,Choice,,,Locale_SuddenStory:d_ex_seayouagain_02_31,False,,6,6,1.0,,,,d_ex_seayouagain_02_34,,5,idle,,,7,idle,,,,
d_ex_seayouagain_02_32,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_32,True,,6,6,1.0,,,,,,5,delight,,,7,idle,,,,
d_ex_seayouagain_02_33,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_33,True,,6,6,1.0,,,,d_ex_seayouagain_02_36,,5,delight,,,7,idle,,,,
d_ex_seayouagain_02_34,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_34,True,,6,6,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_35,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_35,True,,6,6,1.0,,,,,,5,idle,,,7,delight2,,,,
d_ex_seayouagain_02_36,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_36,True,,6,XS_50,1.0,,,,,,5,delight,,,7,delight2,,,,
d_ex_seayouagain_02_37,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_37,True,,XS_50,S_70,1.0,,,,,,5,delight,,,7,delight2,,,,
d_ex_seayouagain_02_38,80600,d_ex_seayouagain_02,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_02_38,False,,S_70,S_70,1.0,,,,,,5,delight,,,7,delight2,,,,
d_ex_seayouagain_02_39,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_39,True,,XS_50,XS_50,1.0,bgm_story_whosdumber,,,,,5,angry,,,7,delight2,,,,
d_ex_seayouagain_02_40,80600,d_ex_seayouagain_02,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_02_40,True,,XS_50,S_70,1.0,,sfx_scn_dogbark,,,,19,idle,liter_s,,7,delight2,,,,
d_ex_seayouagain_02_41,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_41,True,,S_70,S_70,1.0,,,,,,,,,,7,delight2,,,,
d_ex_seayouagain_02_42,80600,d_ex_seayouagain_02,Speech,morgan,morgan,Locale_SuddenStory:d_ex_seayouagain_02_42,True,,S_70,S_70,1.0,,,,,,,,,,17,delight2,mast_s,,,
d_ex_seayouagain_02_43,80600,d_ex_seayouagain_02,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_02_43,False,,S_70,S_70,1.0,,,,,,,,,,,,,,,
d_ex_seayouagain_02_44,80600,d_ex_seayouagain_02,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_02_44,False,,S_70,S_70,1.0,,,,,,,,,,,,,,,
d_ex_seayouagain_02_45,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_45,False,,black,black,1.0,,,,,,,,,,,,,,,
d_ex_seayouagain_02_46,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_46,False,,black,black,1.0,,,,,,,,,,,,,,,
d_ex_seayouagain_02_47,80600,d_ex_seayouagain_02,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_02_47,True,,12,12,1.0,,,Low_2,,,,,,,,,,,,
d_ex_seayouagain_02_48,80600,d_ex_seayouagain_02,Speech,morgan,morgan,Locale_SuddenStory:d_ex_seayouagain_02_48,True,,12,12,1.0,,,Low_2,,,,,,,,,,,,
d_ex_seayouagain_02_49,80600,d_ex_seayouagain_02,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_02_49,False,,12,12,1.0,,,,,liter_s,19,angry,,mast_s,17,sad2,,,,
d_ex_seayouagain_02_50,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_50,True,,12,XS_190,1.0,,,,,,19,angry,,,17,sad2,,,,
d_ex_seayouagain_02_51,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_51,True,,XS_190,170,1.0,,,,,,19,angry,,,17,sad2,,,,
d_ex_seayouagain_02_52,80600,d_ex_seayouagain_02,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_02_52,True,,170,1,1.0,,,,,,19,angry,liter_s,,17,sad2,mast_s,anchor,1,angry
d_ex_seayouagain_02_53,80600,d_ex_seayouagain_02,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_02_53,True,,1,1,1.0,,,,,,,,,,,,,,1,angry
d_ex_seayouagain_02_54,80600,d_ex_seayouagain_02,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_02_54,False,,1,1,1.0,,,,,,,,,,,,,,1,angry
d_ex_seayouagain_02_55,80600,d_ex_seayouagain_02,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_02_55,False,,1,1,1.0,,,,,,,,,,,,,,1,angry
d_ex_seayouagain_02_56,80600,d_ex_seayouagain_02,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_02_56,False,,1,1,1.0,,,,,,,,,,,,,,1,angry
