id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_doutsiders_02_e_40,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_40,True,,1,1,1.0,,,,12,idle,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_41,40006,event_doutsiders_02_e,Monologue,,Monologue,Locale_SubScenario:event_doutsiders_02_e_41,False,,1,1,1.0,,,,12,idle,,14,idle,,4,idle,fatman,,4,surprise
event_doutsiders_02_e_42,40006,event_doutsiders_02_e,Choice,,,Locale_SubScenario:event_doutsiders_02_e_42,False,,120,120,2.0,,event_doutsiders_02_e_44,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_43,40006,event_doutsiders_02_e,Choice,,,Locale_SubScenario:event_doutsiders_02_e_43,False,,120,120,1.0,,event_doutsiders_02_e_46,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_44,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_44,True,,120,120,1.0,,,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_45,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_45,True,,120,120,1.0,,event_doutsiders_02_e_52,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_46,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_46,True,,120,120,1.0,,,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_47,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_47,True,,120,120,1.0,,,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_48,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_48,True,,120,120,1.0,,,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_49,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_49,True,,120,1200,2.0,,,,12,shy,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_50,40006,event_doutsiders_02_e,Self,,Self,Locale_SubScenario:event_doutsiders_02_e_50,False,,1200,1200,1.0,,,,12,shy,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_51,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_51,True,,1200,120,1.0,,,,12,shy,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_52,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_52,True,,120,120,1.0,,,,12,idle,,14,idle,,,,,,4,surprise
event_doutsiders_02_e_53,40006,event_doutsiders_02_e,Speech,joseph,youngman,Locale_SubScenario:event_doutsiders_02_e_53,True,,120,1,0.3,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_54,40006,event_doutsiders_02_e,Speech,joseph,youngman,Locale_SubScenario:event_doutsiders_02_e_54,True,,1,1,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_55,40006,event_doutsiders_02_e,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_02_e_55,True,,S_140,S_140,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_56,40006,event_doutsiders_02_e,Speech,joseph,youngman,Locale_SubScenario:event_doutsiders_02_e_56,True,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_57,40006,event_doutsiders_02_e,Speech,joseph,youngman,Locale_SubScenario:event_doutsiders_02_e_57,True,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_58,40006,event_doutsiders_02_e,Speech,joseph,youngman,Locale_SubScenario:event_doutsiders_02_e_58,True,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,idle
event_doutsiders_02_e_59,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_59,True,,20,1,1.0,,,,12,good,,14,idle,,,,,,2,idle
event_doutsiders_02_e_60,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_60,True,,1,1,1.0,,,,12,good,,14,idle,,,,,,2,idle
event_doutsiders_02_e_61,40006,event_doutsiders_02_e,Monologue,,Monologue,Locale_SubScenario:event_doutsiders_02_e_61,False,,black,black,1.0,,,,12,good,,14,idle,,,,,,2,idle
event_doutsiders_02_e_62,40006,event_doutsiders_02_e,Speech,joseph,youngman,Locale_SubScenario:event_doutsiders_02_e_62,True,,2,20,0.5,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_63,40006,event_doutsiders_02_e,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_02_e_63,True,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_64,40006,event_doutsiders_02_e,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_02_e_64,True,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_65,40006,event_doutsiders_02_e,Self,,Self,Locale_SubScenario:event_doutsiders_02_e_65,False,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,idle
event_doutsiders_02_e_66,40006,event_doutsiders_02_e,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_02_e_66,True,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,idle
event_doutsiders_02_e_67,40006,event_doutsiders_02_e,Self,,Self,Locale_SubScenario:event_doutsiders_02_e_67,False,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,idle
event_doutsiders_02_e_68,40006,event_doutsiders_02_e,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_02_e_68,False,,20,20,1.0,,,,12,idle,,14,idle,,,,,,2,surprise
event_doutsiders_02_e_69,40006,event_doutsiders_02_e,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_02_e_69,True,,20,2,2.0,,,,12,idle,,14,idle,,,,,,2,idle
event_doutsiders_02_e_70,40006,event_doutsiders_02_e,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_02_e_70,True,,2,2,1.0,,,,12,idle,,14,idle,,,,,,2,idle
