id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_arcanearchive_01_s_39,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_39,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_40,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_40,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_41,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_41,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_42,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_42,True,,2,surprise_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_43,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_43,False,,2,surprise_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_44,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_44,False,,2,surprise_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_45,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_45,True,,2,surprise_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_46,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_46,False,,2,surprise_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_47,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_47,False,,2,surprise_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_48,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_48,True,,2,surprise_02,,1,1,1.0,,,arcana,,,12,think
event_arcanearchive_01_s_49,40077,event_arcanearchive_01_s,Self,arcana,Locale_SubScenario:event_arcanearchive_01_s_49,False,,2,surprise_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_50,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_50,True,,2,surprise_02,,1,L_120,1.3,,none,arcana,,,12,think_02
event_arcanearchive_01_s_51,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_51,True,,2,surprise_02,,L_120,L_120,1.0,,,arcana,,,12,think
event_arcanearchive_01_s_52,40077,event_arcanearchive_01_s,Self,arcana,Locale_SubScenario:event_arcanearchive_01_s_52,False,,2,surprise_02,,L_120,L_120,1.0,,,,,,12,think
event_arcanearchive_01_s_53,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_53,True,,2,surprise_02,,L_120,L_1200,1.3,,,arcana,,,12,think
event_arcanearchive_01_s_54,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_54,True,,2,surprise_02,,L_1200,L_1200,1.0,,,arcana,,,12,think
