id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_perfectmaid_02_e_12,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_12,True,,2,2,1.0,,,,,,1,angry,,13,no,,3,sad,,5,idle
event_perfectmaid_02_e_13,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_13,True,,2,2,1.0,,,,,,1,shy,,13,no,,3,idle,,5,idle
event_perfectmaid_02_e_14,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_14,True,,2,12,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_15,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_15,True,,12,12,1.0,,,,,,1,surprise,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_16,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_16,True,,12,1300,1.0,,,,,,1,surprise,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_17,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_17,True,,XS_50,XS_500,1.0,,,,,,1,surprise,,13,idle,,3,idle,,5,serious
event_perfectmaid_02_e_18,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_18,True,,S_10,S_10,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,serious
event_perfectmaid_02_e_19,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_19,True,,130,1300,0.6,,,,,,1,shy,,13,delight,,3,idle,,5,serious
event_perfectmaid_02_e_20,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_20,True,,XS_50,XS_500,0.6,,,,,,1,shy,,13,delight,,3,idle,,5,serious
event_perfectmaid_02_e_21,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_21,True,,S_30,S_300,0.6,,,,,,1,shy,,13,delight,,3,idle,,5,serious
event_perfectmaid_02_e_22,40039,event_perfectmaid_02_e,Choice,,,Locale_SubScenario:event_perfectmaid_02_e_22,False,,S_300,1,1.0,,,event_perfectmaid_02_e_24,,,1,shy,,13,delight,,3,idle,,5,serious
event_perfectmaid_02_e_23,40039,event_perfectmaid_02_e,Choice,,,Locale_SubScenario:event_perfectmaid_02_e_23,False,,S_300,1,1.0,,,event_perfectmaid_02_e_25,,,1,shy,,13,delight,,3,idle,,5,serious
event_perfectmaid_02_e_24,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_24,True,,1,1,1.0,,,event_perfectmaid_02_e_26,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_25,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_25,True,,1,1,1.0,,,,,,1,surprise,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_26,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_26,True,,1,S_10,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_27,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_27,True,,S_10,S_10,1.0,,,,,,1,angry,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_28,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_28,True,,S_10,S_100,1.0,,Low_2,,,,1,angry,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_29,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_29,True,,S_100,S_100,1.0,,,,,,1,angry,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_30,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_30,True,,S_100,4,1.0,,,,,,1,angry,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_31,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_31,True,,4,4,1.0,,,,,,1,angry,,13,idle,,3,think,,5,idle
event_perfectmaid_02_e_32,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_32,True,,4,4,1.0,,,,,,1,angry,,13,idle,,3,think,,5,delight
event_perfectmaid_02_e_33,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_33,True,,4,4,1.0,,,,,,1,angry,,13,idle,,3,think,,5,delight
event_perfectmaid_02_e_34,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_34,True,,S_100,S_100,1.0,,,,,,1,shy,,13,idle,,3,think,,5,delight
event_perfectmaid_02_e_35,40039,event_perfectmaid_02_e,Narration,,,Locale_SubScenario:event_perfectmaid_02_e_35,False,,S_100,S_100,1.0,,,,sfx_scn_poke2,,1,shy,,13,idle,,3,think,,5,delight
event_perfectmaid_02_e_36,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_36,True,,S_100,XS_50,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,delight
event_perfectmaid_02_e_37,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_37,True,,XS_50,XS_50,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,delight
event_perfectmaid_02_e_38,40039,event_perfectmaid_02_e,Self,,,Locale_SubScenario:event_perfectmaid_02_e_38,False,,XS_50,XS_50,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,delight
event_perfectmaid_02_e_39,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_39,True,,XS_50,4,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,delight
event_perfectmaid_02_e_40,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_40,True,,130,1300,0.6,,,,,,1,shy,,13,delight,,3,idle,,5,delight
event_perfectmaid_02_e_41,40039,event_perfectmaid_02_e,Self,,,Locale_SubScenario:event_perfectmaid_02_e_41,False,,1300,1300,1.0,,,,,,1,shy,,13,delight,,3,idle,,5,idle
event_perfectmaid_02_e_42,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_42,True,,1300,130,1.0,,,,,,1,shy,,13,no,,3,idle,,5,idle
event_perfectmaid_02_e_43,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_43,True,,4,4,1.0,,,,,,1,shy,,13,no,,3,sad,,5,sad
event_perfectmaid_02_e_44,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_44,True,,4,4,1.0,,,,,,1,shy,,13,idle,,3,sad,,5,sad
event_perfectmaid_02_e_45,40039,event_perfectmaid_02_e,Monologue,,,Locale_SubScenario:event_perfectmaid_02_e_45,False,,4,4,1.0,,,,,,1,shy,,13,idle,,3,sad,,5,sad
event_perfectmaid_02_e_46,40039,event_perfectmaid_02_e,Self,,,Locale_SubScenario:event_perfectmaid_02_e_46,False,,4,4,1.0,,,,,,1,shy,,13,idle,,3,sad,,5,sad
event_perfectmaid_02_e_47,40039,event_perfectmaid_02_e,Choice,,,Locale_SubScenario:event_perfectmaid_02_e_47,False,,4,4,1.0,,,event_perfectmaid_02_e_49,,,1,shy,,13,idle,,3,sad,,5,sad
event_perfectmaid_02_e_48,40039,event_perfectmaid_02_e,Choice,,,Locale_SubScenario:event_perfectmaid_02_e_48,False,,4,4,1.0,,,event_perfectmaid_02_e_50,,,1,shy,,13,idle,,3,sad,,5,sad
event_perfectmaid_02_e_49,40039,event_perfectmaid_02_e,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_02_e_49,True,,4,4,1.0,,,event_perfectmaid_02_e_51,,,1,shy,,13,idle,,3,think,,5,delight
event_perfectmaid_02_e_50,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_50,True,,4,1,1.0,,,event_perfectmaid_02_e_51,,,1,surprise,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_51,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_51,True,,1,1,1.0,,,,,,1,surprise,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_52,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_52,True,,1,1,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_53,40039,event_perfectmaid_02_e,Self,,,Locale_SubScenario:event_perfectmaid_02_e_53,False,,1,1,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_54,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_54,True,,1,1,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_55,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_55,True,,1,S_10,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_56,40039,event_perfectmaid_02_e,Self,,,Locale_SubScenario:event_perfectmaid_02_e_56,False,,S_10,S_10,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_57,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_57,True,,S_10,2,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_58,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_58,True,,2,2,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
event_perfectmaid_02_e_59,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_59,True,,2,2,1.0,,,,,,1,shy,,13,idle,,3,idle,,5,idle
