id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_colorless_04_e_31,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_31,True,,12,12,1.0,,,ein,ein,,13,pain,,,,,1,idle
event_colorless_04_e_32,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_32,True,,12,12,1.0,,,ein,ein,,13,pain,,,,,1,idle
event_colorless_04_e_33,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_33,False,,12,12,1.0,,,,zwei,,13,pain,,,,,1,idle
event_colorless_04_e_34,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_34,True,,12,12,1.0,,,zwei,zwei,,13,pain,,,,,1,idle
event_colorless_04_e_35,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_35,False,,12,12,1.0,,,zwei,zwei,,13,pain,,,,,1,idle
event_colorless_04_e_36,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_36,True,,12,12,1.0,,,zwei,zwei,,13,angry,,,,,1,idle
event_colorless_04_e_37,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_37,True,,12,12,1.0,,,ein,ein,,13,angry,,,,,1,idle
event_colorless_04_e_38,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_38,True,,12,130,1.0,,,zwei,zwei,,13,angry,,,,,1,idle
event_colorless_04_e_39,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_39,False,,black,black,1.0,,,,,,13,angry,,,,,1,idle
event_colorless_04_e_40,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_40,False,,black,black,1.0,,,,,,13,angry,,,,,1,idle
