id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_killthelord_01_e_22,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_22,True,,12,12,1.0,,k,,,,1,idle,,13,delight
event_killthelord_01_e_23,40043,event_killthelord_01_e,Self,k,Locale_SubScenario:event_killthelord_01_e_23,False,,12,12,1.0,,,,,,1,idle,,13,delight
event_killthelord_01_e_24,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_24,True,,12,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_25,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_25,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_26,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_26,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_27,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_27,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_28,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_28,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_29,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_29,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_30,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_30,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_31,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_31,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_32,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_32,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_33,40043,event_killthelord_01_e,Self,k,Locale_SubScenario:event_killthelord_01_e_33,False,,S_130,S_130,1.0,,,,,,1,idle,,13,idle
event_killthelord_01_e_34,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_34,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_35,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_35,True,,S_130,12,1.0,,d,,,,1,angry,,13,idle
event_killthelord_01_e_36,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_36,True,,12,12,1.0,,d,,,,1,angry,,13,idle
event_killthelord_01_e_37,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_37,True,,12,12,1.0,,k,,,,1,angry,,13,think
event_killthelord_01_e_38,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_38,True,,12,12,1.0,none,k,,,,1,angry,,13,idle
event_killthelord_01_e_39,40043,event_killthelord_01_e,Self,k,Locale_SubScenario:event_killthelord_01_e_39,False,,12,12,1.0,,,,,,1,angry,,13,idle
event_killthelord_01_e_40,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_40,True,,12,12,1.0,bgm_theruinedcity,k,,,,1,idle,,13,surprise
event_killthelord_01_e_41,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_41,True,,12,12,1.0,,k,,,,1,idle,,13,surprise
event_killthelord_01_e_42,40043,event_killthelord_01_e,Monologue,k,Locale_SubScenario:event_killthelord_01_e_42,False,,black,black,1.0,,,,,,1,idle,,13,surprise
event_killthelord_01_e_43,40043,event_killthelord_01_e,Choice,k,Locale_SubScenario:event_killthelord_01_e_43,False,,12,12,1.0,,,event_killthelord_01_e_45,,,1,idle,,13,surprise
event_killthelord_01_e_44,40043,event_killthelord_01_e,Choice,k,Locale_SubScenario:event_killthelord_01_e_44,False,,12,12,1.0,,,event_killthelord_01_e_47,,,1,idle,,13,surprise
event_killthelord_01_e_45,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_45,True,,12,12,1.0,,k,,,,1,idle,,13,surprise
event_killthelord_01_e_46,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_46,True,,12,12,1.0,,k,event_killthelord_01_e_49,,,1,idle,,13,idle
event_killthelord_01_e_47,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_47,True,,12,12,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_48,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_48,True,,12,12,1.0,,k,event_killthelord_01_e_49,,,1,idle,,13,think
event_killthelord_01_e_49,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_49,True,,12,12,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_50,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_50,True,,12,12,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_51,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_51,True,,12,12,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_52,40043,event_killthelord_01_e,Self,k,Locale_SubScenario:event_killthelord_01_e_52,False,,12,12,1.0,,,,,,1,idle,,13,idle
event_killthelord_01_e_53,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_53,True,,12,100,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_54,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_54,True,,100,100,1.0,,d,,,,1,idle,,13,idle
