id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_bowwowparadise_03_s_17,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_17,True,,3,3,1.0,,,,biscuit,,3,angry,,,,,,13,delight,
event_bowwowparadise_03_s_18,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_18,True,,3,2,1.0,,,,citizen,,3,angry,,,,,,13,delight,
event_bowwowparadise_03_s_19,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_19,True,,2,3,0.3,,,,biscuit,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_20,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_20,True,,3,2,1.0,,,,citizen,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_21,40010,event_bowwowparadise_03_s,Self,Self,Locale_SubScenario:event_bowwowparadise_03_s_21,False,,2,2,1.0,,,,,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_22,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_22,True,,2,2,1.0,,,,citizen,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_23,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_23,False,,2,XS_30,2.0,sfx_scn_sofasheet,,,,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_24,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_24,True,,XS_30,XS_30,1.0,,,,biscuit,,3,delight,,,,,,13,delight,
event_bowwowparadise_03_s_25,40010,event_bowwowparadise_03_s,Self,Self,Locale_SubScenario:event_bowwowparadise_03_s_25,False,,XS_30,XS_30,1.0,,,,,,3,delight,,,,,,13,delight,
event_bowwowparadise_03_s_26,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_26,True,,XS_30,2,2.0,,,,citizen,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_27,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_27,True,,2,2,0.3,,,,citizen,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_28,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_28,True,,2,2,1.0,,,,citizen,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_29,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_29,False,,2,3,0.3,,,,biscuit,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_30,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_30,True,,3,3,1.0,,,,biscuit,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_31,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_31,False,,black,black,1.0,,none,,,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_32,40010,event_bowwowparadise_03_s,Speech,puppies,Locale_SubScenario:event_bowwowparadise_03_s_32,True,,XS_130,XS_130,0.3,sfx_scn_dogbark,bgm_story_languor,,puppies,,3,idle,,,,,,13,delight,
event_bowwowparadise_03_s_33,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_33,False,,XS_130,13,1.0,,,,,,3,idle,,,,,,13,sad,
event_bowwowparadise_03_s_34,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_34,False,,13,13,1.0,,,,,,3,idle,,,,,,13,sad,
event_bowwowparadise_03_s_35,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_35,False,,13,13,1.0,,,,,,3,idle,,,,,,13,sad,puppies
event_bowwowparadise_03_s_36,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_36,True,,XS_30,XS_30,1.0,,,,biscuit,,3,sad,,,,,,,,
event_bowwowparadise_03_s_37,40010,event_bowwowparadise_03_s,Self,Self,Locale_SubScenario:event_bowwowparadise_03_s_37,False,,XS_30,XS_30,1.0,,,,,,3,sad,,,,,,,,
event_bowwowparadise_03_s_38,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_38,True,,XS_30,XS_30,1.0,,,,biscuit,,3,idle,,,,,,,,
event_bowwowparadise_03_s_39,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_39,False,,XS_30,2,2.0,,,,,,3,idle,max,1,idle,,,,,
event_bowwowparadise_03_s_40,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_40,True,,2,2,1.0,,,,biscuit,,3,idle,,1,idle,,,,,
event_bowwowparadise_03_s_41,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_41,False,,2,2,1.0,,,,,,2,idle,,1,idle,,,,,
event_bowwowparadise_03_s_42,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_42,False,,2,1,1.0,,,,,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_43,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_43,False,,1,1,1.0,,,,,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_44,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_44,True,,1,1,1.0,,,,biscuit,,2,sad,,12,idle,,,,,
event_bowwowparadise_03_s_45,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_45,True,,1,1,1.0,,,,biscuit,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_46,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_46,True,,1,1,1.0,,,,biscuit,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_47,40010,event_bowwowparadise_03_s,Speech,max,Locale_SubScenario:event_bowwowparadise_03_s_47,False,,1,1,1.0,,,,max,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_48,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_48,True,,1,1,1.0,,,,biscuit,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_49,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_49,True,,1,1,1.0,,,,biscuit,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_50,40010,event_bowwowparadise_03_s,Speech,max,Locale_SubScenario:event_bowwowparadise_03_s_50,True,,1,1,1.0,sfx_scn_bowwow,,,max,,2,idle,,12,idle,,,,,
event_bowwowparadise_03_s_51,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_51,False,,1,1,1.0,,,,,,2,idle,,12,idle,max,,,,
event_bowwowparadise_03_s_52,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_52,False,,1,1,1.0,,,,biscuit,,2,idle,,,,,,,,
event_bowwowparadise_03_s_53,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_53,False,,1,1,1.0,,none,,,,2,idle,,,,,,,,
event_bowwowparadise_03_s_54,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_54,True,,1,XS_20,1.5,,,,biscuit,,2,sad,,,,,,,,
event_bowwowparadise_03_s_55,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_55,True,,XS_20,XS_20,1.0,,,,biscuit,,2,sad,,,,,,,,
