id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ltk_01_e_13,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_13,True,,20,20,1.0,,d,,,2,angry,,12,idle
event_ltk_01_e_14,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_14,True,,20,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_15,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_15,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_16,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_16,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_17,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_17,True,,S_120,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_18,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_18,True,,1,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_19,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_19,False,,1,1,1.0,,,,,2,idle,,12,idle
event_ltk_01_e_20,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_20,True,,1,1,1.0,,d,,,2,idle,,12,idle
event_ltk_01_e_21,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_21,True,,1,1,1.0,,d,,,2,think,,12,idle
event_ltk_01_e_22,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_22,True,,1,1,1.0,,k,,,2,idle,,12,think
event_ltk_01_e_23,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_23,True,,1,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_24,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_24,False,,1,1,1.0,,,,,2,idle,,12,idle
event_ltk_01_e_25,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_25,True,,1,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_26,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_26,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_27,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_27,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_28,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_28,True,,S_120,S_120,1.0,,k,,,2,idle,,12,think
event_ltk_01_e_29,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_29,True,,S_120,S_120,1.0,,k,,,2,idle,,12,think
event_ltk_01_e_30,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_30,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_31,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_31,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_32,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_32,True,,S_120,12,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_33,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_33,True,,12,12,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_34,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_34,True,,12,12,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_35,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_35,True,,12,12,1.0,,k,,,2,idle,,12,think
event_ltk_01_e_36,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_36,True,,12,12,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_37,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_37,True,,12,12,1.0,,k,,,2,idle,,12,good
event_ltk_01_e_38,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_38,False,,12,12,1.0,,,,,2,idle,,12,good
event_ltk_01_e_39,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_39,True,,12,12,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_40,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_40,True,,12,1,1.0,,d,,,2,angry,,12,idle
event_ltk_01_e_41,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_41,True,,1,1,1.0,,k,,,2,angry,,12,idle
event_ltk_01_e_42,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_42,True,,1,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_43,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_43,False,,1,1,1.0,,,,,2,idle,,12,idle
event_ltk_01_e_44,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_44,True,,1,1,1.0,,d,,,2,idle,,12,idle
event_ltk_01_e_45,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_45,True,,1,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_46,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_46,True,,1,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_47,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_47,True,,1,1,1.0,,k,,,2,idle,,12,delight
event_ltk_01_e_48,40012,event_ltk_01_e,Choice,,Locale_SubScenario:event_ltk_01_e_48,False,,1,1,1.0,,,event_ltk_01_e_50,,2,idle,,12,delight
event_ltk_01_e_49,40012,event_ltk_01_e,Choice,,Locale_SubScenario:event_ltk_01_e_49,False,,1,1,1.0,,,event_ltk_01_e_50,,2,idle,,12,delight
event_ltk_01_e_50,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_50,True,,1,S_120,1.0,,k,,,2,idle,,12,surprise
event_ltk_01_e_51,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_51,True,,S_120,S_120,1.0,,k,,,2,idle,,12,surprise
event_ltk_01_e_52,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_52,True,,S_120,S_120,1.0,,k,,,2,idle,,12,surprise
event_ltk_01_e_53,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_53,False,,S_120,S_120,1.0,,,,,2,idle,,12,surprise
event_ltk_01_e_54,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_54,True,,S_120,20,1.0,,d,,,2,idle,,12,idle
event_ltk_01_e_55,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_55,True,,20,20,1.0,,d,,,2,idle,,12,idle
