id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,set_camera_shake,jump_target,characters/0/hide_char_id
event_BunnyX777_04_s_20,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_20,True,,,,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_21,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_21,True,,,,,L_100,L_10,0.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_22,40014,event_BunnyX777_04_s,Self,Locale_SubScenario:event_BunnyX777_04_s_22,False,,,,,L_10,L_10,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_23,40014,event_BunnyX777_04_s,Narration,Locale_SubScenario:event_BunnyX777_04_s_23,False,,,,,L_10,L_10,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_24,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_24,True,,,,,L_10,L_150,1.0,,youngman,youngman,,,1,idle,,,,
event_BunnyX777_04_s_25,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_25,True,,,,,L_150,L_150,1.0,,skinnyman,skinnyman,,,1,idle,,,,
event_BunnyX777_04_s_26,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_26,True,,,,,L_150,L_10,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_27,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_27,True,,,,,L_10,L_10,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_28,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_28,True,,,,,L_10,L_10,1.0,,youngman,youngman,,,1,idle,,,,
event_BunnyX777_04_s_29,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_29,True,,,,,L_10,L_10,1.0,,skinnyman,skinnyman,,,1,idle,,,,
event_BunnyX777_04_s_30,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_30,True,,,,,L_10,L_100,0.5,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_31,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_31,True,,,,,L_100,L_100,1.0,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_32,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_32,True,,,,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_33,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_33,True,,,,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_34,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_34,True,,,,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_35,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_35,True,,,,,L_100,L_10,0.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_36,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_36,False,,,,,black,black,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_37,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_37,True,,,,,1,1,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_38,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_38,True,,,,,1,L_10,1.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_39,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_39,True,,,,,L_10,L_100,0.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_40,40014,event_BunnyX777_04_s,Choice,Locale_SubScenario:event_BunnyX777_04_s_40,False,,,,,L_100,L_100,1.0,,,,,,1,idle,,,event_BunnyX777_04_s_43,
event_BunnyX777_04_s_41,40014,event_BunnyX777_04_s,Choice,Locale_SubScenario:event_BunnyX777_04_s_41,False,,,,,L_100,L_100,1.0,,,,,,1,idle,,,event_BunnyX777_04_s_43,
event_BunnyX777_04_s_42,40014,event_BunnyX777_04_s,Choice,Locale_SubScenario:event_BunnyX777_04_s_42,False,,,,,L_100,L_100,1.0,,,,,,1,idle,,,event_BunnyX777_04_s_43,
event_BunnyX777_04_s_43,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_43,True,,,,,black,black,1.0,,participants,participants,,,1,idle,,,,
event_BunnyX777_04_s_44,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_44,True,,,,,black,black,1.0,,participants,participants,,,1,idle,,,,
event_BunnyX777_04_s_45,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_45,False,,,,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_46,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_46,False,,,,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_47,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_47,True,,,,,L_100,L_10,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_48,40014,event_BunnyX777_04_s,Narration,Locale_SubScenario:event_BunnyX777_04_s_48,False,,,,,L_10,L_10,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_49,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_49,True,,,,,L_10,L_150,1.0,,youngman,youngman,,,1,idle,,,,
event_BunnyX777_04_s_50,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_50,True,,,,,L_150,L_150,1.0,,youngman,youngman,,,1,idle,,,,
event_BunnyX777_04_s_51,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_51,True,sullenman,13,idle,,L_150,L_130,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_52,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_52,True,,13,idle,,L_130,L_130,1.0,none,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_53,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_53,True,,13,idle,,L_130,113,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_54,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_54,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_55,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_55,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_56,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_56,True,,13,idle,,113,L_10,1.0,bgm_story_epicjazzymoods,blanc,blanc,,,1,think,,,,
event_BunnyX777_04_s_57,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_57,True,,13,idle,,L_10,L_10,1.0,,youngman,youngman,,,1,think,,,,
event_BunnyX777_04_s_58,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_58,True,,13,idle,,L_10,L_10,1.0,,youngman,youngman,,,1,think,,,,
event_BunnyX777_04_s_59,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_59,True,,13,idle,,L_10,L_10,1.0,,blanc,blanc,,,1,think,,,,
event_BunnyX777_04_s_60,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_60,True,,13,idle,,L_10,L_100,0.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_61,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_61,True,,13,idle,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_62,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_62,True,,13,idle,,L_100,L_100,1.0,,youngman,youngman,,,1,idle,,,,
event_BunnyX777_04_s_63,40014,event_BunnyX777_04_s,Narration,Locale_SubScenario:event_BunnyX777_04_s_63,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_64,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_64,True,,13,idle,,L_100,113,2.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_65,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_65,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_66,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_66,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_67,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_67,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_68,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_68,True,,13,idle,,113,1,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_69,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_69,True,,13,idle,,1,L_10,1.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_70,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_70,True,,13,idle,,L_10,L_100,0.5,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_71,40014,event_BunnyX777_04_s,Choice,Locale_SubScenario:event_BunnyX777_04_s_71,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,event_BunnyX777_04_s_74,
event_BunnyX777_04_s_72,40014,event_BunnyX777_04_s,Choice,Locale_SubScenario:event_BunnyX777_04_s_72,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,event_BunnyX777_04_s_74,
event_BunnyX777_04_s_73,40014,event_BunnyX777_04_s,Choice,Locale_SubScenario:event_BunnyX777_04_s_73,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,event_BunnyX777_04_s_74,
event_BunnyX777_04_s_74,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_74,True,,13,idle,,black,black,1.0,,participants,participants,,,1,idle,,,,
event_BunnyX777_04_s_75,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_75,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_76,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_76,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_77,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_77,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_78,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_78,True,,13,idle,,L_100,L_10,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_79,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_79,True,,13,idle,,L_10,113,2.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_80,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_80,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_81,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_81,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_82,40014,event_BunnyX777_04_s,Self,Locale_SubScenario:event_BunnyX777_04_s_82,False,,13,idle,,113,113,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_83,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_83,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_84,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_84,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_85,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_85,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_86,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_86,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_87,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_87,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,think,,,,
event_BunnyX777_04_s_88,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_88,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,think,,,,
event_BunnyX777_04_s_89,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_89,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,think,,,,
event_BunnyX777_04_s_90,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_90,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,think,,,,
event_BunnyX777_04_s_91,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_91,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,think,,,,
event_BunnyX777_04_s_92,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_92,True,,13,idle,,113,113,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_93,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_93,True,,13,idle,,113,113,1.0,,sullenman,sullenman,,,1,idle,,,,
event_BunnyX777_04_s_94,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_94,True,,13,idle,,113,L_10,2.0,none,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_95,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_95,True,,13,idle,,L_10,L_10,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_96,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_96,True,,13,idle,,L_10,L_100,0.5,bgm_inark,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_97,40014,event_BunnyX777_04_s,Self,Locale_SubScenario:event_BunnyX777_04_s_97,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_98,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_98,False,,13,idle,,L_100,L_500,2.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_99,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_99,False,,13,idle,,L_500,L_500,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_100,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_100,True,,13,idle,,L_500,L_50,1.0,,cameraman,cameraman,,,1,idle,,,,
event_BunnyX777_04_s_101,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_101,True,,13,idle,,L_50,L_50,1.0,,skinnyman,skinnyman,,,1,idle,,,,
event_BunnyX777_04_s_102,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_102,True,,13,idle,,L_50,L_10,2.0,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_103,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_103,True,,13,idle,,L_10,L_10,1.0,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_104,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_104,True,,13,idle,,L_10,L_10,1.0,,blanc,blanc,,,1,delight,,,,
event_BunnyX777_04_s_105,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_105,False,,13,idle,,L_10,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_106,40014,event_BunnyX777_04_s,Monologue,Locale_SubScenario:event_BunnyX777_04_s_106,False,,13,idle,,L_100,L_100,1.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_107,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_107,True,,13,idle,,1300,1300,1.0,none,sullenman,sullenman,,,1,idle,,,,blanc
