id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_bowwowparadise_01_e_23,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_23,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_24,40010,event_bowwowparadise_01_e,Monologue,Locale_SubScenario:event_bowwowparadise_01_e_24,False,,XS_10,1,2.0,,,,,,,1,sad
event_bowwowparadise_01_e_25,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_25,False,,1,1,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_26,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_26,True,,1,1,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_27,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_27,True,,1,1,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_28,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_28,False,,1,1,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_29,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_29,True,,1,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_30,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_30,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_31,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_31,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_32,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_32,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,angry
event_bowwowparadise_01_e_33,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_33,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,angry
event_bowwowparadise_01_e_34,40010,event_bowwowparadise_01_e,Monologue,Locale_SubScenario:event_bowwowparadise_01_e_34,False,,XS_10,XS_10,1.0,,,,,,,1,angry
event_bowwowparadise_01_e_35,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_35,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,angry
event_bowwowparadise_01_e_36,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_36,False,,XS_10,XS_10,1.0,,,,,,,1,angry
event_bowwowparadise_01_e_37,40010,event_bowwowparadise_01_e,Narration,Locale_SubScenario:event_bowwowparadise_01_e_37,False,,XS_10,XS_10,1.0,,,,,sfx_scn_phonevibration,,1,angry
event_bowwowparadise_01_e_38,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_38,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_39,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_39,False,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_40,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_40,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_41,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_41,True,,XS_10,XS_100,0.5,,biscuit,biscuit,,,,1,sad
