id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
snowfall_myroom_day9_s_11,80903,snowfall_myroom_day9_s,Monologue,Locale_SubScenario:snowfall_myroom_day9_s_11,False,,10,10,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_12,80903,snowfall_myroom_day9_s,Monologue,Locale_SubScenario:snowfall_myroom_day9_s_12,False,,10,10,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_13,80903,snowfall_myroom_day9_s,Narration,Locale_SubScenario:snowfall_myroom_day9_s_13,False,,10,10,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_14,80903,snowfall_myroom_day9_s,Narration,Locale_SubScenario:snowfall_myroom_day9_s_14,False,,10,10,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_15,80903,snowfall_myroom_day9_s,Narration,Locale_SubScenario:snowfall_myroom_day9_s_15,False,,10,10,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_16,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_16,False,,10,12,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_17,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_17,True,,12,12,1.0,,,mica_w,mica_w,,1,idle,,13,delight,,
snowfall_myroom_day9_s_18,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_18,True,,12,12,1.0,,,mica_w,mica_w,,1,idle,,13,delight,,
snowfall_myroom_day9_s_19,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_19,False,,12,12,1.0,,,mica_w,,,1,idle,,13,delight,,
snowfall_myroom_day9_s_20,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_20,True,,12,12,1.0,,,ludmilla_w,ludmilla_w,,1,idle,,13,delight,,
snowfall_myroom_day9_s_21,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_21,True,,12,S_130,1.0,,,mica_w,mica_w,,1,idle,,13,special,,
snowfall_myroom_day9_s_22,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_22,True,,S_130,S_130,1.0,,,mica_w,mica_w,,1,idle,,13,special,,
snowfall_myroom_day9_s_23,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_23,True,,S_130,S_130,1.0,,,mica_w,mica_w,,1,idle,,13,special,,
snowfall_myroom_day9_s_24,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_24,True,,S_130,S_130,1.0,,,mica_w,mica_w,,1,idle,,13,idle,,
snowfall_myroom_day9_s_25,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_25,True,,S_130,10,1.0,,,ludmilla_w,ludmilla_w,,1,smile,,13,idle,,
snowfall_myroom_day9_s_26,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_26,True,,10,10,1.0,,,ludmilla_w,ludmilla_w,,1,idle,,13,idle,,
snowfall_myroom_day9_s_27,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_27,True,,10,10,1.0,,,ludmilla_w,ludmilla_w,,1,idle,,13,idle,,
snowfall_myroom_day9_s_28,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_28,False,,10,10,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_29,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_29,True,,10,12,1.0,,,mica_w,mica_w,,1,idle,,13,delight,,
snowfall_myroom_day9_s_30,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_30,False,,12,12,1.0,,,mica_w,,,1,idle,,13,delight,,
snowfall_myroom_day9_s_31,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_31,True,,12,12,1.0,,,ludmilla_w,ludmilla_w,,1,idle,,13,delight,,
snowfall_myroom_day9_s_32,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_32,True,,12,12,1.0,,,ludmilla_w,ludmilla_w,,1,smile,,13,delight,,
snowfall_myroom_day9_s_33,80903,snowfall_myroom_day9_s,Narration,Locale_SubScenario:snowfall_myroom_day9_s_33,False,,black,black,1.0,,,,,,1,smile,,13,delight,ludmilla_w,mica_w
