id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/hide_char_id,set_camera_shake,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,jump_target
event_phantomthiefvsdetective_04_s_11,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_11,False,,9,special,,12,idle,,L_90,L_900,1.0,bgm_story_tomboyprincess,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_12,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_12,False,,9,special,,12,idle,,black,black,1.0,,,sfx_scn_glassbreak,phantom,Low_2,,,,,,,
event_phantomthiefvsdetective_04_s_13,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_13,True,,,,,12,delight,,12,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_14,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_14,True,,,,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_15,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_15,True,,,,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_16,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_16,False,,,,,12,delight,,S_120,S_1200,1.0,,,sfx_scn_carabiner,,,,,,,,,
event_phantomthiefvsdetective_04_s_17,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_17,False,phantom,2,angry,,12,delight,Office,black,black,1.0,,,sfx_scn_zipline,,,miranda_c,,,,,,
event_phantomthiefvsdetective_04_s_18,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_18,True,,2,angry,,,,,2,2,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_19,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_19,True,,2,angry,,,,,2,2,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_20,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_20,True,,2,surprise,,,,,2,2,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_21,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_21,True,,2,special,miranda_c,12,shy,,2,S_1200,0.5,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_22,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_22,False,,2,special,,12,shy,,black,black,1.0,,,sfx_scn_heavytrip,phantom,Low_2,miranda_c,,,,,,
event_phantomthiefvsdetective_04_s_23,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_23,True,phantom,2,angry,miranda_c,12,think,,1,1,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_24,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_24,True,,2,angry,,12,think,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_25,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_25,True,,2,angry,,12,think,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_26,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_26,True,,2,surprise,,12,think,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_27,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_27,True,,2,surprise,,12,idle,,1,1,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_28,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_28,True,,2,idle,,12,idle,,1,L_20,1.0,none,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_29,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_29,True,,2,sad,,12,idle,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_30,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_30,True,,2,sad,,12,idle,,L_20,L_20,1.0,bgm_story_stormbreakers,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_31,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_31,True,,2,sad,,12,delight,,L_20,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_32,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_32,True,,2,sad,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_33,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_33,True,,2,no,,12,delight,,S_120,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_34,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_34,True,,2,no,,12,delight,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_35,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_35,True,,2,no,,12,delight,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_36,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_36,True,,2,no,,12,delight,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_37,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_37,True,,2,no,,12,idle,,1,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_38,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_38,True,,2,no,,12,idle,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_39,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_39,True,,2,no,,12,idle,,S_120,S_120,1.0,,miranda_c,,,,,black,,,,,
event_phantomthiefvsdetective_04_s_40,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_40,True,,2,no,,12,idle,,S_120,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_41,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_41,True,,2,no,,12,idle,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_42,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_42,True,,2,no,,12,idle,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_43,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_43,True,,2,no,,12,idle,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_44,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_44,True,,2,no,,12,idle,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_45,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_45,True,,2,idle,,12,delight,,L_20,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_46,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_46,True,,2,idle,,12,idle,,S_120,S_120,1.0,none,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_47,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_47,False,,2,idle,,12,idle,,S_120,S_120,1.0,,,,,,,,,,,,
event_phantomthiefvsdetective_04_s_48,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_48,True,,2,idle,,12,idle,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_49,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_49,False,,2,idle,,12,idle,,S_120,S_120,1.0,,,,,,,,,,,,
event_phantomthiefvsdetective_04_s_50,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_50,True,,2,surprise,,12,idle,,S_120,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_51,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_51,True,,2,surprise,,12,idle,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_52,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_52,True,,2,surprise,,12,idle,,1,1,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_53,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_53,False,,2,special,,12,idle,,1,1,1.0,bgm_story_herecomestrouble,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_54,40059,event_phantomthiefvsdetective_04_s,Speech,quiry_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_54,True,,2,special,,12,idle,,1,1,1.0,,quiry_op,,,,,,quiry_op,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_55,40059,event_phantomthiefvsdetective_04_s,Speech,quiry_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_55,True,,2,special,,12,idle,,1,1,1.0,,quiry_op,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_56,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_56,True,,2,special,,12,delight,,1,S_120,1.0,,miranda_c,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_57,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_57,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_58,40059,event_phantomthiefvsdetective_04_s,Speech,quiry_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_58,True,,2,special,,12,delight,,S_120,S_120,1.0,,quiry_op,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_59,40059,event_phantomthiefvsdetective_04_s,Speech,quiry_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_59,True,,2,special,,12,delight,,S_120,S_120,1.0,,quiry_op,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_60,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_60,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_61,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_61,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_62,40059,event_phantomthiefvsdetective_04_s,Speech,quiry_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_62,True,,2,special,,12,delight,,S_120,S_120,1.0,,quiry_op,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_63,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_63,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_64,40059,event_phantomthiefvsdetective_04_s,Speech,quiry_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_64,True,,2,special,,12,delight,,S_120,S_120,1.0,,quiry_op,,,,,,,OP_leftup,delight,,
event_phantomthiefvsdetective_04_s_65,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_65,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,OP_leftup,delight,,
event_phantomthiefvsdetective_04_s_66,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_66,True,,2,special,,12,delight,,S_120,L_20,1.0,,phantom,,,,,,,OP_leftup,delight,quiry_op,
event_phantomthiefvsdetective_04_s_67,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_67,True,,2,special,,12,delight,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_68,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_68,True,,2,special,,12,delight,,L_20,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_69,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_69,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_70,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_70,True,,2,special,,12,delight,,S_120,S_120,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_71,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_71,True,,2,angry,,12,delight,,S_120,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_72,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_72,True,,2,angry,,12,idle,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_73,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_73,True,,2,angry,,12,idle,,1,1,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_74,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_74,True,,2,angry,,12,idle,,1,1,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_75,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_75,True,,2,no,,12,idle,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_76,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_76,True,,2,no,,12,idle,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_77,40059,event_phantomthiefvsdetective_04_s,Narration,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_77,False,novel,2,think,,12,idle,Corridor,black,black,1.0,none,,,phantom,,miranda_c,,,,,,
event_phantomthiefvsdetective_04_s_78,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_78,True,,2,think,,,,,2,S_20,1.0,bgm_inark,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_79,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_79,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_80,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_80,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_81,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_81,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_82,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_82,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_83,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_83,True,,2,think,,,,,S_20,S_200,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_84,40059,event_phantomthiefvsdetective_04_s,Narration,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_84,False,,2,think,,,,,S_200,S_200,1.0,,,,,,,,,,,,
event_phantomthiefvsdetective_04_s_85,40059,event_phantomthiefvsdetective_04_s,Narration,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_85,False,,2,think,,,,,S_200,S_20,0.5,,,sfx_scn_sglassbreak,,,,,,,,,
event_phantomthiefvsdetective_04_s_86,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_86,False,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_87,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_87,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_88,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_88,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_89,40059,event_phantomthiefvsdetective_04_s,Speech,poli_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_89,True,,2,think,,,,,S_20,S_20,1.0,,poli_op,,,,,,poli_op,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_90,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_90,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_91,40059,event_phantomthiefvsdetective_04_s,Speech,poli_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_91,True,,2,idle,,,,,S_20,S_20,1.0,,poli_op,,,,,,,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_92,40059,event_phantomthiefvsdetective_04_s,Speech,poli_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_92,True,,2,idle,,,,,S_20,S_20,1.0,,poli_op,,,,,,,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_93,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_93,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_94,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_94,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_95,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_95,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,angry,,
event_phantomthiefvsdetective_04_s_96,40059,event_phantomthiefvsdetective_04_s,Speech,poli_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_96,True,,2,idle,,,,,S_20,S_20,1.0,,poli_op,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_97,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_97,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_98,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_98,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_99,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_99,True,,2,idle,,,,,S_20,S_20,1.0,,novel,,,,,,,OP_leftup,idle,,
event_phantomthiefvsdetective_04_s_100,40059,event_phantomthiefvsdetective_04_s,Speech,poli_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_100,True,,2,idle,,,,,S_20,S_20,1.0,,poli_op,,,,,,,OP_leftup,sad,,
event_phantomthiefvsdetective_04_s_101,40059,event_phantomthiefvsdetective_04_s,Speech,poli_op,Locale_SubScenario:event_phantomthiefvsdetective_04_s_101,True,,2,idle,,,,,S_20,S_20,1.0,,poli_op,,,,,,,OP_leftup,sad,,
event_phantomthiefvsdetective_04_s_102,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_102,True,,2,think,,,,,S_20,S_200,1.0,,novel,,,,,,,OP_leftup,sad,poli_op,
event_phantomthiefvsdetective_04_s_103,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_103,True,,2,think,,,,,S_200,S_200,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_104,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_104,True,,2,think,,,,,S_200,S_200,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_105,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_105,True,,2,think,,,,,S_200,S_200,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_106,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_106,True,,2,idle,,,,,S_200,S_20,0.5,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_107,40059,event_phantomthiefvsdetective_04_s,Choice,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_107,False,,2,idle,,,,,S_20,S_20,1.0,,,,,,,,,,,,event_phantomthiefvsdetective_04_s_109
event_phantomthiefvsdetective_04_s_108,40059,event_phantomthiefvsdetective_04_s,Choice,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_108,False,,2,idle,,,,,S_20,S_20,1.0,,,,,,,,,,,,event_phantomthiefvsdetective_04_s_116
event_phantomthiefvsdetective_04_s_109,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_109,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
event_phantomthiefvsdetective_04_s_110,40059,event_phantomthiefvsdetective_04_s,Speech,novel,Locale_SubScenario:event_phantomthiefvsdetective_04_s_110,True,,2,think,,,,,S_20,S_20,1.0,,novel,,,,,,,,,,
